chr,TnG_start,TnG_end,peaks
chr10,97345860,97345879,[14156]
chr10,97535405,97535423,[14735]
chr10,98785589,98785607,[14837]
chr10,98788490,98788508,[14930]
chr10,98885908,98885926,[14604]
chr10,99127916,99127934,[14671]
chr10,99242081,99242099,[15157]
chr10,100685078,100685096,[14129]
chr10,105393154,105393172,[14673]
chr10,110489725,110489743,[14242]
chr10,110745420,110745438,[15012]
chr10,111008241,111008259,[14612]
chr10,112861212,112861230,[14701]
chr10,114363914,114363932,[14399]
chr10,116477314,116477332,[14575]
chr10,116949167,116949185,[14579]
chr10,117625811,117625829,[14787]
chr10,117768211,117768229,[14006]
chr10,117804139,117804157,[13960]
chr10,117952899,117952918,[15156]
chr10,118141466,118141484,[15184]
chr10,118406889,118406908,[14833]
chr10,121533890,121533908,[15054]
chr10,122758409,122758427,[14632]
chr10,122758716,122758734,[14632]
chr10,123786502,123786520,[14369]
chr10,127642343,127642362,[15331]
chr10,128080854,128080872,[14691]
chr10,128212028,128212047,[14843]
chr10,128455332,128455351,[14216]
chr11,3345094,3345112,[15741]
chr11,4246796,4246814,[16691]
chr11,4335164,4335182,[15471]
chr11,4814000,4814018,[16875]
chr11,4869423,4869441,[16471]
chr11,5216021,5216039,[16921]
chr11,5331993,5332011,[15680]
chr11,6000955,6000973,[17078]
chr11,6559272,6559290,[15723]
chr11,6679980,6679998,[17168]
chr11,11569830,11569849,[16402]
chr11,11836799,11836817,[16954]
chr11,12291615,12291633,[16325]
chr11,20315961,20315979,[15919]
chr11,20316189,20316207,[15919]
chr11,21219482,21219501,[16278]
chr11,22363061,22363079,[16019]
chr11,22972971,22972989,[16903]
chr11,23405784,23405803,[15556]
chr11,23675400,23675418,[15765]
chr11,24997195,24997213,[15365]
chr11,25660581,25660599,[15705]
chr11,27669750,27669768,[15738]
chr11,28399013,28399031,[16810]
chr11,28484040,28484058,[17099]
chr11,29139483,29139501,[16692]
chr11,29561292,29561310,[15565]
chr11,30776672,30776690,[15673]
chr11,31279367,31279385,[16500]
chr11,32126136,32126154,[16675]
chr11,32226198,32226216,[16982]
chr11,34763685,34763703,[16941]
chr11,34833729,34833747,[16412]
chr11,36045851,36045870,[15558]
chr11,38188851,38188869,[16829]
chr11,38189078,38189096,[16829]
chr11,39013047,39013065,[16148]
chr11,39319158,39319176,[15773]
chr11,41915616,41915634,[16656]
chr11,42788296,42788314,[16917]
chr11,43375995,43376013,[15447]
chr11,43923841,43923860,[15817]
chr11,44495484,44495502,[16548]
chr11,44893045,44893064,[15869]
chr11,45872280,45872298,[15473]
chr11,46252142,46252160,[16320]
chr11,46582376,46582394,[15488]
chr11,48111622,48111641,[15778]
chr11,49204646,49204665,[17237]
chr11,49982948,49982966,[16079]
chr11,50377473,50377492,[17241]
chr11,52008419,52008437,[15472]
chr11,52066105,52066123,[16031]
chr11,52522683,52522701,[15550]
chr11,53179244,53179262,[15750]
chr11,53179314,53179332,[15750]
chr11,53617329,53617347,[15896]
chr11,54500439,54500457,[16312]
chr11,54522831,54522849,[17214]
chr11,54941893,54941911,[15618]
chr11,58139831,58139849,[16498]
chr11,60084984,60085002,[16562]
chr11,60976697,60976715,[15440]
chr11,61231812,61231830,[16654]
chr11,62467047,62467065,[16602]
chr11,62487471,62487490,[15930]
chr11,66172070,66172088,[15372]
chr11,67051821,67051840,[15968]
chr11,68430704,68430722,[15669]
chr11,69432215,69432233,[15563]
chr11,69682292,69682310,[17072]
chr11,70506352,70506370,[16530]
chr11,72182409,72182427,[16392]
chr11,73199721,73199740,[16592]
chr11,74801971,74801989,[15518]
chr11,74838808,74838827,[17220]
chr11,75323212,75323230,[15357]
chr11,75338443,75338461,[16299]
chr11,76038200,76038219,[16885]
chr11,76406736,76406754,[17021]
chr11,77051977,77051995,[16823]
chr11,78175177,78175195,[15798]
chr11,78509393,78509411,[16396]
chr11,79010611,79010629,[15848]
chr11,79130466,79130484,[16807]
chr11,79282643,79282661,[16268]
chr11,79398332,79398351,[15825]
chr11,79641311,79641329,[16945]
chr11,79962636,79962654,[16506]
chr11,80525044,80525062,[16216]
chr11,82952616,82952634,[16450]
chr11,84808672,84808690,[15724]
chr11,87937928,87937946,[16017]
chr11,88455307,88455325,[15629]
chr11,88564805,88564823,[16318]
chr11,90242120,90242138,[16047]
chr11,90257165,90257183,[16477]
chr11,90637971,90637989,[16989]
chr11,92022401,92022419,[16127]
chr11,92952593,92952611,[16305]
chr11,93306725,93306743,[15756]
chr11,93591079,93591097,[17057]
chr11,93591447,93591465,[17057]
chr11,93995449,93995468,[16923]
chr11,94719386,94719404,[16108]
chr11,95364301,95364319,[16359]
chr11,96504725,96504743,[15805]
chr11,97622449,97622467,[15892]
chr11,97719043,97719062,[16891]
chr11,97822030,97822048,[15537]
chr11,98044289,98044307,[15545]
chr11,98513908,98513927,[16338]
chr11,99124265,99124284,[16157]
chr11,99238700,99238718,[16985]
chr11,103168950,103168968,[15742]
chr11,104382096,104382114,[16085]
chr11,105180519,105180537,[15868]
chr11,105445116,105445134,[15863]
chr11,105450147,105450165,[15784]
chr11,106581354,106581372,[16294]
chr11,106874274,106874293,[15523]
chr11,107013220,107013239,[15718]
chr11,107027502,107027520,[17211]
chr11,107458494,107458512,[16440]
chr11,107547542,107547560,[17179]
chr11,107547601,107547619,[17179]
chr11,108171961,108171979,[15926]
chr11,108172129,108172147,[15926]
chr11,108216324,108216342,[16721]
chr11,108335013,108335032,[15568]
chr11,108901442,108901460,[16077]
chr11,109419780,109419798,[17234]
chr11,109560815,109560833,[16732]
chr11,109873574,109873592,[15497]
chr11,110125210,110125228,[16334]
chr11,110350774,110350792,[15877]
chr11,110399471,110399489,[17109]
chr11,112324148,112324166,[15547]
chr11,113174218,113174237,[17019]
chr11,115074122,115074140,[16195]
chr11,115771366,115771384,[15897]
chr11,116081014,116081032,[15969]
chr11,116886302,116886320,[16470]
chr11,117071941,117071959,[16727]
chr11,117409709,117409728,[15885]
chr11,117871624,117871642,[17225]
chr11,119503892,119503910,[15956]
chr12,3606774,3606792,[17439]
chr12,3606879,3606897,[17439]
chr12,5910437,5910455,[17631]
chr12,9485388,9485406,[17714]
chr12,11230232,11230250,[18213]
chr12,13719351,13719369,[17622]
chr12,16006932,16006951,[17456]
chr12,16583832,16583850,[18152]
chr12,17658124,17658142,[17319]
chr12,21151022,21151040,[17513]
chr12,24259876,24259894,[17367]
chr12,25241868,25241886,[17369]
chr12,25885496,25885514,[17924]
chr12,28779614,28779632,[17663]
chr12,31176129,31176148,[17299]
chr12,31988335,31988353,[17727]
chr12,32202129,32202147,[17277]
chr12,32814031,32814050,[17759]
chr12,33333453,33333471,[17828]
chr12,33333509,33333527,[17828]
chr12,34533263,34533281,[18116]
chr12,34533411,34533429,[18116]
chr12,34649651,34649669,[17545]
chr12,35755424,35755443,[17577]
chr12,36032589,36032607,[17651]
chr12,36155751,36155769,[17932]
chr12,36156890,36156908,[17983]
chr12,38929045,38929063,[17325]
chr12,40038680,40038698,[18329]
chr12,41247159,41247178,[17441]
chr12,42090454,42090472,[17564]
chr12,42405633,42405651,[18177]
chr12,43635444,43635462,[17875]
chr12,43765589,43765607,[17813]
chr12,44203577,44203595,[17790]
chr12,44203634,44203652,[17790]
chr12,45793806,45793824,[17351]
chr12,49290785,49290803,[17437]
chr12,51865076,51865094,[17702]
chr12,52454409,52454427,[17272]
chr12,55488943,55488961,[17455]
chr12,59218859,59218877,[18326]
chr12,60802286,60802304,[17680]
chr12,63849034,63849052,[17912]
chr12,65233185,65233203,[17850]
chr12,65340882,65340900,[17284]
chr12,66895222,66895240,[17560]
chr12,67076564,67076582,[17360]
chr12,68024307,68024325,[17769]
chr12,68024399,68024417,[17769]
chr12,69164911,69164929,[17797]
chr12,69447212,69447230,[17948]
chr12,69447921,69447939,[17873]
chr12,69462083,69462101,[17551]
chr12,69513857,69513875,[17784]
chr12,69530217,69530235,[18288]
chr12,69616057,69616075,[18021]
chr12,71047445,71047464,[17904]
chr12,71048013,71048032,[17493]
chr12,71048103,71048121,[17493]
chr12,72529731,72529749,[17401]
chr12,73123487,73123506,[17858]
chr12,73611253,73611271,[17655]
chr12,73888516,73888534,[18192]
chr12,73888602,73888621,[18192]
chr12,73908861,73908879,[17996]
chr12,76379699,76379717,[18132]
chr12,76515948,76515966,[17844]
chr12,76868045,76868063,[18134]
chr12,78568990,78569008,[17887]
chr12,79296579,79296598,[18230]
chr12,79381532,79381550,[17712]
chr12,79444789,79444813,[17751]
chr12,79633935,79633953,[17600]
chr12,80069123,80069141,[17707]
chr12,80462986,80463005,[17988]
chr12,82189845,82189863,[18048]
chr12,82542096,82542114,[17581]
chr12,83443001,83443019,[17503]
chr12,84417179,84417197,[18067]
chr12,84882603,84882621,[17723]
chr12,85427808,85427827,[17271]
chr12,85818739,85818757,[17433]
chr12,85973815,85973833,[17693]
chr12,88470183,88470201,[17805]
chr12,89555169,89555187,[17419]
chr12,91711909,91711927,[17634]
chr12,94933109,94933127,[17877]
chr12,94933159,94933177,[17877]
chr12,95598474,95598492,[17261]
chr12,98578740,98578758,[17662]
chr12,99393048,99393067,[18259]
chr12,101981476,101981494,[17359]
chr12,102371007,102371026,[17475]
chr12,102702597,102702615,[17950]
chr12,102878794,102878812,[18092]
chr12,103065212,103065230,[17355]
chr12,103493051,103493069,[17249]
chr12,106983290,106983308,[17333]
chr12,107126159,107126177,[17681]
chr12,107184732,107184751,[18090]
chr12,107645573,107645591,[18017]
chr12,107720849,107720867,[18244]
chr12,107783883,107783902,[17495]
chr12,107937766,107937784,[17542]
chr12,107977696,107977715,[18020]
chr12,108645019,108645037,[17811]
chr12,108812495,108812513,[17869]
chr12,109077059,109077077,[17968]
chr12,110353091,110353109,[17851]
chr12,110479303,110479321,[17598]
chr12,110496016,110496034,[17905]
chr12,110771272,110771290,[18008]
chr12,110845908,110845926,[18058]
chr12,111164506,111164524,[17522]
chr12,111589087,111589105,[18073]
chr12,111732499,111732517,[17659]
chr12,113074404,113074422,[17440]
chr12,113187669,113187687,[17855]
chr12,114990819,114990838,[17989]
chr12,116384147,116384165,[17748]
chr13,3525319,3525337,[18907]
chr13,3537134,3537152,[18963]
chr13,9440090,9440108,[19348]
chr13,9584878,9584896,[18571]
chr13,12133411,12133429,[18422]
chr13,12507582,12507601,[18612]
chr13,13471419,13471437,[19338]
chr13,13745217,13745235,[18483]
chr13,14113993,14114011,[18586]
chr13,16196327,16196345,[18599]
chr13,16869760,16869778,[19294]
chr13,18161206,18161224,[18788]
chr13,19242740,19242758,[18934]
chr13,19618946,19618965,[18482]
chr13,19854113,19854131,[18590]
chr13,21163251,21163269,[18480]
chr13,22843854,22843872,[18339]
chr13,22843883,22843901,[18339]
chr13,23774582,23774600,[18495]
chr13,24445802,24445820,[19215]
chr13,24614136,24614155,[18519]
chr13,28417492,28417510,[19327]
chr13,30210932,30210950,[18420]
chr13,30638942,30638960,[19112]
chr13,30682111,30682129,[18856]
chr13,30733003,30733022,[18970]
chr13,30742590,30742608,[18992]
chr13,30913901,30913919,[18745]
chr13,32211799,32211817,[19324]
chr13,32211958,32211976,[19324]
chr13,34096123,34096141,[19015]
chr13,34191651,34191669,[18867]
chr13,34864725,34864743,[18954]
chr13,36466902,36466920,[18587]
chr13,37308182,37308200,[18622]
chr13,37325566,37325585,[18366]
chr13,37751195,37751213,[19200]
chr13,38413504,38413522,[18925]
chr13,40922546,40922564,[18627]
chr13,42293388,42293406,[18784]
chr13,43240341,43240359,[18981]
chr13,43313573,43313591,[18421]
chr13,43313743,43313762,[18421]
chr13,44118009,44118027,[18582]
chr13,44501955,44501974,[18475]
chr13,44782503,44782521,[18712]
chr13,45772578,45772596,[18933]
chr13,46619816,46619835,[18775]
chr13,46702594,46702612,[18489]
chr13,48929293,48929311,[19309]
chr13,48979212,48979230,[18756]
chr13,51757419,51757437,[18542]
chr13,51886131,51886149,[18769]
chr13,52862142,52862160,[19017]
chr13,52862211,52862229,[19017]
chr13,52918233,52918251,[18580]
chr13,55444492,55444510,[19440]
chr13,56053094,56053112,[18424]
chr13,56151673,56151691,[18525]
chr13,57866800,57866818,[19083]
chr13,58177653,58177671,[19013]
chr13,58214522,58214540,[19059]
chr13,59572342,59572360,[19039]
chr13,59572462,59572480,[19039]
chr13,59657342,59657361,[18356]
chr13,59705062,59705080,[19270]
chr13,59840975,59840994,[18944]
chr13,59841011,59841030,[18944]
chr13,60322135,60322153,[18677]
chr13,62470201,62470220,[18729]
chr13,63141064,63141082,[19210]
chr13,64370644,64370662,[19131]
chr13,73603665,73603683,[19276]
chr13,74349926,74349945,[19252]
chr13,75103032,75103050,[19230]
chr13,76598919,76598937,[18852]
chr13,78253418,78253436,[19048]
chr13,78426794,78426812,[19321]
chr13,79303991,79304009,[18513]
chr13,83751292,83751310,[18871]
chr13,84747651,84747669,[18450]
chr13,85519332,85519350,[18987]
chr13,85830188,85830206,[18908]
chr13,87531257,87531275,[18851]
chr13,90089956,90089974,[19231]
chr13,90800622,90800640,[18575]
chr13,91509698,91509716,[18951]
chr13,91680248,91680266,[19007]
chr13,92830417,92830435,[19075]
chr13,93624338,93624356,[19208]
chr13,94177389,94177408,[18552]
chr13,95327184,95327202,[18384]
chr13,95375466,95375484,[19371]
chr13,95593288,95593306,[18940]
chr13,95684974,95684993,[18932]
chr13,97442921,97442939,[19214]
chr13,97761994,97762012,[19257]
chr13,97824159,97824178,[18385]
chr13,97899615,97899633,[18937]
chr13,99353095,99353113,[18880]
chr13,100866680,100866698,[19193]
chr13,100911374,100911393,[18487]
chr13,105683284,105683302,[18639]
chr13,107006648,107006666,[18962]
chr13,107831471,107831489,[19126]
chr13,107891542,107891561,[19441]
chr13,109802688,109802706,[18485]
chr13,110829551,110829569,[18853]
chr13,111179708,111179726,[18826]
chr13,111461330,111461348,[19038]
chr13,111867407,111867425,[19432]
chr13,111936095,111936113,[19139]
chr13,112002920,112002939,[18651]
chr13,113574458,113574476,[18628]
chr13,113870370,113870388,[18913]
chr13,113966446,113966464,[18815]
chr13,117048422,117048440,[19153]
chr13,117209865,117209883,[18901]
chr13,117220170,117220188,[19379]
chr13,119030757,119030775,[18674]
chr13,119462895,119462913,[19368]
chr14,6813453,6813471,[19502]
chr14,14042818,14042836,[20281]
chr14,16001898,16001916,[19659]
chr14,16677995,16678013,[20222]
chr14,18238597,18238615,[20351]
chr14,18371895,18371913,[19797]
chr14,19649952,19649970,[19743]
chr14,19962326,19962344,[20149]
chr14,19969491,19969509,[20205]
chr14,21026782,21026800,[19675]
chr14,21032297,21032315,[19956]
chr14,25173506,25173524,[19585]
chr14,26622775,26622793,[19580]
chr14,26993848,26993866,[19632]
chr14,27339426,27339444,[19511]
chr14,30624673,30624691,[19837]
chr14,31661898,31661916,[20220]
chr14,33481323,33481341,[19893]
chr14,34123055,34123073,[20301]
chr14,34123120,34123138,[20301]
chr14,36893292,36893310,[19571]
chr14,36952989,36953008,[20200]
chr14,38716976,38716994,[19909]
chr14,39198162,39198180,[20247]
chr14,40930238,40930256,[20206]
chr14,41285529,41285547,[19712]
chr14,44787570,44787588,[19621]
chr14,44929172,44929190,[19545]
chr14,45102563,45102581,[20143]
chr14,47105533,47105551,[20307]
chr14,47740733,47740752,[19915]
chr14,51892175,51892193,[20201]
chr14,52369905,52369923,[19447]
chr14,54216980,54216999,[19634]
chr14,54617990,54618008,[20356]
chr14,54641487,54641505,[20199]
chr14,56675027,56675045,[19623]
chr14,56959097,56959115,[20142]
chr14,57902250,57902268,[20051]
chr14,58073919,58073937,[19815]
chr14,60219831,60219849,[19831]
chr14,60744836,60744854,[19904]
chr14,61778883,61778901,[20150]
chr14,61805687,61805705,[19706]
chr14,62682453,62682472,[19595]
chr14,64930997,64931015,[20207]
chr14,66071979,66071997,[19498]
chr14,66228906,66228924,[20213]
chr14,66229398,66229416,[20213]
chr14,67070350,67070368,[19532]
chr14,70065647,70065665,[20355]
chr14,72595678,72595696,[19625]
chr14,73088232,73088250,[20291]
chr14,73088263,73088281,[20291]
chr14,73389137,73389155,[20340]
chr14,73398730,73398748,[19946]
chr14,73525318,73525337,[20298]
chr14,73584488,73584506,[19827]
chr14,73720761,73720779,[19757]
chr14,75445750,75445768,[20074]
chr14,75516083,75516101,[19998]
chr14,78384538,78384556,[19726]
chr14,79326900,79326918,[20158]
chr14,80030401,80030422,[19729]
chr14,80078338,80078356,[19830]
chr14,80802657,80802675,[19672]
chr14,80908288,80908307,[19980]
chr14,82608728,82608746,[20092]
chr14,84682494,84682512,[19912]
chr14,84768925,84768943,[20334]
chr14,85936215,85936233,[20333]
chr14,86442584,86442602,[19740]
chr14,86682297,86682316,[19752]
chr14,87110050,87110068,[19506]
chr14,88402550,88402568,[19569]
chr14,97071142,97071160,[19762]
chr14,97313712,97313730,[19922]
chr14,101477925,101477943,[20395]
chr14,101640912,101640930,[20243]
chr14,103093738,103093756,[20151]
chr14,105296310,105296328,[19714]
chr14,107018478,107018496,[19573]
chr14,109711621,109711642,[19566]
chr14,117465535,117465553,[19818]
chr14,118233657,118233675,[19974]
chr14,118982775,118982793,[20282]
chr14,119007725,119007743,[20164]
chr14,120274720,120274738,[19905]
chr14,121854909,121854927,[20106]
chr14,121906735,121906753,[20218]
chr14,121917092,121917110,[19663]
chr14,122802030,122802048,[19953]
chr14,122985470,122985488,[19496]
chr14,122985548,122985566,[19496]
chr14,124306217,124306235,[19683]
chr15,5237389,5237407,[20580]
chr15,5813450,5813468,[21288]
chr15,5813509,5813531,[21288]
chr15,6034621,6034639,[20705]
chr15,6554202,6554220,[20487]
chr15,8667266,8667284,[21130]
chr15,8667393,8667411,[21130]
chr15,9435816,9435834,[20686]
chr15,9581026,9581044,[21296]
