chr,TnG_start,TnG_end,strand,peaks
chr1,14547155,14547174,+,[1491]
chr1,14656197,14656213,+,[1513]
chr1,14661537,14661551,+,[1516]
chr1,14667847,14667866,+,[1519]
chr1,14710316,14710330,+,[1530]
chr1,14729293,14729314,+,[1533]
chr1,14862395,14862411,+,[1568]
chr1,14915436,14915451,+,[1574]
chr1,14918527,14918553,+,[1575]
chr1,14919088,14919104,+,[1576]
chr1,14995476,14995495,+,[1586]
chr1,15430552,15430571,+,[1602]
chr1,15544524,15544538,+,[1605]
chr1,15624908,15624922,+,[1612]
chr1,15637415,15637443,+,[1615]
chr1,15675317,15675331,+,[1621]
chr1,15719652,15719673,+,[1627]
chr1,15792136,15792155,+,[1632]
chr1,15798490,15798504,+,[1633]
chr1,15849824,15849848,+,[1640]
chr1,15871591,15871607,+,[1649]
chr1,15871641,15871658,+,[1649]
chr1,15883610,15883625,+,[1653]
chr1,15902657,15902677,+,[1661]
chr1,15921504,15921520,+,[1666]
chr1,15936919,15936933,+,[1667]
chr1,16060160,16060176,+,[1678]
chr1,16069949,16069968,+,[1680]
chr1,16115521,16115541,+,[1702]
chr1,16122274,16122317,+,[1704]
chr1,16154834,16154881,+,[1709]
chr1,16220394,16220409,+,[1728]
chr1,16271688,16271708,+,[1752]
chr1,16312830,16312854,+,[1757]
chr1,16334893,16334907,+,[1760]
chr1,16371528,16371548,+,[1765]
chr1,16371554,16371569,+,[1765]
chr1,16433504,16433552,+,[1771]
chr1,16440288,16440318,+,[1772]
chr1,16469290,16469309,+,[1775]
chr1,16469612,16469647,+,[1776]
chr1,16472640,16472662,+,[1777]
chr1,16472713,16472738,+,[1777]
chr1,16502625,16502639,+,[1779]
chr1,16550804,16550824,+,[1795]
chr1,16571000,16571015,+,[1801]
chr1,16577868,16577887,+,[1803]
chr1,16617170,16617189,+,[1811]
chr1,16618139,16618153,+,[1813]
chr1,16636431,16636445,+,[1821]
chr1,16637683,16637697,+,[1823]
chr1,16637704,16637718,+,[1823]
chr1,16671260,16671322,+,[1838]
chr1,16688369,16688385,+,[1843]
chr1,16735196,16735210,+,[1856]
chr1,16746647,16746663,+,[1858]
chr1,16747851,16747867,+,[1861]
chr1,16776282,16776296,+,[1869]
chr1,16869068,16869087,+,[1882]
chr1,16869237,16869251,+,[1882]
chr1,16925685,16925709,+,[1883]
chr1,17041739,17041754,+,[1895]
chr1,17059982,17059998,+,[1898]
chr1,17305380,17305395,+,[1915]
chr1,17378183,17378202,+,[1918]
chr1,17394945,17394959,+,[1920]
chr1,17451585,17451604,+,[1925]
chr1,17481367,17481383,+,[1929]
chr1,17489455,17489471,+,[1931]
chr1,17607338,17607352,+,[1946]
chr1,17634182,17634201,+,[1953]
chr1,17707592,17707624,+,[1960]
chr1,17719137,17719169,+,[1965]
chr1,17726997,17727013,+,[1966]
chr1,18458825,18458852,+,[1992]
chr1,18705687,18705701,+,[1996]
chr1,18853869,18853883,+,[1999]
chr1,19179315,19179331,+,[2005]
chr1,19943657,19943684,+,[2020]
chr1,19986333,19986351,+,[2025]
chr1,20260014,20260033,+,[2035]
chr1,20467271,20467285,+,[2041]
chr1,20670998,20671014,+,[2052]
chr1,20673478,20673492,+,[2053]
chr1,20673627,20673642,+,[2053]
chr1,20699294,20699309,+,[2055]
chr1,20748642,20748661,+,[2066]
chr1,20825643,20825657,+,[2085]
chr1,20827881,20827917,+,[2086]
chr1,20863766,20863784,+,[2098]
chr1,20943295,20943358,+,[2129]
chr1,20980543,20980568,+,[2136]
chr1,20984359,20984383,+,[2139]
chr1,20985461,20985480,+,[2141]
chr1,21009415,21009454,+,[2156]
chr1,21018775,21018794,+,[2160]
chr1,21018804,21018820,+,[2160]
chr1,21025820,21025840,+,[2163]
chr1,21031088,21031115,+,[2165]
chr1,21069089,21069111,+,[2187]
chr1,21070221,21070240,+,[2189]
chr1,21179690,21179705,+,[2226]
chr1,21192743,21192762,+,[2230]
chr1,21192781,21192795,+,[2230]
chr1,21232103,21232117,+,[2235]
chr1,21334129,21334145,+,[2284]
chr1,21335988,21336008,+,[2286]
chr1,21349085,21349149,+,[2290]
chr1,21349273,21349332,+,[2290]
chr1,21367733,21367806,+,[2300]
chr1,21367932,21367974,+,[2300]
chr1,21371220,21371234,+,[2303]
chr1,21382730,21382745,+,[2306]
chr1,21449089,21449105,+,[2324]
chr1,21459020,21459034,+,[2325]
chr1,21531433,21531485,+,[2339]
chr1,21554788,21554810,+,[2343]
chr1,21554826,21554842,+,[2343]
chr1,21559886,21559906,+,[2345]
chr1,21634152,21634171,+,[2357]
chr1,21667976,21667996,+,[2368]
chr1,21752826,21752842,+,[2377]
chr1,21883856,21883876,+,[2405]
chr1,21890971,21891000,+,[2407]
chr1,21951182,21951196,+,[2418]
chr1,21963616,21963632,+,[2427]
chr1,21978510,21978528,+,[2432]
chr1,21991736,21991751,+,[2436]
chr1,22099716,22099735,+,[2438]
chr1,22272204,22272224,+,[2446]
chr1,22386611,22386627,+,[2450]
chr1,23077406,23077442,+,[2470]
chr1,23115350,23115364,+,[2473]
chr1,23118347,23118362,+,[2476]
chr1,23173105,23173119,+,[2482]
chr1,23173282,23173297,+,[2482]
chr1,23292782,23292798,+,[2512]
chr1,23324528,23324561,+,[2518]
chr1,23359980,23359995,+,[2525]
chr1,23383695,23383711,+,[2538]
chr1,23399771,23399790,+,[2544]
chr1,23400421,23400458,+,[2545]
chr1,23400921,23400945,+,[2546]
chr1,23444578,23444598,+,[2553]
chr1,23444630,23444649,+,[2553]
chr1,23507459,23507479,+,[2561]
chr1,23555994,23556023,+,[2565]
chr1,23602568,23602582,+,[2569]
chr1,23721185,23721205,+,[2577]
chr1,23827494,23827508,+,[2590]
chr1,23853637,23853657,+,[2603]
chr1,23861139,23861153,+,[2606]
chr1,23883528,23883544,+,[2614]
chr1,23893558,23893577,+,[2616]
chr1,23894742,23894756,+,[2617]
chr1,23895118,23895144,+,[2618]
chr1,23895396,23895415,+,[2619]
chr1,23902846,23902881,+,[2625]
chr1,23906101,23906115,+,[2627]
chr1,23915756,23915770,+,[2632]
chr1,23917020,23917036,+,[2633]
chr1,23959135,23959182,+,[2648]
chr1,24005843,24005857,+,[2660]
chr1,24009638,24009656,+,[2662]
chr1,24017811,24017826,+,[2664]
chr1,24050679,24050705,+,[2672]
chr1,24093626,24093646,+,[2681]
chr1,24093665,24093680,+,[2681]
chr1,24113261,24113277,+,[2694]
chr1,24268931,24268953,+,[2715]
chr1,24375187,24375211,+,[2729]
chr1,24468524,24468543,+,[2737]
chr1,24471471,24471485,+,[2740]
chr1,24475685,24475704,+,[2742]
chr1,24475796,24475815,+,[2742]
chr1,24493239,24493258,+,[2746]
chr1,24547670,24547699,+,[2754]
chr1,24587318,24587332,+,[2771]
chr1,24678242,24678271,+,[2778]
chr1,24686927,24686959,+,[2786]
chr1,24698068,24698083,+,[2794]
chr1,24719720,24719746,+,[2805]
chr1,25578136,25578150,+,[2838]
chr1,26426318,26426332,+,[2858]
chr1,27592533,27592549,+,[2869]
chr1,28211601,28211621,+,[2877]
chr1,28348686,28348722,+,[2879]
chr1,30583962,30583977,+,[2892]
chr1,30741057,30741072,+,[2900]
chr1,30778772,30778811,+,[2906]
chr1,30802791,30802811,+,[2914]
chr1,30828783,30828799,+,[2921]
chr1,30839427,30839443,+,[2925]
chr1,30839839,30839859,+,[2926]
chr1,30848401,30848416,+,[2930]
chr1,30862107,30862131,+,[2933]
chr1,30872826,30872847,+,[2937]
chr1,30882213,30882229,+,[2943]
chr1,30898741,30898757,+,[2947]
chr1,30920901,30920923,+,[2951]
chr1,30930381,30930395,+,[2959]
chr1,30957024,30957039,+,[2973]
chr1,31050669,31050683,+,[2989]
chr1,31094237,31094251,+,[2993]
chr1,31142413,31142432,+,[3005]
chr1,31148054,31148068,+,[3009]
chr1,31149541,31149561,+,[3011]
chr1,31343991,31344006,+,[3024]
chr1,31373166,31373191,+,[3026]
chr1,31373212,31373226,+,[3026]
chr1,31554198,31554222,+,[3031]
chr1,31810784,31810813,+,[3041]
chr1,31995998,31996018,+,[3043]
chr1,32701071,32701086,+,[3064]
chr1,32741057,32741076,+,[3066]
chr1,32744695,32744717,+,[3067]
chr1,32744742,32744756,+,[3067]
chr1,32965248,32965263,+,[3078]
chr1,33106697,33106711,+,[3085]
chr1,33342331,33342345,+,[3100]
chr1,33452863,33452878,+,[3110]
chr1,33461006,33461030,+,[3114]
chr1,33500437,33500460,+,[3132]
chr1,33502933,33502955,+,[3135]
chr1,33532046,33532061,+,[3147]
chr1,33533584,33533611,+,[3148]
chr1,33559004,33559020,+,[3156]
chr1,33577873,33577888,+,[3166]
chr1,33584847,33584861,+,[3173]
chr1,33589631,33589645,+,[3174]
chr1,33592232,33592252,+,[3176]
chr1,33592697,33592711,+,[3178]
chr1,33602147,33602161,+,[3185]
chr1,33604770,33604786,+,[3188]
chr1,33609659,33609675,+,[3189]
chr1,33610182,33610206,+,[3190]
chr1,33610332,33610351,+,[3190]
chr1,33611077,33611093,+,[3191]
chr1,33614928,33614944,+,[3194]
chr1,33624941,33624957,+,[3199]
chr1,33625108,33625127,+,[3199]
chr1,33627977,33627993,+,[3200]
chr1,33635790,33635808,+,[3203]
chr1,33647745,33647760,+,[3209]
chr1,33657855,33657874,+,[3212]
chr1,33669441,33669461,+,[3217]
chr1,33684703,33684722,+,[3221]
chr1,33684726,33684767,+,[3221]
chr1,33739133,33739155,+,[3232]
chr1,33739181,33739196,+,[3232]
chr1,33787584,33787600,+,[3247]
chr1,33788279,33788293,+,[3248]
chr1,33797889,33797908,+,[3253]
chr1,33798418,33798441,+,[3254]
chr1,33798619,33798635,+,[3254]
chr1,33806197,33806222,+,[3255]
chr1,33807615,33807630,+,[3256]
chr1,33873921,33873935,+,[3272]
chr1,33878441,33878460,+,[3276]
chr1,33883651,33883674,+,[3279]
chr1,33892877,33892901,+,[3281]
chr1,33906909,33906923,+,[3290]
chr1,33925230,33925246,+,[3299]
chr1,34006614,34006630,+,[3325]
chr1,34019360,34019376,+,[3332]
chr1,34021874,34021890,+,[3333]
chr1,34029097,34029111,+,[3337]
chr1,34060406,34060428,+,[3347]
chr1,34060607,34060623,+,[3347]
chr1,34112728,34112743,+,[3366]
chr1,34117855,34117869,+,[3367]
chr1,34129764,34129780,+,[3373]
chr1,34284256,34284270,+,[3418]
chr1,34288933,34288952,+,[3419]
chr1,34304440,34304455,+,[3426]
chr1,34306753,34306767,+,[3427]
chr1,34389382,34389398,+,[3438]
chr1,34402708,34402723,+,[3442]
chr1,34434225,34434253,+,[3448]
chr1,34434305,34434321,+,[3448]
chr1,34464257,34464272,+,[3461]
chr1,34464282,34464340,+,[3461]
chr1,34487652,34487676,+,[3482]
chr1,34490403,34490418,+,[3483]
chr1,34518560,34518574,+,[3502]
chr1,34534406,34534439,+,[3508]
chr1,34604109,34604125,+,[3531]
chr1,34767155,34767179,+,[3560]
chr1,34812718,34812734,+,[3574]
chr1,34826038,34826052,+,[3583]
chr1,34827179,34827195,+,[3585]
chr1,34835501,34835527,+,[3594]
chr1,34835709,34835735,+,[3595]
chr1,34840573,34840593,+,[3599]
chr1,34844491,34844510,+,[3605]
chr1,35219419,35219434,+,[3638]
chr1,35319682,35319701,+,[3646]
chr1,35332287,35332313,+,[3647]
chr1,35386646,35386680,+,[3657]
chr1,35415722,35415781,+,[3662]
chr1,35447256,35447283,+,[3664]
chr1,35448293,35448308,+,[3666]
chr1,35448333,35448353,+,[3666]
chr1,35645568,35645583,+,[3693]
chr1,35687989,35688034,+,[3708]
chr1,35852218,35852252,+,[3743]
chr1,35853901,35853925,+,[3744]
chr1,35936660,35936679,+,[3774]
chr1,35939313,35939329,+,[3775]
chr1,36001145,36001198,+,[3805]
chr1,36010426,36010440,+,[3807]
chr1,36012305,36012319,+,[3808]
chr1,36052745,36052759,+,[3822]
chr1,36054870,36054889,+,[3826]
chr1,36106130,36106144,+,[3851]
chr1,36126240,36126262,+,[3856]
chr1,36148623,36148639,+,[3871]
chr1,36148653,36148667,+,[3871]
chr1,36149681,36149697,+,[3873]
chr1,36149700,36149719,+,[3873]
chr1,36165553,36165568,+,[3878]
chr1,36165618,36165640,+,[3878]
chr1,36167885,36167899,+,[3879]
chr1,36184968,36184998,+,[3882]
chr1,36224790,36224806,+,[3888]
chr1,36224886,36224900,+,[3888]
chr1,36226218,36226233,+,[3889]
chr1,36236105,36236127,+,[3895]
chr1,36244571,36244587,+,[3900]
chr1,36264377,36264396,+,[3911]
chr1,36334521,36334540,+,[3956]
chr1,36368376,36368398,+,[3962]
chr1,36511364,36511380,+,[4008]
chr1,36568979,36569013,+,[4044]
chr1,36570148,36570167,+,[4047]
chr1,36598465,36598500,+,[4071]
chr1,36604392,36604406,+,[4077]
chr1,36609612,36609640,+,[4081]
chr1,36618309,36618338,+,[4088]
chr1,36639513,36639546,+,[4100]
chr1,36640589,36640613,+,[4102]
chr1,36696621,36696636,+,[4112]
chr1,36841388,36841432,+,[4178]
chr1,36869658,36869674,+,[4184]
chr1,36918153,36918169,+,[4220]
chr1,36921716,36921735,+,[4225]
chr1,36922266,36922288,+,[4226]
chr1,36924927,36924948,+,[4229]
chr1,36927654,36927674,+,[4231]
chr1,36932459,36932488,+,[4236]
chr1,36937833,36937849,+,[4240]
chr1,36987302,36987317,+,[4259]
chr1,37000456,37000471,+,[4269]
chr1,37002410,37002436,+,[4272]
chr1,37002574,37002593,+,[4273]
chr1,37028968,37028987,+,[4280]
chr1,37030769,37030805,+,[4284]
chr1,37064080,37064095,+,[4288]
chr1,37081691,37081710,+,[4291]
chr1,37296181,37296196,+,[4330]
chr1,37333252,37333266,+,[4362]
chr1,37421935,37421953,+,[4396]
chr1,37427436,37427460,+,[4398]
chr1,37467615,37467630,+,[4410]
chr1,37469162,37469181,+,[4412]
chr1,37474859,37474874,+,[4418]
chr1,37477476,37477492,+,[4420]
chr1,37481897,37481923,+,[4429]
chr1,37486301,37486331,+,[4430]
chr1,37502450,37502465,+,[4444]
chr1,37512516,37512530,+,[4452]
chr1,37518440,37518454,+,[4457]
chr1,37531052,37531067,+,[4461]
chr1,37537232,37537248,+,[4466]
chr1,37560142,37560158,+,[4478]
chr1,37610420,37610444,+,[4502]
chr1,37615881,37615897,+,[4507]
chr1,37690782,37690803,+,[4535]
chr1,37728104,37728130,+,[4555]
chr1,37737094,37737133,+,[4557]
chr1,37848439,37848455,+,[4572]
chr1,37872768,37872783,+,[4584]
chr1,37905319,37905334,+,[4596]
chr1,38110284,38110298,+,[4627]
chr1,38118914,38118929,+,[4629]
chr1,38118940,38118958,+,[4629]
chr1,38119135,38119151,+,[4629]
chr1,38261203,38261219,+,[4674]
chr1,38308823,38308842,+,[4685]
chr1,38358708,38358723,+,[4695]
chr1,38390960,38390974,+,[4701]
chr1,38415790,38415804,+,[4718]
chr1,38439685,38439700,+,[4727]
chr1,38567205,38567220,+,[4758]
chr1,38628370,38628384,+,[4777]
chr1,38655060,38655084,+,[4796]
chr1,38671374,38671390,+,[4806]
chr1,38695383,38695408,+,[4810]
chr1,38723679,38723702,+,[4820]
chr1,38749608,38749622,+,[4824]
chr1,38889386,38889402,+,[4862]
chr1,39006964,39006983,+,[4881]
chr1,39025030,39025056,+,[4890]
chr1,39025713,39025727,+,[4892]
chr1,39084381,39084395,+,[4906]
chr1,39123666,39123681,+,[4925]
chr1,39130639,39130658,+,[4927]
chr1,39145096,39145110,+,[4930]
chr1,39191687,39191707,+,[4937]
chr1,39234840,39234860,+,[4955]
chr1,39290533,39290548,+,[4971]
chr1,39313910,39313932,+,[4974]
chr1,39377997,39378019,+,[4991]
chr1,39383445,39383459,+,[4993]
chr1,39411854,39411874,+,[5006]
chr1,39425588,39425604,+,[5013]
chr1,39429312,39429327,+,[5015]
chr1,39437653,39437669,+,[5021]
chr1,39452356,39452371,+,[5031]
chr1,39455291,39455320,+,[5033]
chr1,39493735,39493749,+,[5057]
chr1,39493753,39493767,+,[5057]
chr1,39493941,39493961,+,[5057]
chr1,39500729,39500751,+,[5059]
chr1,39560505,39560524,+,[5092]
chr1,39576030,39576049,+,[5095]
chr1,39580994,39581009,+,[5101]
chr1,39590290,39590305,+,[5104]
chr1,39604552,39604572,+,[5108]
chr1,39608225,39608260,+,[5109]
chr1,39648920,39648936,+,[5121]
chr1,39671636,39671650,+,[5131]
chr1,39701498,39701514,+,[5142]
chr1,39736075,39736104,+,[5167]
chr1,39744158,39744177,+,[5172]
chr1,39761799,39761813,+,[5184]
chr1,39768029,39768043,+,[5187]
chr1,39784935,39784949,+,[5195]
chr1,39824953,39824973,+,[5200]
chr1,39902461,39902494,+,[5234]
chr1,39907810,39907826,+,[5240]
chr1,39943097,39943111,+,[5271]
chr1,39983323,39983341,+,[5303]
chr1,39983451,39983467,+,[5303]
chr1,40025824,40025857,+,[5323]
chr1,40031344,40031359,+,[5331]
chr1,40074525,40074545,+,[5357]
chr1,40106938,40106953,+,[5378]
chr1,40125200,40125228,+,[5389]
chr1,40162986,40163005,+,[5400]
chr1,40229219,40229234,+,[5423]
chr1,40252819,40252834,+,[5439]
chr1,40252846,40252860,+,[5439]
chr1,40262447,40262471,+,[5445]
chr1,40262960,40262980,+,[5446]
chr1,40265954,40265970,+,[5449]
chr1,40294179,40294206,+,[5471]
chr1,40295060,40295074,+,[5473]
chr1,40330565,40330581,+,[5492]
chr1,40361700,40361716,+,[5507]
chr1,40363506,40363534,+,[5508]
chr1,40382991,40383005,+,[5521]
chr1,40412575,40412597,+,[5541]
chr1,40413793,40413807,+,[5543]
chr1,40430301,40430323,+,[5548]
chr1,40437605,40437632,+,[5551]
chr1,40473940,40473955,+,[5566]
chr1,40500551,40500581,+,[5581]
chr1,40509429,40509443,+,[5586]
chr1,40516605,40516620,+,[5593]
chr1,40524607,40524621,+,[5596]
chr1,40568780,40568795,+,[5607]
chr1,40580012,40580039,+,[5610]
chr1,40600529,40600543,+,[5618]
chr1,40601447,40601495,+,[5620]
chr1,40632152,40632167,+,[5628]
chr1,40746131,40746147,+,[5664]
chr1,41428119,41428133,+,[5734]
chr1,41810392,41810407,+,[5742]
chr1,42388438,42388453,+,[5755]
chr1,42488340,42488354,+,[5758]
chr1,42684035,42684070,+,[5766]
chr1,42687402,42687416,+,[5770]
chr1,42691475,42691490,+,[5771]
chr1,42691523,42691547,+,[5771]
chr1,42696344,42696363,+,[5778]
chr1,42727734,42727748,+,[5797]
chr1,42772199,42772213,+,[5802]
chr1,43006609,43006626,+,[5843]
chr1,43078295,43078309,+,[5855]
chr1,43078387,43078401,+,[5855]
chr1,43098359,43098373,+,[5863]
chr1,43115974,43115988,+,[5872]
chr1,43151800,43151816,+,[5887]
chr1,43327248,43327262,+,[5959]
chr1,43420503,43420522,+,[5998]
chr1,43445345,43445365,+,[6009]
chr1,43468121,43468140,+,[6037]
chr1,43482996,43483010,+,[6052]
chr1,43494440,43494456,+,[6062]
chr1,43507884,43507899,+,[6074]
chr1,43520687,43520706,+,[6080]
chr1,43562384,43562398,+,[6121]
chr1,43672510,43672539,+,[6149]
chr1,43757496,43757518,+,[6169]
chr1,43760369,43760385,+,[6173]
chr1,43793862,43793878,+,[6192]
chr1,43796375,43796404,+,[6193]
chr1,43805595,43805619,+,[6197]
chr1,43818515,43818537,+,[6205]
chr1,43842383,43842398,+,[6215]
chr1,43902909,43902924,+,[6240]
chr1,43939432,43939447,+,[6255]
chr1,44020366,44020380,+,[6270]
chr1,44020512,44020526,+,[6270]
chr1,44032331,44032350,+,[6272]
chr1,44136803,44136817,+,[6304]
chr1,44148886,44148901,+,[6308]
chr1,44585045,44585074,+,[6340]
chr1,45276281,45276300,+,[6369]
chr1,45406862,45406880,+,[6379]
chr1,45431954,45431968,+,[6382]
chr1,45679632,45679662,+,[6394]
chr1,45745285,45745299,+,[6396]
chr1,45770268,45770292,+,[6402]
chr1,45825260,45825283,+,[6413]
chr1,45881597,45881611,+,[6438]
chr1,45925416,45925431,+,[6454]
chr1,46293050,46293070,+,[6477]
chr1,46293739,46293773,+,[6478]
chr1,46417033,46417099,+,[6485]
chr1,46843958,46843983,+,[6504]
chr1,46856664,46856678,+,[6513]
chr1,46856810,46856825,+,[6513]
chr1,46874032,46874051,+,[6521]
chr1,46887088,46887103,+,[6528]
chr1,46895036,46895060,+,[6532]
chr1,46939552,46939583,+,[6557]
chr1,47545837,47545855,+,[6577]
chr1,50935201,50935221,+,[6617]
chr1,50935607,50935621,+,[6618]
chr1,50960989,50961003,+,[6621]
chr1,51036407,51036423,+,[6635]
chr1,51075569,51075583,+,[6638]
chr1,51083656,51083678,+,[6640]
chr1,51105949,51105963,+,[6648]
chr1,51123251,51123270,+,[6654]
chr1,51126481,51126510,+,[6655]
chr1,51136812,51136828,+,[6657]
chr1,51245477,51245496,+,[6668]
chr1,51267335,51267350,+,[6673]
chr1,51334066,51334097,+,[6686]
chr1,51334301,51334321,+,[6687]
chr1,51361394,51361416,+,[6690]
chr1,51400566,51400585,+,[6693]
chr1,51451555,51451569,+,[6698]
chr1,51453539,51453553,+,[6700]
chr1,51461994,51462008,+,[6703]
chr1,51464914,51464947,+,[6705]
chr1,51466503,51466517,+,[6707]
chr1,51468172,51468186,+,[6710]
chr1,51478128,51478166,+,[6714]
chr1,51487158,51487177,+,[6719]
chr1,51493805,51493827,+,[6723]
chr1,51494017,51494036,+,[6724]
chr1,51494427,51494442,+,[6725]
chr1,51518796,51518812,+,[6745]
