chr,start,end,min_dist_to_HH
chr1,52100590,52100614,47756.0
chr1,52363840,52363862,11645.0
chr1,52363965,52363981,11526.0
chr1,52388557,52388576,13031.0
chr1,52391996,52392016,16470.0
chr1,52483067,52483095,107541.0
chr1,52578501,52578516,202975.0
chr1,52607740,52607776,232214.0
chr1,52607845,52607865,232319.0
chr1,52608029,52608043,232503.0
chr1,52630939,52630967,255413.0
chr1,52653569,52653588,278043.0
chr1,52751714,52751814,376188.0
chr1,52751918,52751934,376392.0
chr1,52799764,52799778,424238.0
chr1,52802562,52802600,427036.0
chr1,52844715,52844744,469189.0
chr1,53050233,53050252,299962.0
chr1,53050432,53050446,299768.0
chr1,53050482,53050502,299712.0
chr1,53610135,53610154,181465.0
chr1,53774011,53774033,17586.0
chr1,53774095,53774117,17502.0
chr1,53774300,53774319,17300.0
chr1,53781373,53781392,10227.0
chr1,53797351,53797367,5714.0
chr1,53797369,53797391,5732.0
chr1,53798004,53798018,6367.0
chr1,53808497,53808519,16860.0
chr1,53824748,53824768,33111.0
chr1,53824887,53824903,33250.0
chr1,53845628,53845647,53991.0
chr1,53851275,53851340,59638.0
chr1,53852437,53852455,60800.0
chr1,53875845,53875864,84208.0
chr1,53875930,53876016,84293.0
chr1,53882748,53882762,91111.0
chr1,53909381,53909397,117744.0
chr1,54407262,54407310,155935.0
chr1,54408376,54408399,157049.0
chr1,54408438,54408455,157111.0
chr1,54408582,54408601,157255.0
chr1,54410641,54410659,159314.0
chr1,54421669,54421685,170342.0
chr1,54438773,54438792,187446.0
chr1,54439168,54439207,187841.0
chr1,54492486,54492504,241159.0
chr1,54492519,54492535,241192.0
chr1,54493562,54493589,242235.0
chr1,54578590,54578604,282101.0
chr1,54578604,54578618,282087.0
chr1,54578690,54578714,281991.0
chr1,54578722,54578744,281961.0
chr1,54578763,54578778,281927.0
chr1,54578896,54578915,281790.0
chr1,54585396,54585410,275295.0
chr1,54585779,54585810,274895.0
chr1,54585814,54585843,274862.0
chr1,54748117,54748139,112566.0
chr1,54748162,54748184,112521.0
chr1,54842119,54842141,18564.0
chr1,54842217,54842239,18466.0
chr1,54842260,54842279,18426.0
chr1,54883064,54883093,11576.0
chr1,54896618,54896637,25130.0
chr1,54896749,54896765,25261.0
chr1,54896794,54896810,25306.0
chr1,54896971,54896993,25483.0
chr1,54913832,54913851,42344.0
chr1,54914350,54914392,42862.0
chr1,54914728,54914750,43240.0
chr1,54924155,54924171,52667.0
chr1,54924366,54924380,52878.0
chr1,55236964,55236983,365476.0
chr1,55423842,55423995,552354.0
chr1,55430704,55430718,559216.0
chr1,55446911,55446990,575423.0
chr1,56849635,56849649,358968.0
chr1,57436339,57436361,227704.0
chr1,58156964,58156980,818310.0
chr1,58156986,58157000,818290.0
chr1,58301399,58301413,673877.0
chr1,58303806,58303841,671449.0
chr1,58423298,58423320,551970.0
chr1,58423368,58423382,551908.0
chr1,58423558,58423592,551698.0
chr1,58669894,58669910,305380.0
chr1,58712469,58712503,262787.0
chr1,58716436,58716452,258838.0
chr1,58721239,58721260,254030.0
chr1,58721306,58721320,253970.0
chr1,58742574,58742603,232687.0
chr1,58795218,58795238,180052.0
chr1,58802321,58802337,172953.0
chr1,58802386,58802400,172890.0
chr1,58807125,58807141,168149.0
chr1,58860845,58860861,114429.0
chr1,58956585,58956605,18685.0
chr1,58956654,58956670,18620.0
chr1,58965419,58965473,9817.0
chr1,59602796,59602818,484829.0
chr1,59602841,59602863,484784.0
chr1,59684625,59684644,403003.0
chr1,59684744,59684758,402889.0
chr1,59684818,59684841,402806.0
chr1,59923405,59923419,164228.0
chr1,60003871,60003923,83724.0
chr1,60016265,60016284,71363.0
chr1,60016359,60016378,71269.0
chr1,60016415,60016446,71201.0
chr1,60016512,60016563,71084.0
chr1,60042763,60042781,44866.0
chr1,60097833,60097847,10168.0
chr1,60180142,60180169,92477.0
chr1,60180201,60180215,92536.0
chr1,60483197,60483215,272427.0
chr1,60539232,60539246,216396.0
chr1,60627687,60627713,127929.0
chr1,60627844,60627876,127766.0
chr1,60652594,60652630,103012.0
chr1,60653017,60653042,102600.0
chr1,60713708,60713727,41915.0
chr1,60713749,60713772,41870.0
chr1,60713967,60713986,41656.0
chr1,60720281,60720295,35347.0
chr1,60746091,60746120,9522.0
chr1,60746224,60746258,9384.0
chr1,60746536,60746551,9091.0
chr1,60761482,60761497,2940.0
chr1,60761531,60761558,2989.0
chr1,60761688,60761723,3146.0
chr1,60777097,60777119,18555.0
chr1,60777479,60777493,18937.0
chr1,60781761,60781792,23219.0
chr1,60781817,60781832,23275.0
chr1,60805764,60805783,19633.0
chr1,60875448,60875463,50014.0
chr1,60883009,60883031,57575.0
chr1,60883107,60883137,57673.0
chr1,60883218,60883247,57784.0
chr1,60887071,60887093,61637.0
chr1,60898509,60898543,73075.0
chr1,60899181,60899204,73747.0
chr1,60899224,60899246,73790.0
chr1,60908888,60908928,83454.0
chr1,60908978,60909000,83544.0
chr1,60911589,60911663,86155.0
chr1,60913267,60913296,87833.0
chr1,60913518,60913534,88084.0
chr1,60916409,60916428,90975.0
chr1,60941537,60941551,74675.0
chr1,60941561,60941576,74650.0
chr1,60941715,60941737,74489.0
chr1,60978103,60978151,38075.0
chr1,60978503,60978565,37661.0
chr1,60990616,60990630,25596.0
chr1,61030802,61030825,14557.0
chr1,61030852,61030870,14607.0
chr1,61035432,61035454,19187.0
chr1,61046115,61046174,29870.0
chr1,61050353,61050418,34108.0
chr1,61068177,61068196,39264.0
chr1,61135667,61135681,28189.0
chr1,61135832,61135846,28354.0
chr1,61135938,61135961,28460.0
chr1,61136194,61136220,28716.0
chr1,61139509,61139523,32031.0
chr1,61423577,61423596,11052.0
chr1,61423756,61423774,10874.0
chr1,62638858,62638877,538046.0
chr1,62786245,62786279,390644.0
chr1,62786318,62786332,390591.0
chr1,62786331,62786350,390573.0
chr1,63114382,63114408,62515.0
chr1,63114551,63114565,62358.0
chr1,64088152,64088191,178146.0
chr1,64088229,64088249,178088.0
chr1,64088274,64088296,178041.0
chr1,64108758,64108787,157550.0
chr1,64121106,64121137,145200.0
chr1,64121137,64121167,145170.0
chr1,64301131,64301146,34776.0
chr1,64301187,64301206,34832.0
chr1,64531862,64531881,177713.0
chr1,64531985,64532004,177590.0
chr1,65010442,65010524,300830.0
chr1,65975896,65975918,1266284.0
chr1,66552803,66552822,1843191.0
chr1,66552832,66552856,1843220.0
chr1,66700672,66700694,1991060.0
chr1,66816825,66816847,2107213.0
chr1,66817023,66817042,2107411.0
chr1,66838476,66838511,2128864.0
chr1,66838555,66838596,2128943.0
chr1,67685846,67685868,1433832.0
chr1,67685878,67685897,1433803.0
chr1,67685902,67685916,1433784.0
chr1,67686024,67686043,1433657.0
chr1,68601081,68601100,518600.0
chr1,68601187,68601206,518494.0
chr1,68601400,68601419,518281.0
chr1,69537452,69537468,117243.0
chr1,69537902,69537916,117693.0
chr1,69537991,69538005,117782.0
chr1,69538270,69538284,118061.0
chr1,69544229,69544251,124020.0
chr1,69545006,69545020,124797.0
chr1,69555514,69555538,135305.0
chr1,69555995,69556009,135786.0
chr1,69556097,69556119,135888.0
chr1,69608872,69608886,188663.0
chr1,69609068,69609104,188859.0
chr1,69644877,69644898,224668.0
chr1,69657772,69657800,237563.0
chr1,69667031,69667080,246822.0
chr1,69681323,69681367,261114.0
chr1,69687075,69687100,266866.0
chr1,69752866,69752882,332657.0
chr1,69752978,69753004,332769.0
chr1,69759405,69759431,339196.0
chr1,69759816,69759843,339607.0
chr1,69764739,69764774,344530.0
chr1,69769133,69769181,348924.0
chr1,70983350,70983372,90265.0
chr1,70983382,70983401,90297.0
chr1,70983406,70983420,90321.0
chr1,72284486,72284514,29598.0
chr1,72307170,72307209,52282.0
chr1,74145548,74145567,216617.0
chr1,74196042,74196066,267111.0
chr1,74201451,74201491,272520.0
chr1,74201626,74201645,272695.0
chr1,74201817,74201857,272886.0
chr1,74239191,74239221,310260.0
chr1,74262829,74262846,333898.0
chr1,74397254,74397286,219855.0
chr1,74808099,74808118,49244.0
chr1,75125344,75125358,16891.0
chr1,75236342,75236356,94074.0
chr1,75521859,75521875,44568.0
chr1,77940393,77940420,76757.0
chr1,77940548,77940573,76604.0
chr1,77940642,77940656,76521.0
chr1,78436252,78436271,419057.0
chr1,78436374,78436402,419179.0
chr1,78436406,78436448,419211.0
chr1,78489300,78489316,472105.0
chr1,78538502,78538529,521307.0
chr1,79464377,79464415,1447182.0
chr1,79581814,79581836,1564619.0
chr1,79752458,79752497,1460021.0
chr1,79752614,79752630,1459888.0
chr1,79761877,79761924,1450594.0
chr1,79775870,79775889,1436629.0
chr1,80381421,80381447,831071.0
chr1,80381455,80381481,831037.0
chr1,80409815,80409831,802687.0
chr1,80416432,80416451,796067.0
chr1,80416592,80416627,795891.0
chr1,80441129,80441148,771370.0
chr1,80441225,80441239,771279.0
chr1,80637070,80637087,575431.0
chr1,80644144,80644158,568360.0
chr1,80665576,80665600,546918.0
chr1,80665605,80665627,546891.0
chr1,80670584,80670600,541918.0
chr1,80670710,80670732,541786.0
chr1,80703677,80703691,508827.0
chr1,80728600,80728616,483902.0
chr1,80730762,80730776,481742.0
chr1,80746631,80746646,465872.0
chr1,80747090,80747121,465397.0
chr1,80765631,80765656,446862.0
chr1,80874474,80874488,338030.0
chr1,80874522,80874554,337964.0
chr1,81375475,81375702,162939.0
chr1,81592517,81592536,379981.0
chr1,82283078,82283114,481552.0
chr1,82807550,82807599,3683.0
chr1,82974082,82974098,73168.0
chr1,83076870,83076884,175956.0
chr1,83076931,83076946,176017.0
chr1,84839741,84839776,900593.0
chr1,84851307,84851360,889009.0
chr1,85686538,85686564,53805.0
chr1,85686564,85686579,53790.0
chr1,85732616,85732631,7738.0
chr1,85761690,85761706,21303.0
chr1,85853602,85853670,113215.0
chr1,86000563,86000583,152823.0
chr1,86004428,86004443,148963.0
chr1,86004465,86004487,148919.0
chr1,86344210,86344245,190786.0
chr1,86344538,86344553,191114.0
chr1,86393268,86393317,239844.0
chr1,86393479,86393502,240055.0
chr1,86394556,86394575,241132.0
chr1,86405110,86405159,251686.0
chr1,86434831,86434850,281407.0
chr1,86441262,86441296,287838.0
chr1,86441758,86441778,288334.0
chr1,86441840,86441866,288416.0
chr1,86471426,86471460,318002.0
chr1,86471481,86471537,318057.0
chr1,86582678,86582697,429254.0
chr1,86586947,86586961,433523.0
chr1,87098687,87098709,534145.0
chr1,87098717,87098739,534115.0
chr1,87291695,87291711,341143.0
chr1,87291795,87291829,341025.0
chr1,87291835,87291870,340984.0
chr1,87327033,87327055,305799.0
chr1,87608192,87608305,24549.0
chr1,87637089,87637111,4217.0
chr1,87660072,87660099,27200.0
chr1,87755757,87755773,122885.0
chr1,87847376,87847395,214504.0
chr1,87847519,87847581,214647.0
chr1,87847678,87847719,214806.0
chr1,87847723,87847739,214851.0
chr1,87867034,87867053,234162.0
chr1,87899915,87899935,267043.0
chr1,87922889,87922905,290017.0
chr1,88497547,88497561,56127.0
chr1,88578250,88578278,9349.0
chr1,88622856,88622870,35210.0
chr1,88644746,88644777,57100.0
chr1,88655193,88655228,67547.0
chr1,88705383,88705426,117737.0
chr1,88709148,88709174,121502.0
chr1,88709199,88709230,121553.0
chr1,88709255,88709286,121609.0
chr1,89078698,89078720,491052.0
chr1,89631355,89631429,1043709.0
chr1,89631680,89631709,1044034.0
chr1,90695486,90695505,2107840.0
chr1,91250066,91250085,2094101.0
chr1,91250248,91250279,2093907.0
chr1,91963802,91963826,1380360.0
chr1,91963925,91963939,1380247.0
chr1,92058736,92058756,1285430.0
chr1,92069477,92069499,1274687.0
chr1,92080245,92080279,1263907.0
chr1,92103664,92103678,1240508.0
chr1,92774128,92774170,570016.0
chr1,92774171,92774205,569981.0
chr1,92774205,92774219,569967.0
chr1,92895169,92895197,448989.0
chr1,93289711,93289730,54456.0
chr1,93635979,93636008,291775.0
chr1,93668999,93669015,324795.0
chr1,93755529,93755577,411325.0
chr1,93825558,93825577,481354.0
chr1,94034808,94034840,690604.0
chr1,94035656,94035670,691452.0
chr1,94091940,94091962,747736.0
chr1,94092006,94092028,747802.0
chr1,95268070,95268086,322281.0
chr1,95313868,95313886,276481.0
chr1,95572956,95572972,17395.0
chr1,95573069,95573085,17282.0
chr1,95655521,95655546,50022.0
chr1,95655898,95655912,50399.0
chr1,95656100,95656114,50601.0
chr1,95657332,95657347,51833.0
chr1,95664893,95664933,59394.0
chr1,95666635,95666676,61136.0
chr1,95667777,95667803,62278.0
chr1,95744465,95744484,138966.0
chr1,95744530,95744569,139031.0
chr1,95744594,95744608,139095.0
chr1,95744670,95744694,139171.0
chr1,96195424,96195438,589925.0
chr1,97497005,97497020,1891506.0
chr1,97580346,97580361,1974847.0
chr1,97623867,97623892,2018368.0
chr1,97660618,97660650,2055119.0
chr1,97662295,97662317,2056796.0
chr1,97770287,97770321,2164788.0
chr1,97918461,97918476,2312962.0
chr1,97925064,97925086,2319565.0
chr1,98092975,98093036,2487476.0
chr1,98093034,98093054,2487535.0
chr1,98285573,98285592,2680074.0
chr1,98985764,98985778,3380265.0
chr1,98985981,98985995,3380482.0
chr1,102005453,102005485,1894021.0
chr1,104269394,104269408,369870.0
chr1,104269537,104269559,370013.0
chr1,105663419,105663441,1094367.0
chr1,105663599,105663627,1094181.0
chr1,105838744,105838777,919031.0
chr1,105838786,105838818,918990.0
chr1,105972026,105972064,785744.0
chr1,105972130,105972148,785660.0
chr1,106152206,106152228,605580.0
chr1,106204174,106204188,553620.0
chr1,106204246,106204287,553521.0
chr1,106318556,106318594,439214.0
chr1,106321661,106321693,436115.0
chr1,106321786,106321833,435975.0
chr1,106561033,106561075,196733.0
chr1,106581738,106581760,176048.0
chr1,106600909,106600935,156873.0
chr1,106601069,106601097,156711.0
chr1,106602669,106602689,155119.0
chr1,106602712,106602734,155074.0
chr1,106602758,106602777,155031.0
chr1,106612594,106612616,145192.0
chr1,106617198,106617214,140594.0
chr1,106617422,106617445,140363.0
chr1,106647460,106647497,110311.0
chr1,106688432,106688446,69362.0
chr1,106796065,106796113,38239.0
chr1,106866851,106866870,109025.0
chr1,109266639,109266664,1057343.0
chr1,113776316,113776358,1912224.0
chr1,113776361,113776434,1912269.0
chr1,114175239,114175263,2311147.0
chr1,114175529,114175548,2311437.0
chr1,115597121,115597140,2714204.0
chr1,117957305,117957332,354012.0
chr1,117957398,117957413,353931.0
chr1,118389393,118389419,1528.0
chr1,118458891,118458905,67926.0
chr1,119836954,119836968,263481.0
chr1,119912939,119912961,187488.0
chr1,120121221,120121242,20751.0
chr1,121328223,121328243,1227753.0
chr1,121568106,121568128,1269124.0
chr1,121668195,121668217,1169035.0
chr1,125436022,125436044,36953.0
chr1,125441736,125441751,42667.0
chr1,125466646,125466668,67577.0
chr1,125466676,125466690,67607.0
chr1,125467916,125467953,68847.0
chr1,126763402,126763504,17533.0
chr1,127213483,127213499,150397.0
chr1,127213513,127213608,150288.0
chr1,127215137,127215162,148734.0
chr1,127233574,127233588,130308.0
chr1,127242695,127242714,121182.0
chr1,127322742,127322774,41122.0
chr1,127773692,127773718,303739.0
chr1,127773791,127773813,303644.0
chr1,127774033,127774052,303405.0
chr1,127796352,127796396,281061.0
chr1,127796670,127796692,280765.0
chr1,127869368,127869384,208073.0
chr1,127869425,127869444,208013.0
chr1,128104121,128104147,26645.0
chr1,128399214,128399233,212604.0
chr1,128399318,128399349,212488.0
chr1,128592038,128592054,19783.0
chr1,128602728,128602747,9090.0
chr1,128705181,128705203,93274.0
chr1,128705407,128705424,93500.0
chr1,128766515,128766585,154608.0
chr1,128766661,128766677,154754.0
chr1,128766711,128766730,154804.0
chr1,128767022,128767042,155115.0
chr1,128767178,128767197,155271.0
chr1,128767238,128767257,155331.0
chr1,128787629,128787656,175722.0
chr1,128787665,128787684,175758.0
chr1,128790905,128790943,178998.0
chr1,128790971,128790986,179064.0
chr1,128791037,128791064,179130.0
chr1,128832498,128832531,220591.0
chr1,128832652,128832701,220745.0
chr1,128832706,128832732,220799.0
chr1,130475314,130475341,679160.0
chr1,130475470,130475519,678982.0
chr1,130549496,130549511,604990.0
chr1,130549631,130549676,604825.0
chr1,130877178,130877204,277297.0
chr1,130993489,130993536,160965.0
chr1,131038928,131038965,115536.0
chr1,131076063,131076079,78422.0
chr1,131076090,131076104,78397.0
chr1,131080705,131080721,73780.0
chr1,131138861,131138898,15603.0
chr1,131278744,131278766,101084.0
chr1,131365835,131365866,13984.0
chr1,131638070,131638089,148913.0
chr1,131638218,131638232,149061.0
chr1,131638730,131638770,149573.0
chr1,131639011,131639026,149854.0
chr1,131652823,131652838,163666.0
chr1,131653064,131653086,163907.0
chr1,131653286,131653330,164129.0
chr1,131658118,131658151,168961.0
chr1,131821094,131821130,189793.0
chr1,131821293,131821312,189611.0
chr1,131995179,131995211,15712.0
chr1,132038968,132039000,28027.0
chr1,132155985,132155999,145044.0
chr1,132237867,132237883,226926.0
chr1,132341690,132341736,330749.0
chr1,132477255,132477270,466314.0
chr1,132477285,132477299,466344.0
chr1,132477329,132477345,466388.0
chr1,132968921,132968940,957980.0
chr1,132968938,132968975,957997.0
chr1,133025522,133025543,1014581.0
chr1,133029676,133029711,1018735.0
chr1,133029811,133029846,1018870.0
chr1,133029988,133030007,1019047.0
chr1,133030097,133030131,1019156.0
chr1,133039637,133039679,1023851.0
chr1,133046708,133046728,1016802.0
chr1,133545225,133545249,518281.0
chr1,133545270,133545301,518229.0
chr1,133661585,133661609,401921.0
chr1,133689760,133689792,373738.0
chr1,133772257,133772279,291251.0
chr1,133815843,133815881,247649.0
chr1,133894220,133894240,169290.0
chr1,134048726,134048819,14711.0
chr1,134059044,134059068,4462.0
chr1,134065658,134065683,2109.0
chr1,134079906,134079925,16357.0
chr1,134093510,134093532,29961.0
chr1,134361625,134361644,111672.0
chr1,134518686,134518713,41322.0
chr1,134962793,134962813,402740.0
chr1,134962915,134962935,402862.0
chr1,134962969,134963003,402916.0
chr1,135154488,135154504,515708.0
chr1,135154546,135154571,515641.0
chr1,135259370,135259384,410828.0
chr1,135259525,135259547,410665.0
chr1,135284562,135284577,385635.0
chr1,135753259,135753348,54348.0
chr1,136135285,136135301,327571.0
chr1,136254604,136254626,354384.0
chr1,136254651,136254675,354335.0
chr1,136254970,136254997,354013.0
chr1,136415697,136415733,193277.0
chr1,136618594,136618626,9566.0
chr1,136624203,136624217,15175.0
chr1,136624523,136624542,15495.0
chr1,136637097,136637113,28069.0
chr1,136637175,136637255,28147.0
chr1,136685610,136685636,76582.0
chr1,136685655,136685671,76627.0
chr1,136699066,136699085,90038.0
chr1,136699439,136699496,90411.0
chr1,136769245,136769261,160217.0
chr1,137075115,137075134,466087.0
chr1,137075202,137075263,466174.0
chr1,138134465,138134481,8985.0
chr1,138136159,138136185,8763.0
chr1,138148958,138148974,3813.0
chr1,138157121,138157137,9599.0
chr1,138162784,138162798,3938.0
chr1,138174747,138174766,7992.0
chr1,138174975,138174994,8220.0
chr1,138175171,138175202,8416.0
chr1,138175359,138175373,8604.0
chr1,138175527,138175541,8772.0
chr1,138250965,138250996,84210.0
chr1,138251214,138251240,84459.0
chr1,138251242,138251256,84487.0
chr1,138251302,138251316,84547.0
chr1,138275906,138275920,109151.0
chr1,138290310,138290324,123555.0
chr1,138290555,138290570,123800.0
chr1,138303215,138303231,136460.0
chr1,138304168,138304194,137413.0
chr1,138327360,138327374,160605.0
chr1,138328276,138328298,161521.0
chr1,138517422,138517442,25324.0
chr1,138560049,138560072,17265.0
chr1,138560074,138560089,17290.0
chr1,138560154,138560177,17370.0
chr1,138585689,138585717,42905.0
chr1,138629187,138629208,71396.0
chr1,138683892,138683911,16693.0
chr1,138964142,138964161,263520.0
chr1,138976157,138976171,275535.0
chr1,139009547,139009561,308925.0
chr1,139009600,139009614,308978.0
chr1,139009744,139009766,309122.0
chr1,139180728,139180784,480106.0
chr1,139421824,139421846,721202.0
chr1,139454584,139454603,753962.0
chr1,142358775,142358790,1908830.0
chr1,143451812,143451834,815786.0
chr1,143918961,143918984,348636.0
chr1,144004614,144004639,262981.0
chr1,144006609,144006634,260986.0
chr1,144006863,144006885,260735.0
chr1,144033760,144033784,233836.0
chr1,144248904,144248932,18688.0
chr1,144249274,144249293,18327.0
chr1,144249422,144249436,18184.0
