chr,h_h_start,h_h_end,closest_TnG_start,closest_TnG_end,tng_alignment,distance_to_closest_TnG
chr1,72254870,72254888,72284486,72284514,0,29598
chr1,73928913,73928931,73929105,73929121,1,174
chr1,74617141,74617159,74617110,74617150,1,0
chr1,74758837,74758855,74808099,74808118,1,49244
chr1,75142249,75142268,75125344,75125358,0,-16891
chr1,75477272,75477291,75521859,75521875,0,44568
chr1,77831945,77831963,77831937,77831957,1,0
chr1,77855309,77855344,77855295,77855319,1,0
chr1,78017177,78017195,78017166,78017188,1,0
chr1,81212518,81212536,81212463,81212505,0,-13
chr1,82764666,82764684,82764640,82764678,1,0
chr1,82803849,82803867,82803846,82803861,1,0
chr1,82833554,82833572,82833473,82833523,1,-31
chr1,82900896,82900914,82900844,82900870,1,-26
chr1,85740369,85740387,85740361,85740381,1,0
chr1,86153406,86153424,86153361,86153375,1,-31
chr1,87632854,87632872,87632888,87632910,1,16
chr1,88553688,88553706,88578250,88578278,0,24544
chr1,88587627,88587646,88587843,88587865,1,197
chr1,93344186,93344204,93344221,93344247,0,17
chr1,95590367,95590386,95590468,95590482,0,82
chr1,95605429,95605447,95590468,95590482,1,-14947
chr1,95605481,95605499,95590468,95590482,1,-14999
chr1,103899506,103899524,103899376,103899396,0,-110
chr1,106757808,106757826,106757849,106757863,0,23
chr1,108209278,108209296,108209453,108209472,0,157
chr1,111864074,111864092,111864282,111864296,0,190
chr1,118311344,118311362,118311653,118311675,1,291
chr1,118311443,118311461,118311653,118311675,1,192
chr1,118390947,118390965,118390972,118390995,0,7
chr1,118641723,118641741,118641711,118641735,1,0
chr1,120100449,120100470,120100454,120100495,1,0
chr1,122837252,122837270,121668195,121668217,1,-1169035
chr1,125399050,125399069,125399037,125399061,1,0
chr1,126781037,126781055,126781070,126781094,0,15
chr1,127363896,127363914,127322742,127322774,1,-41122
chr1,128077457,128077476,128077383,128077434,0,-23
chr1,128611837,128611855,128602728,128602747,1,-9090
chr1,128611888,128611907,128602728,128602747,1,-9141
chr1,131154501,131154519,131154467,131154509,1,0
chr1,131379850,131379868,131379836,131379861,1,0
chr1,131489139,131489157,131489145,131489173,1,0
chr1,132010923,132010941,132011170,132011192,0,229
chr1,134063530,134063549,134065658,134065683,1,2109
chr1,134473316,134473334,134473295,134473314,1,-2
chr1,134560035,134560053,134518686,134518713,0,-41322
chr1,135670212,135670230,135670291,135670328,0,61
chr1,135807696,135807714,135753259,135753348,1,-54348
chr1,136609010,136609028,136608914,136608957,0,-53
chr1,138125462,138125480,138125461,138125483,1,0
chr1,138144948,138144967,138145234,138145271,0,267
chr1,138145126,138145145,138145234,138145271,0,89
chr1,138166736,138166755,138166558,138166574,1,-162
chr1,138542766,138542784,138542749,138542782,1,0
chr1,138700604,138700622,138700652,138700674,0,30
chr1,144267620,144267638,144265145,144265161,1,-2459
chr1,144272990,144273008,144272981,144273000,1,0
chr1,144306632,144306651,144306641,144306657,1,0
chr1,144306728,144306746,144306737,144306759,1,0
chr1,144500081,144500099,144500078,144500092,1,0
chr1,145413860,145413878,145413856,145413872,1,0
chr1,146595569,146595587,146595565,146595581,1,0
chr1,147489669,147489687,147489629,147489653,0,-16
chr1,147928963,147928981,147928946,147928968,1,0
chr1,150465511,150465529,150465479,150465494,1,-17
chr1,151457199,151457217,151428526,151428545,1,-28654
chr1,151615441,151615459,151571270,151571285,1,-44156
chr1,152289465,152289483,152288102,152288121,0,-1344
chr1,152766351,152766369,152903117,152903132,0,136748
chr1,153413764,153413782,153413753,153413775,1,0
chr1,153614398,153614416,153614400,153614444,1,0
chr1,155159311,155159329,155159525,155159541,0,196
chr1,155159537,155159555,155159525,155159541,1,0
chr1,155172987,155173005,155159794,155159824,1,-13163
chr1,155173128,155173146,155159794,155159824,1,-13304
chr1,155173337,155173355,155159794,155159824,1,-13513
chr1,155173383,155173401,155159794,155159824,1,-13559
chr1,155530825,155530844,155564961,155564976,0,34117
chr1,155914620,155914638,155914603,155914630,1,0
chr1,156263620,156263638,156263614,156263631,1,0
chr1,156848121,156848139,156809777,156809799,0,-38322
chr1,157077233,157077251,157110160,157110182,1,32909
chr1,157990627,157990645,157990614,157990630,0,0
chr1,160058268,160058286,160058225,160058380,0,0
chr1,160307000,160307019,160306914,160306928,0,-72
chr1,160397441,160397459,160397412,160397438,0,-3
chr1,160926454,160926472,160926457,160926482,1,0
chr1,161767112,161767130,161767124,161767143,1,0
chr1,161894290,161894308,161894336,161894356,0,28
chr1,161903287,161903306,161903280,161903296,1,0
chr1,161975375,161975393,162000019,162000070,1,24626
chr1,162207278,162207296,162207271,162207312,1,0
chr1,165193541,165193560,165193631,165193650,1,71
chr1,165643490,165643508,165643418,165643433,1,-57
chr1,165986288,165986306,165986479,165986493,1,173
chr1,166410014,166410032,166048420,166048441,1,-361573
chr1,168891258,168891276,167394043,167394062,1,-1497196
chr1,170215494,170215512,170861714,170861745,0,646202
chr1,171380045,171380063,171411911,171411952,0,31848
chr1,171412777,171412795,171412313,171412348,1,-429
chr1,173398823,173398841,173398929,173398958,0,88
chr1,173657472,173657490,173657352,173657387,0,-85
chr1,173680824,173680842,173680797,173680836,1,0
chr1,176986304,176986322,176993453,176993475,0,7131
chr1,177338240,177338258,177338243,177338265,1,0
chr1,180304813,180304831,180304900,180304922,1,69
chr1,181240704,181240722,181240586,181240630,0,-74
chr1,183180149,183180171,183180107,183180163,1,0
chr1,183238065,183238083,183238040,183238054,0,-11
chr1,184061807,184061825,184061799,184061819,1,0
chr1,184074698,184074716,184074707,184074723,1,0
chr1,184074838,184074856,184074847,184074874,1,0
chr1,184845323,184845341,184845158,184845172,1,-151
chr1,186193512,186193530,186193519,186193538,1,0
chr1,186562569,186562587,186562647,186562669,1,60
chr1,186693405,186693423,186749652,186749757,0,56229
chr1,186735110,186735128,186749652,186749757,0,14524
chr1,188027545,188027563,187215330,187215349,1,-812196
chr1,191409780,191409798,191409938,191409960,1,140
chr1,191988758,191988776,191988581,191988600,0,-158
chr1,193193968,193193986,193193977,193194005,1,0
chr1,193421379,193421397,193338459,193338481,1,-82898
chr1,193839234,193839252,193839240,193839274,1,0
chr1,194728179,194728197,194728167,194728183,1,0
chr10,3699104,3699123,4206511,4206525,1,507388
chr10,4206713,4206731,4206717,4206770,1,0
chr10,4532644,4532662,4532681,4532697,1,19
chr10,5194699,5194717,5195043,5195063,1,326
chr10,5979424,5979442,5979431,5979450,1,0
chr10,6980583,6980601,6980393,6980407,0,-176
chr10,7595079,7595097,7595091,7595110,1,0
chr10,7600691,7600709,7600847,7600861,0,138
chr10,7863453,7863471,7847507,7847529,1,-15924
chr10,8517079,8517097,8517050,8517090,1,0
chr10,8640991,8641009,8641110,8641132,0,101
chr10,10051380,10051398,10143299,10143313,0,91901
chr10,11165312,11165330,11165192,11165221,1,-91
chr10,12524435,12524453,12524442,12524484,1,0
chr10,12813872,12813890,12813749,12813771,1,-101
chr10,12923334,12923352,12923343,12923371,1,0
chr10,12980896,12980914,12981115,12981143,0,201
chr10,14016484,14016503,14018426,14018441,0,1923
chr10,14043516,14043534,14045867,14045889,1,2333
chr10,17457514,17457532,17457378,17457394,0,-120
chr10,17926616,17926634,17926652,17926673,1,18
chr10,19116942,19116961,19116954,19116973,1,0
chr10,19504697,19504716,19504978,19504992,0,262
chr10,19577827,19577845,19578315,19578330,0,470
chr10,20230154,20230172,20281451,20281477,0,51279
chr10,21535855,21535873,21535714,21535730,0,-125
chr10,23942625,23942643,23942590,23942606,1,-19
chr10,25313779,25313797,25313760,25313789,1,0
chr10,25395665,25395683,25395477,25395509,0,-156
chr10,26133545,26133563,26133558,26133572,1,0
chr10,28594023,28594041,28594402,28594422,0,361
chr10,29936958,29936976,29936893,29936945,1,-13
chr10,30802502,30802520,30811099,30811118,1,8579
chr10,32755215,32755233,31668499,31668514,1,-1086701
chr10,34735889,34735907,34735891,34735923,1,0
chr10,38109015,38109033,38109000,38109020,1,0
chr10,39470297,39470315,39470711,39470725,1,396
chr10,40163543,40163561,40163354,40163382,1,-161
chr10,40342613,40342631,40342604,40342618,1,0
chr10,40386305,40386323,40386196,40386212,1,-93
chr10,40420334,40420352,40420222,40420255,1,-79
chr10,40543708,40543726,40479559,40479573,0,-64135
chr10,41614521,41614539,41614445,41614510,0,-11
chr10,41900017,41900035,41893737,41893756,1,-6261
chr10,42219170,42219188,42277923,42277939,1,58735
chr10,43777889,43777907,43740802,43740844,1,-37045
chr10,44418624,44418642,44429811,44429825,0,11169
chr10,44957872,44957890,44957881,44957897,1,0
chr10,47412521,47412539,47412394,47412533,1,0
chr10,49893563,49893581,49893446,49893460,0,-103
chr10,51727289,51727307,51727512,51727531,1,205
chr10,52927151,52927169,52927241,52927267,0,72
chr10,53595996,53596014,53595763,53595782,0,-214
chr10,53641715,53641734,53641638,53641652,0,-63
chr10,57743739,57743758,57743717,57743755,1,0
chr10,58370379,58370397,58370386,58370413,1,0
chr10,58446622,58446640,58488391,58488418,1,41751
chr10,58488563,58488581,58488532,58488569,1,0
chr10,58756039,58756057,58755976,58755991,1,-48
chr10,59836642,59836660,59836613,59836657,1,0
chr10,61145972,61145990,61145978,61146000,1,0
chr10,61148095,61148113,61148058,61148109,1,0
chr10,61418274,61418292,61453220,61453236,0,34928
chr10,61452338,61452356,61453220,61453236,0,864
chr10,61520175,61520193,61520184,61520200,1,0
chr10,61838700,61838718,61838706,61838734,1,0
chr10,62506648,62506667,62506622,62506660,1,0
chr10,62784511,62784529,62784399,62784428,1,-83
chr10,65125145,65125163,65125068,65125091,0,-54
chr10,66559484,66559502,66525249,66525271,0,-34213
chr10,66864546,66864565,66864535,66864555,1,0
chr10,67184590,67184608,67184581,67184600,1,0
chr10,67184627,67184646,67184581,67184600,1,-27
chr10,67459035,67459053,67459014,67459036,1,0
chr10,67998447,67998465,68035770,68035784,0,37305
chr10,68241237,68241255,68241109,68241143,0,-94
chr10,72654940,72654959,72689119,72689135,1,34160
chr10,74676718,74676736,75059382,75059404,0,382646
chr10,75740345,75740363,75740417,75740456,0,54
chr10,77537023,77537041,77537028,77537043,1,0
chr10,78605312,78605330,78605333,78605428,1,3
chr10,79861787,79861809,79861798,79861838,1,0
chr10,80676515,80676533,80695276,80695295,1,18743
chr10,80738933,80738951,80738886,80738932,0,-1
chr10,81017348,81017366,81017356,81017388,1,0
chr10,81329324,81329342,81357316,81357338,1,27974
chr10,81384224,81384242,81384149,81384173,1,-51
chr10,81502586,81502604,81502572,81502597,1,0
chr10,82170802,82170820,82393338,82393360,0,222518
chr10,82580603,82580621,82580612,82580630,1,0
chr10,83719108,83719126,83719139,83719159,1,13
chr10,85118774,85118792,85128388,85128412,1,9596
chr10,87972749,87972767,87972671,87972693,1,-56
chr10,87972797,87972815,87972671,87972693,1,-104
chr10,88730959,88730977,88730990,88731005,0,13
chr10,90558172,90558190,90558041,90558055,0,-117
chr10,90614903,90614921,90614894,90614909,1,0
chr10,93452180,93452199,93452678,93452697,0,479
chr10,93688874,93688892,93688911,93688925,1,19
chr10,94696772,94696790,94696698,94696785,1,0
chr10,95397993,95398011,95418615,95418688,0,20604
chr10,95474995,95475014,95474995,95475029,1,0
chr10,95699125,95699143,95699133,95699153,1,0
chr10,95814949,95814967,95815305,95815324,0,338
chr10,95879975,95879993,95880029,95880051,0,36
chr10,95940013,95940032,95940135,95940150,0,103
chr10,96393153,96393171,96398565,96398618,0,5394
chr10,96409539,96409557,96409445,96409487,0,-52
chr10,96609542,96609560,96609443,96609483,0,-59
chr10,96694066,96694084,96694102,96694124,0,18
chr10,96786949,96786967,96786931,96786960,1,0
chr10,96787317,96787335,96787601,96787644,0,266
chr10,96822498,96822516,96822768,96822784,0,252
chr10,96934984,96935002,96934997,96935012,0,0
chr10,97345860,97345879,97333895,97333948,0,-11912
chr10,97535405,97535423,97333895,97333948,0,-201457
chr10,98785589,98785607,98785540,98785567,1,-22
chr10,98788490,98788508,98788577,98788597,0,69
chr10,98885908,98885926,98885876,98885922,1,0
chr10,99127916,99127934,99117090,99117128,1,-10788
chr10,99242081,99242099,99204810,99204841,0,-37240
chr10,100685078,100685096,100651472,100651494,0,-33584
chr10,105393154,105393172,105393145,105393159,1,0
chr10,110489725,110489743,110489693,110489736,1,0
chr10,110745420,110745438,110891071,110891090,1,145633
chr10,111008241,111008259,111008276,111008320,0,17
chr10,112861212,112861230,112861224,112861238,1,0
chr10,114363914,114363932,114363918,114363955,1,0
chr10,116477314,116477332,116477322,116477338,1,0
chr10,116949167,116949185,116914237,116914265,0,-34902
chr10,117625811,117625829,117625924,117625948,1,95
chr10,117768211,117768229,117768098,117768133,1,-78
chr10,117804139,117804157,117804145,117804177,1,0
chr10,117952899,117952918,117948507,117948523,1,-4376
chr10,118141466,118141484,118172594,118172608,1,31110
chr10,118406889,118406908,118406882,118406896,1,0
chr10,121533890,121533908,121533917,121533936,1,9
chr10,122758409,122758427,122758527,122758555,1,100
chr10,122758716,122758734,122758644,122758659,0,-57
chr10,123786502,123786520,123786481,123786503,0,0
chr10,127642343,127642362,127642283,127642299,1,-44
chr10,128080854,128080872,128080869,128080908,0,0
chr10,128212028,128212047,128212020,128212039,1,0
chr10,128455332,128455351,128439232,128439264,1,-16068
chr11,3345094,3345112,3345063,3345085,1,-9
chr11,4246796,4246814,4246802,4246824,1,0
chr11,4335164,4335182,4335098,4335117,0,-47
chr11,4814000,4814018,4814012,4814026,1,0
chr11,4869423,4869441,4869412,4869435,1,0
chr11,5216021,5216039,5215533,5215563,0,-458
chr11,5331993,5332011,5411696,5411711,1,79685
chr11,6000955,6000973,6006780,6006802,0,5807
chr11,6559272,6559290,6567931,6567959,1,8641
chr11,6679980,6679998,6679993,6680058,1,0
chr11,11569830,11569849,11529219,11529233,0,-40597
chr11,11836799,11836817,11836835,11836857,0,18
chr11,12291615,12291633,12291514,12291540,1,-75
chr11,20315961,20315979,20315966,20315986,1,0
chr11,20316189,20316207,20316175,20316203,1,0
chr11,21219482,21219501,21223180,21223197,0,3679
chr11,22363061,22363079,22363049,22363066,1,0
chr11,22972971,22972989,22973268,22973287,1,279
chr11,23405784,23405803,23405773,23405789,1,0
chr11,23675400,23675418,23769699,23769721,1,94281
chr11,24997195,24997213,24997203,24997218,1,0
chr11,25660581,25660599,25373900,25373937,0,-286644
chr11,27669750,27669768,27669759,27669775,1,0
chr11,28399013,28399031,28399024,28399039,1,0
chr11,28484040,28484058,28484321,28484336,0,263
chr11,29139483,29139501,29139488,29139508,1,0
chr11,29561292,29561310,29561276,29561295,0,0
chr11,30776672,30776690,30776648,30776687,1,0
chr11,31279367,31279385,31279268,31279293,0,-74
chr11,32126136,32126154,32126204,32126244,0,50
chr11,32226198,32226216,32216966,32217007,0,-9191
chr11,34763685,34763703,34763691,34763719,1,0
chr11,34833729,34833747,34833810,34833845,0,63
chr11,36045851,36045870,35834706,35834757,1,-211094
chr11,38188851,38188869,38189087,38189103,1,218
chr11,38189078,38189096,38189087,38189103,1,0
chr11,39013047,39013065,39012957,39013003,0,-44
chr11,39319158,39319176,39013149,39013168,1,-305990
chr11,41915616,41915634,41915623,41915642,1,0
chr11,42788296,42788314,42788288,42788304,1,0
chr11,43375995,43376013,43426347,43426415,1,50334
chr11,43923841,43923860,43923823,43923847,1,0
chr11,44495484,44495502,44495450,44495506,1,0
chr11,44893045,44893064,44544070,44544102,1,-348943
chr11,45872280,45872298,45875618,45875641,0,3320
chr11,46252142,46252160,46343828,46343844,0,91668
chr11,46582376,46582394,46582151,46582173,0,-203
chr11,48111622,48111641,48111585,48111612,1,-10
chr11,49204646,49204665,49204639,49204655,1,0
chr11,49982948,49982966,49982976,49983010,1,10
chr11,50377473,50377492,50377481,50377495,1,0
chr11,52008419,52008437,52011075,52011091,0,2638
chr11,52066105,52066123,52036021,52036035,1,-30070
chr11,52522683,52522701,52396230,52396269,0,-126414
chr11,53179244,53179262,53179179,53179198,0,-46
chr11,53179314,53179332,53179179,53179198,0,-116
chr11,53617329,53617347,53590541,53590573,1,-26756
chr11,54500439,54500457,54500259,54500288,1,-151
chr11,54522831,54522849,54522424,54522454,1,-377
chr11,54941893,54941911,54941950,54941972,1,39
chr11,58139831,58139849,58168750,58168778,1,28901
chr11,60084984,60085002,60084960,60084993,1,0
chr11,60976697,60976715,61231783,61231819,0,255068
chr11,61231812,61231830,61231783,61231819,1,0
chr11,62467047,62467065,62466766,62466781,1,-266
chr11,62487471,62487490,62487458,62487483,1,0
chr11,66172070,66172088,66172237,66172256,1,149
chr11,67051821,67051840,67051917,67051940,1,77
chr11,68430704,68430722,68451187,68451203,0,20465
chr11,69432215,69432233,69432101,69432130,1,-85
chr11,69682292,69682310,69682273,69682299,1,0
chr11,70506352,70506370,70506341,70506361,1,0
chr11,72182409,72182427,72182310,72182324,0,-85
chr11,73199721,73199740,72795964,72796007,0,-403714
chr11,74801971,74801989,74960225,74960241,0,158236
chr11,74838808,74838827,74960225,74960241,0,121398
chr11,75323212,75323230,75323131,75323153,0,-59
chr11,75338443,75338461,75338628,75338669,1,167
chr11,76038200,76038219,76037785,76037812,0,-388
chr11,76406736,76406754,76406975,76406991,0,221
chr11,77051977,77051995,77051938,77051971,1,-6
chr11,78175177,78175195,78175149,78175185,1,0
chr11,78509393,78509411,78509399,78509427,1,0
chr11,79010611,79010629,79010672,79010720,0,43
chr11,79130466,79130484,79218097,79218147,0,87613
chr11,79282643,79282661,79296327,79296349,1,13666
chr11,79398332,79398351,79398335,79398377,1,0
chr11,79641311,79641329,79641231,79641253,1,-58
chr11,79962636,79962654,79962634,79962648,1,0
chr11,80525044,80525062,80525026,80525055,1,0
chr11,82952616,82952634,82947707,82947727,1,-4889
chr11,84808672,84808690,85324179,85324207,0,515489
chr11,87937928,87937946,87937913,87937933,0,0
chr11,88455307,88455325,88455290,88455309,1,0
chr11,88564805,88564823,88564748,88564817,1,0
chr11,90242120,90242138,90242225,90242271,0,87
chr11,90257165,90257183,90257170,90257185,1,0
chr11,90637971,90637989,90548795,90548822,1,-89149
chr11,92022401,92022419,92022380,92022396,0,-5
chr11,92952593,92952611,92952472,92952486,1,-107
chr11,93306725,93306743,93306735,93306765,1,0
chr11,93591079,93591097,93591091,93591105,1,0
chr11,93591447,93591465,93591456,93591481,1,0
chr11,93995449,93995468,93968433,93968460,1,-26989
chr11,94719386,94719404,94698192,94698211,1,-21175
chr11,95364301,95364319,95364284,95364316,1,0
chr11,96504725,96504743,96468398,96468412,0,-36313
chr11,97622449,97622467,97622457,97622471,1,0
chr11,97719043,97719062,97719032,97719047,1,0
chr11,97822030,97822048,97841062,97841098,0,19014
chr11,98044289,98044307,98044139,98044174,0,-115
chr11,98513908,98513927,98513832,98513854,1,-54
chr11,99124265,99124284,99124130,99124158,1,-107
chr11,99238700,99238718,99238851,99238873,0,133
chr11,103168950,103168968,103133120,103133134,1,-35816
chr11,104382096,104382114,104383227,104383266,1,1113
chr11,105180519,105180537,105180521,105180540,1,0
chr11,105445116,105445134,105445136,105445162,0,2
chr11,105450147,105450165,105450144,105450158,1,0
chr11,106581354,106581372,106588108,106588128,0,6736
chr11,106874274,106874293,106779835,106779854,1,-94420
chr11,107013220,107013239,107013188,107013234,1,0
chr11,107027502,107027520,107027613,107027633,0,93
chr11,107458494,107458512,107464126,107464179,1,5614
chr11,107547542,107547560,107529765,107529781,0,-17761
chr11,107547601,107547619,107529765,107529781,0,-17820
chr11,108171961,108171979,108178890,108178912,0,6911
chr11,108172129,108172147,108178890,108178912,0,6743
chr11,108216324,108216342,108222950,108222972,1,6608
chr11,108335013,108335032,108273896,108273910,0,-61103
chr11,108901442,108901460,108901314,108901333,1,-109
chr11,109419780,109419798,109419686,109419706,1,-74
chr11,109560815,109560833,109553980,109553997,1,-6818
chr11,109873574,109873592,109873621,109873640,1,29
chr11,110125210,110125228,110125215,110125239,1,0
chr11,110350774,110350792,110350779,110350799,1,0
chr11,110399471,110399489,110399556,110399671,0,67
chr11,112324148,112324166,112324154,112324182,1,0
chr11,113174218,113174237,113268077,113268091,0,93840
chr11,115074122,115074140,115158113,115158127,0,83973
chr11,115771366,115771384,115771328,115771357,1,-9
chr11,116081014,116081032,116080991,116081025,1,0
chr11,116886302,116886320,116886353,116886390,0,33
chr11,117071941,117071959,117071871,117071952,1,0
chr11,117409709,117409728,117409862,117409891,0,134
chr11,117871624,117871642,117846977,117846993,0,-24631
chr11,119503892,119503910,119258993,119259017,1,-244875
chr12,3606774,3606792,3606668,3606682,0,-92
chr12,3606879,3606897,3606668,3606682,0,-197
chr12,5910437,5910455,5910541,5910555,0,86
chr12,9485388,9485406,9485393,9485409,1,0
chr12,11230232,11230250,11230347,11230373,1,97
chr12,13719351,13719369,12373111,12373130,1,-1346221
chr12,16006932,16006951,16009259,16009278,0,2308
chr12,16583832,16583850,16583926,16583952,1,76
chr12,17658124,17658142,17556844,17556862,1,-101262
chr12,21151022,21151040,21151014,21151036,1,0
chr12,24259876,24259894,24259883,24259912,1,0
chr12,25241868,25241886,25360145,25360160,1,118259
chr12,25885496,25885514,25864500,25864514,1,-20982
chr12,28779614,28779632,28779561,28779575,1,-39
chr12,31176129,31176148,31351602,31351618,1,175454
chr12,31988335,31988353,31988344,31988360,1,0
chr12,32202129,32202147,32208294,32208316,1,6147
chr12,32814031,32814050,33076493,33076509,1,262443
chr12,33333453,33333471,33302905,33302924,1,-30529
chr12,33333509,33333527,33302905,33302924,1,-30585
chr12,34533263,34533281,34533140,34533155,0,-108
chr12,34533411,34533429,34533140,34533155,0,-256
chr12,34649651,34649669,34533140,34533155,0,-116496
chr12,35755424,35755443,35755305,35755329,0,-95
chr12,36032589,36032607,36039495,36039514,0,6888
chr12,36155751,36155769,36155785,36155811,1,16
chr12,36156890,36156908,36155785,36155811,0,-1079
chr12,38929045,38929063,38778521,38778541,1,-150504
chr12,40038680,40038698,40038685,40038701,1,0
chr12,41247159,41247178,41247152,41247168,1,0
chr12,42090454,42090472,42090456,42090492,1,0
chr12,42405633,42405651,42405624,42405645,1,0
chr12,43635444,43635462,43635395,43635455,1,0
chr12,43765589,43765607,43765601,43765629,1,0
chr12,44203577,44203595,44203597,44203611,1,2
chr12,44203634,44203652,44203597,44203611,0,-23
chr12,45793806,45793824,44268906,44268922,0,-1524884
chr12,49290785,49290803,51747067,51747091,0,2456264
chr12,51865076,51865094,51865971,51865993,1,877
chr12,52454409,52454427,52454421,52454440,1,0
chr12,55488943,55488961,55465173,55465205,1,-23738
chr12,59218859,59218877,59219460,59219488,1,583
chr12,60802286,60802304,60802295,60802330,1,0
chr12,63849034,63849052,63849047,63849063,1,0
chr12,65233185,65233203,65233140,65233173,1,-12
chr12,65340882,65340900,65340885,65340958,1,0
chr12,66895222,66895240,67076439,67076454,1,181199
chr12,67076564,67076582,67076439,67076454,0,-110
chr12,68024307,68024325,68024293,68024312,1,0
chr12,68024399,68024417,68024383,68024405,1,0
chr12,69164911,69164929,69164871,69164900,1,-11
chr12,69447212,69447230,69448344,69448370,0,1114
chr12,69447921,69447939,69448344,69448370,0,405
chr12,69462083,69462101,69475721,69475779,1,13620
chr12,69513857,69513875,69513818,69513870,1,0
chr12,69530217,69530235,69530039,69530073,0,-144
chr12,69616057,69616075,69616066,69616084,1,0
chr12,71047445,71047464,71047427,71047457,1,0
chr12,71048013,71048032,71048020,71048039,1,0
chr12,71048103,71048121,71048093,71048112,1,0
chr12,72529731,72529749,72665069,72665093,1,135320
chr12,73123487,73123506,73123510,73123524,0,4
chr12,73611253,73611271,73605320,73605351,1,-5902
chr12,73888516,73888534,73880054,73880093,0,-8423
chr12,73888602,73888621,73880054,73880093,0,-8509
chr12,73908861,73908879,73880054,73880093,0,-28768
chr12,76379699,76379717,76379707,76379721,1,0
chr12,76515948,76515966,76515957,76515973,1,0
chr12,76868045,76868063,76868257,76868285,0,194
chr12,78568990,78569008,78568825,78568855,0,-135
chr12,79296579,79296598,79296566,79296592,1,0
chr12,79381532,79381550,79381580,79381617,0,30
chr12,79444789,79444813,79444781,79444800,1,0
chr12,79633935,79633953,79633965,79633980,0,12
chr12,80069123,80069141,80068981,80069061,1,-62
chr12,80462986,80463005,80462964,80462987,0,0
chr12,82189845,82189863,82203229,82203248,0,13366
chr12,82542096,82542114,82542025,82542073,1,-23
chr12,83443001,83443019,83443037,83443059,1,18
chr12,84417179,84417197,84407954,84407976,0,-9203
chr12,84882603,84882621,84969025,84969051,1,86404
chr12,85427808,85427827,85427815,85427837,1,0
chr12,85818739,85818757,85845963,85845985,1,27206
