,chr,TnG_start,TnG_end,strand
66,chr1,20820531,20820565,-
67,chr1,20825017,20825034,+
68,chr1,20825337,20825357,+
69,chr1,20825643,20825658,+
70,chr1,20913019,20913035,+
71,chr1,20943120,20943140,+
72,chr1,20943295,20943359,+
73,chr1,20969228,20969245,+
74,chr1,20969351,20969373,+
75,chr1,20969442,20969544,-
76,chr1,20969563,20969579,+
77,chr1,20969619,20969636,+
78,chr1,20969735,20969763,+
79,chr1,20969788,20969808,+
80,chr1,20969813,20969861,+
81,chr1,21029501,21029533,+
82,chr1,21029590,21029613,+
83,chr1,21052245,21052261,-
84,chr1,21052502,21052527,-
85,chr1,21140102,21140203,+
86,chr1,21140486,21140512,+
87,chr1,21333507,21333527,+
88,chr1,21333955,21333997,+
89,chr1,21480042,21480127,+
90,chr1,21480203,21480220,-
91,chr1,21480268,21480303,-
92,chr1,21963147,21963177,-
93,chr1,21963616,21963633,+
94,chr1,23272394,23272415,-
95,chr1,23272430,23272456,+
96,chr1,23882861,23882881,+
97,chr1,24612044,24612059,+
98,chr1,24614666,24614690,-
99,chr1,24615002,24615025,-
100,chr1,24615202,24615217,+
101,chr1,24615410,24615434,-
102,chr1,24615609,24615624,-
103,chr1,24615697,24615717,-
104,chr1,24678019,24678039,+
105,chr1,24678044,24678061,-
106,chr1,24678242,24678272,+
107,chr1,24679134,24679159,-
108,chr1,24679392,24679412,-
109,chr1,30872643,30872675,-
110,chr1,30872826,30872848,+
111,chr1,30874322,30874361,+
112,chr1,30920778,30920825,+
113,chr1,30920889,30920924,+
114,chr1,30948672,30948688,+
115,chr1,30948924,30948949,+
116,chr1,30950245,30950261,-
117,chr1,30950451,30950483,-
118,chr1,33669902,33669937,-
119,chr1,33670085,33670120,-
120,chr1,33883646,33883678,+
121,chr1,33883738,33883754,-
122,chr1,34428913,34428975,-
123,chr1,34433709,34433740,+
124,chr1,34434205,34434255,+
125,chr1,34434291,34434322,+
126,chr1,34434424,34434441,-
127,chr1,34434629,34434644,+
128,chr1,34434792,34434807,+
129,chr1,34510906,34510927,-
130,chr1,34831740,34831765,+
131,chr1,34835501,34835529,+
132,chr1,34843219,34843240,-
133,chr1,34843331,34843346,-
134,chr1,35653180,35653200,-
135,chr1,35653907,35653934,+
136,chr1,35653952,35654009,+
137,chr1,35654025,35654043,+
138,chr1,35654045,35654065,+
139,chr1,35708963,35709019,+
140,chr1,35816842,35816872,-
141,chr1,35862236,35862265,-
142,chr1,35862384,35862404,-
143,chr1,35862434,35862470,-
144,chr1,35943725,35943782,-
145,chr1,35944233,35944305,-
146,chr1,35983428,35983448,+
147,chr1,36097432,36097533,-
148,chr1,36097555,36097662,-
149,chr1,36148794,36148814,+
150,chr1,36148829,36148844,+
151,chr1,36148895,36148910,+
152,chr1,36149302,36149317,+
153,chr1,36149677,36149725,+
154,chr1,36159698,36159723,+
155,chr1,36161067,36161084,+
156,chr1,36165553,36165569,+
157,chr1,36165615,36165644,+
158,chr1,36165744,36165761,+
159,chr1,36256345,36256386,+
160,chr1,36256388,36256405,-
161,chr1,36260301,36260334,+
162,chr1,36260480,36260524,+
163,chr1,36260784,36260801,+
164,chr1,36260811,36260828,+
165,chr1,36262218,36262240,-
166,chr1,36264370,36264420,.
167,chr1,36266991,36267012,+
168,chr1,36267097,36267144,-
169,chr1,36272589,36272605,-
170,chr1,36274228,36274254,+
171,chr1,36293889,36293904,+
172,chr1,36295013,36295045,-
173,chr1,36295546,36295561,-
174,chr1,36308330,36308363,-
175,chr1,36309748,36309788,-
176,chr1,36310076,36310096,-
177,chr1,36445472,36445489,-
178,chr1,36470511,36470552,+
179,chr1,36470688,36470740,+
180,chr1,36470863,36470888,-
181,chr1,36511363,36511383,+
182,chr1,36511515,36511548,+
183,chr1,36691190,36691205,+
184,chr1,36737561,36737581,-
185,chr1,36797749,36797770,-
186,chr1,36807276,36807297,-
187,chr1,36807466,36807491,-
188,chr1,36911980,36911997,+
189,chr1,36921716,36921736,+
190,chr1,36922259,36922289,+
191,chr1,36940273,36940294,-
192,chr1,36960712,36960727,-
193,chr1,36961031,36961054,-
194,chr1,37000254,37000289,+
195,chr1,37000456,37000472,+
196,chr1,37000851,37000874,+
197,chr1,37028963,37028988,+
198,chr1,37029824,37029844,+
199,chr1,37030768,37030808,+
200,chr1,37299475,37299510,+
201,chr1,37300430,37300447,+
202,chr1,37300542,37300562,-
203,chr1,37469162,37469182,+
204,chr1,37469285,37469305,+
205,chr1,37473023,37473043,+
206,chr1,37477476,37477493,+
207,chr1,37478006,37478027,+
208,chr1,37478069,37478089,+
209,chr1,37478724,37478740,+
210,chr1,37479054,37479074,+
211,chr1,37479105,37479128,+
212,chr1,37481096,37481111,+
213,chr1,37481205,37481225,+
214,chr1,37481231,37481249,+
215,chr1,37481466,37481493,-
216,chr1,37496194,37496214,-
217,chr1,37530188,37530217,+
218,chr1,37614757,37614777,-
219,chr1,37614874,37614894,-
220,chr1,37872267,37872287,-
221,chr1,37872523,37872543,+
222,chr1,37872768,37872784,+
223,chr1,37890099,37890119,-
224,chr1,37997496,37997513,-
225,chr1,37998298,37998315,+
226,chr1,38130355,38130397,+
227,chr1,38130422,38130445,+
228,chr1,38149889,38149927,+
229,chr1,38149931,38149965,+
230,chr1,38657777,38657800,-
231,chr1,38657873,38657888,-
232,chr1,38664187,38664207,-
233,chr1,38664869,38664889,-
234,chr1,38898297,38898328,+
235,chr1,38898330,38898346,+
236,chr1,38898349,38898366,+
237,chr1,38898469,38898510,-
238,chr1,39090116,39090133,+
239,chr1,39090324,39090339,+
240,chr1,39090371,39090391,+
241,chr1,39090466,39090485,-
242,chr1,39091660,39091675,+
243,chr1,39091798,39091836,-
244,chr1,39092992,39093009,+
245,chr1,39097215,39097232,-
246,chr1,39102179,39102202,-
247,chr1,39102449,39102469,+
248,chr1,39102574,39102602,-
249,chr1,39281434,39281463,+
250,chr1,39535365,39535381,-
251,chr1,39555818,39555843,-
252,chr1,39576408,39576424,+
253,chr1,39577697,39577739,+
254,chr1,39714289,39714312,-
255,chr1,39735892,39735909,-
256,chr1,39735957,39735980,-
257,chr1,39746519,39746534,+
258,chr1,39746953,39746973,-
259,chr1,39749678,39749701,-
260,chr1,39842020,39842045,-
261,chr1,39842895,39842958,-
262,chr1,39843676,39843693,+
263,chr1,39843726,39843747,+
264,chr1,39896521,39896538,+
265,chr1,39901703,39901747,-
266,chr1,39902404,39902424,-
267,chr1,39902461,39902495,+
268,chr1,39904231,39904248,+
269,chr1,39904269,39904286,+
270,chr1,39904307,39904324,+
271,chr1,39904379,39904396,+
272,chr1,39904443,39904460,+
273,chr1,39907364,39907381,-
274,chr1,39917068,39917083,-
275,chr1,39917087,39917107,-
276,chr1,39917716,39917741,-
277,chr1,39918248,39918268,-
278,chr1,39918480,39918507,-
279,chr1,39936344,39936369,-
280,chr1,39936793,39936808,-
281,chr1,39936828,39936868,-
282,chr1,39944688,39944708,-
283,chr1,39954617,39954633,-
284,chr1,40081901,40081958,+
285,chr1,40324455,40324470,-
286,chr1,40324876,40324899,-
287,chr1,40324908,40324929,-
288,chr1,40325024,40325041,-
289,chr1,40325085,40325113,-
290,chr1,40382990,40383015,+
291,chr1,40470000,40470020,-
292,chr1,40473940,40473956,+
293,chr1,40474653,40474673,-
294,chr1,40474996,40475011,+
295,chr1,40475267,40475282,+
296,chr1,40475885,40475908,-
297,chr1,40476514,40476534,+
298,chr1,40479634,40479654,-
299,chr1,40479978,40479993,-
300,chr1,40515477,40515492,-
301,chr1,40687831,40687846,+
302,chr1,40687915,40687930,-
303,chr1,40751546,40751700,+
304,chr1,40751726,40751746,-
305,chr1,43098359,43098374,+
306,chr1,43403703,43403767,-
307,chr1,43451461,43451481,-
308,chr1,43451509,43451536,-
309,chr1,43456824,43456840,-
310,chr1,43457114,43457134,+
311,chr1,43457190,43457210,-
312,chr1,43464797,43464814,-
313,chr1,43464917,43464935,-
314,chr1,43465008,43465023,-
315,chr1,43465531,43465548,-
316,chr1,43467613,43467651,+
317,chr1,43467993,43468014,-
318,chr1,43468121,43468141,+
319,chr1,43472573,43472593,+
320,chr1,43472684,43472704,-
321,chr1,43472715,43472730,+
322,chr1,43501423,43501447,-
323,chr1,43535084,43535105,+
324,chr1,43542320,43542340,-
325,chr1,43542959,43542979,-
326,chr1,43562382,43562399,+
327,chr1,43592341,43592358,-
328,chr1,43826895,43826936,+
329,chr1,43880566,43880594,-
330,chr1,43934667,43934688,-
331,chr1,43934726,43934746,-
332,chr1,44101332,44101361,+
333,chr1,44101874,44101894,+
334,chr1,44102006,44102021,+
335,chr1,45734291,45734311,-
336,chr1,45739217,45739237,-
337,chr1,45794816,45794855,+
338,chr1,46181115,46181135,-
339,chr1,46852447,46852468,-
340,chr1,46852547,46852564,+
341,chr1,46852647,46852662,-
342,chr1,46874374,46874397,-
343,chr1,46874404,46874425,-
344,chr1,46894046,46894071,+
345,chr1,46894774,46894794,-
346,chr1,51071602,51071676,-
347,chr1,51071714,51071734,-
348,chr1,51071947,51071963,+
349,chr1,51121104,51121140,-
350,chr1,51478075,51478095,+
351,chr1,51478124,51478169,+
352,chr1,51529795,51529820,+
353,chr1,51573049,51573069,-
354,chr1,51577571,51577588,+
355,chr1,51577598,51577615,-
356,chr1,51578091,51578107,-
357,chr1,51584001,51584021,+
358,chr1,51584055,51584070,+
359,chr1,51584550,51584607,+
360,chr1,51585207,51585222,-
361,chr1,51585601,51585617,+
362,chr1,51585846,51585863,+
363,chr1,51585867,51585887,+
364,chr1,52009355,52009378,+
365,chr1,52009399,52009427,+
366,chr1,52009548,52009593,-
367,chr1,52010083,52010100,-
368,chr1,52011024,52011045,+
369,chr1,52011120,52011137,-
370,chr1,52012119,52012135,-
371,chr1,52012593,52012610,+
372,chr1,52012823,52012838,+
373,chr1,52013119,52013139,-
374,chr1,52019263,52019298,+
375,chr1,52019685,52019712,-
376,chr1,52019846,52019869,-
377,chr1,52020366,52020383,-
378,chr1,52020391,52020408,-
379,chr1,52022432,52022459,+
380,chr1,52100590,52100615,-
381,chr1,52116831,52116846,+
382,chr1,52116976,52117030,-
383,chr1,52118879,52118899,-
384,chr1,52118920,52118935,-
385,chr1,52118941,52118962,-
386,chr1,52150578,52150615,-
387,chr1,52231665,52231685,+
388,chr1,52231875,52231890,-
389,chr1,52374784,52374800,-
390,chr1,52375047,52375097,-
391,chr1,52499506,52499522,+
392,chr1,52578501,52578517,-
393,chr1,52607740,52607774,-
394,chr1,52607845,52607866,-
395,chr1,52630419,52630444,+
396,chr1,52630948,52630968,-
397,chr1,52631313,52631334,-
398,chr1,52649929,52649946,+
399,chr1,52650578,52650605,-
400,chr1,52653569,52653589,+
401,chr1,52653824,52653844,+
402,chr1,52654042,52654063,+
403,chr1,52655272,52655289,+
404,chr1,52751748,52751768,+
405,chr1,52751773,52751814,+
406,chr1,52799141,52799156,+
407,chr1,52799764,52799779,+
408,chr1,52844717,52844745,-
409,chr1,53076883,53076906,+
410,chr1,53076972,53077030,-
411,chr1,53168111,53168170,+
412,chr1,53728365,53728423,-
413,chr1,53728500,53728515,-
414,chr1,53774013,53774029,+
415,chr1,53774095,53774116,+
416,chr1,53774300,53774320,-
417,chr1,53774556,53774576,+
418,chr1,53775606,53775627,+
419,chr1,53776174,53776191,+
420,chr1,53776320,53776335,+
421,chr1,53776455,53776470,+
422,chr1,53777169,53777184,+
423,chr1,53780945,53780960,-
424,chr1,53781373,53781393,-
425,chr1,53781972,53781987,+
426,chr1,53782010,53782054,+
427,chr1,53782242,53782259,+
428,chr1,53782395,53782416,-
429,chr1,53782887,53782902,+
430,chr1,53782908,53782923,+
431,chr1,53783112,53783137,+
432,chr1,53783441,53783461,+
433,chr1,53783650,53783665,-
434,chr1,53797351,53797368,+
435,chr1,53798004,53798019,+
436,chr1,53824590,53824607,-
437,chr1,53824748,53824769,-
438,chr1,53824887,53824904,+
439,chr1,53843331,53843346,-
440,chr1,53845628,53845648,+
441,chr1,53850462,53850478,-
442,chr1,53850670,53850685,+
443,chr1,53851286,53851339,+
444,chr1,53851973,53851994,+
445,chr1,53852437,53852456,+
446,chr1,53857047,53857066,+
447,chr1,53875726,53875746,+
448,chr1,53875845,53875865,+
449,chr1,53875930,53876011,+
450,chr1,53882748,53882763,-
451,chr1,53886623,53886645,+
452,chr1,53886736,53886753,-
453,chr1,53886964,53886984,+
454,chr1,53890499,53890519,+
455,chr1,53940584,53940600,-
456,chr1,53945882,53945912,+
457,chr1,53946175,53946196,+
458,chr1,54421669,54421686,+
459,chr1,54422221,54422257,+
460,chr1,54492223,54492240,+
461,chr1,54492486,54492505,-
462,chr1,54492519,54492536,+
463,chr1,54493566,54493588,-
464,chr1,54558266,54558281,+
465,chr1,54585223,54585243,+
466,chr1,54585396,54585411,+
467,chr1,54585782,54585806,-
468,chr1,54585819,54585839,-
469,chr1,54660837,54660857,+
470,chr1,54833047,54833068,+
471,chr1,54833081,54833096,+
472,chr1,54833104,54833124,+
473,chr1,54842217,54842238,+
474,chr1,54842260,54842280,-
475,chr1,54842424,54842439,+
476,chr1,54842491,54842507,+
477,chr1,54846826,54846846,+
478,chr1,54853080,54853109,+
479,chr1,54853120,54853145,-
480,chr1,54853165,54853194,-
481,chr1,54858964,54858984,+
482,chr1,54859041,54859057,+
483,chr1,54859059,54859075,+
484,chr1,54871082,54871099,+
485,chr1,54871257,54871277,+
486,chr1,54871461,54871477,-
487,chr1,54872075,54872103,+
488,chr1,54883064,54883094,+
489,chr1,54896618,54896638,+
490,chr1,54896749,54896766,-
491,chr1,54896794,54896811,-
492,chr1,54906864,54906885,+
493,chr1,54913330,54913364,+
494,chr1,54913832,54913852,-
495,chr1,54914062,54914110,-
496,chr1,54914243,54914270,+
497,chr1,54914350,54914392,-
498,chr1,54914728,54914751,+
499,chr1,54923497,54923518,+
500,chr1,54923648,54923673,+
501,chr1,54923840,54923855,+
502,chr1,54924155,54924172,+
503,chr1,54924366,54924381,+
504,chr1,54925365,54925404,-
505,chr1,55026029,55026056,+
506,chr1,55026330,55026347,+
507,chr1,55028858,55028889,+
508,chr1,55028904,55028925,-
509,chr1,55029279,55029299,-
510,chr1,55029514,55029540,+
511,chr1,55030967,55031075,-
512,chr1,55031224,55031251,-
513,chr1,55052046,55052061,+
514,chr1,55053346,55053366,+
515,chr1,55130698,55130715,-
516,chr1,55209093,55209122,+
517,chr1,55210055,55210071,+
518,chr1,55215953,55215986,-
519,chr1,55236964,55236984,+
520,chr1,55239387,55239402,-
521,chr1,55372855,55372881,+
522,chr1,55372897,55372920,-
523,chr1,55405559,55405579,-
524,chr1,55423845,55424013,+
525,chr1,55424281,55424298,+
526,chr1,55446912,55446991,+
527,chr1,55448152,55448169,-
528,chr1,58301174,58301196,+
529,chr1,58301399,58301414,+
530,chr1,58301803,58301821,-
531,chr1,58304168,58304193,+
532,chr1,58310987,58311020,-
533,chr1,58311026,58311056,-
534,chr1,58311321,58311337,+
535,chr1,58312004,58312021,-
536,chr1,58415730,58415747,+
537,chr1,58415749,58415798,+
538,chr1,58422783,58422806,-
539,chr1,58423368,58423383,-
540,chr1,58423558,58423587,+
541,chr1,58444950,58444975,-
542,chr1,58445863,58445883,+
543,chr1,58505291,58505313,+
544,chr1,58505429,58505446,+
545,chr1,58652333,58652354,-
546,chr1,58652368,58652401,-
547,chr1,58652441,58652456,-
548,chr1,58669894,58669911,+
549,chr1,58710896,58710942,-
550,chr1,58711054,58711081,-
551,chr1,58711289,58711323,-
552,chr1,58712470,58712503,-
553,chr1,58712995,58713015,-
554,chr1,58713165,58713194,-
555,chr1,58713957,58713978,-
556,chr1,58714223,58714243,-
557,chr1,58714271,58714286,+
558,chr1,58714494,58714521,-
559,chr1,58714559,58714574,-
560,chr1,58714583,58714600,-
561,chr1,58714793,58714810,-
562,chr1,58714815,58714863,+
563,chr1,58715001,58715047,-
564,chr1,58715360,58715389,-
565,chr1,58715745,58715785,-
566,chr1,58716436,58716453,-
567,chr1,58716832,58716861,-
568,chr1,58717521,58717550,+
569,chr1,58717695,58717714,-
570,chr1,58717844,58717868,+
571,chr1,58717983,58717998,-
572,chr1,58720657,58720672,-
573,chr1,58721239,58721261,+
574,chr1,58721306,58721321,-
575,chr1,58773953,58773973,+
576,chr1,58795218,58795239,-
577,chr1,58797227,58797277,-
578,chr1,58797313,58797328,-
579,chr1,58797888,58797903,-
580,chr1,58802196,58802245,+
581,chr1,58802321,58802338,-
582,chr1,58802386,58802401,+
583,chr1,58803060,58803077,-
584,chr1,58803176,58803201,+
585,chr1,58803290,58803307,-
586,chr1,58803800,58803835,-
587,chr1,58807125,58807142,+
588,chr1,58860845,58860862,+
589,chr1,58956585,58956606,+
590,chr1,58956654,58956671,-
591,chr1,58965421,58965474,+
592,chr1,58965535,58965551,-
593,chr1,58965556,58965590,-
594,chr1,59237811,59237828,-
595,chr1,59237980,59237997,-
596,chr1,59316760,59316775,+
597,chr1,59316850,59316900,-
598,chr1,59608585,59608647,-
599,chr1,59609041,59609057,-
600,chr1,59684744,59684759,+
601,chr1,59684824,59684841,+
602,chr1,59912349,59912369,+
603,chr1,59913293,59913309,+
604,chr1,59914423,59914484,-
605,chr1,59917787,59917803,+
606,chr1,59923405,59923420,+
607,chr1,59923552,59923569,-
608,chr1,60016416,60016447,+
609,chr1,60016522,60016537,-
610,chr1,60073866,60074002,+
611,chr1,60074017,60074052,+
612,chr1,60074957,60074987,+
613,chr1,60075568,60075583,-
614,chr1,60097833,60097848,+
615,chr1,60158562,60158607,-
616,chr1,60179989,60180008,+
617,chr1,60180142,60180162,-
618,chr1,60180201,60180216,+
619,chr1,60236360,60236377,-
620,chr1,60236530,60236550,-
621,chr1,60352864,60352908,-
622,chr1,60353245,60353268,-
623,chr1,60416634,60416654,-
624,chr1,60416702,60416718,-
625,chr1,60417190,60417220,-
626,chr1,60482922,60482945,+
627,chr1,60483197,60483216,-
628,chr1,60495875,60495922,+
629,chr1,60539232,60539247,+
630,chr1,60539671,60539694,-
631,chr1,60652518,60652564,.
632,chr1,60652596,60652629,+
633,chr1,60664206,60664257,+
634,chr1,60702690,60702707,+
635,chr1,60746091,60746121,-
636,chr1,60746230,60746250,+
637,chr1,60746536,60746552,-
638,chr1,60746773,60746800,-
639,chr1,60755455,60755472,-
640,chr1,60755834,60755854,+
641,chr1,60758002,60758019,-
642,chr1,60758190,60758206,-
643,chr1,60758594,60758614,+
644,chr1,60759233,60759248,-
645,chr1,60760429,60760446,-
646,chr1,60761301,60761333,+
647,chr1,60761482,60761498,+
648,chr1,60761534,60761557,-
649,chr1,60761916,60761950,-
650,chr1,60777097,60777120,-
651,chr1,60777479,60777494,-
652,chr1,60781761,60781793,+
653,chr1,60781817,60781833,+
654,chr1,60811804,60811824,-
655,chr1,60811894,60811909,-
656,chr1,60813467,60813486,+
657,chr1,60883009,60883032,-
658,chr1,60898527,60898542,-
659,chr1,60908888,60908929,-
660,chr1,60908978,60908999,+
661,chr1,60911589,60911658,+
662,chr1,60916409,60916429,-
663,chr1,60978103,60978150,-
664,chr1,60990616,60990631,-
665,chr1,60990937,60990952,+
666,chr1,61030802,61030826,+
667,chr1,61030852,61030871,+
668,chr1,61046120,61046173,+
669,chr1,61135667,61135682,+
670,chr1,61135832,61135847,-
671,chr1,61135938,61135962,-
672,chr1,61136197,61136218,-
673,chr1,62829523,62829543,-
674,chr1,62829582,62829599,+
675,chr1,62874902,62874919,-
676,chr1,62875541,62875579,+
677,chr1,62876271,62876288,+
678,chr1,62876947,62876962,+
679,chr1,63114382,63114405,-
680,chr1,63114551,63114566,-
681,chr1,63114963,63114979,-
682,chr1,63176891,63176906,-
683,chr1,64000426,64000446,+
684,chr1,64088155,64088179,+
685,chr1,64088229,64088250,+
686,chr1,64088519,64088536,-
687,chr1,64120755,64120815,+
688,chr1,64120879,64120894,+
689,chr1,64121053,64121074,-
690,chr1,64121108,64121138,-
691,chr1,64123988,64124049,+
692,chr1,64136419,64136439,-
693,chr1,64136457,64136485,-
694,chr1,64136600,64136649,-
695,chr1,64137010,64137025,+
696,chr1,64528103,64528118,+
697,chr1,64531862,64531882,+
698,chr1,64531985,64532005,+
699,chr1,64533768,64533840,-
700,chr1,64534097,64534117,-
701,chr1,64688196,64688216,+
702,chr1,64949682,64949708,-
703,chr1,64949718,64949738,-
704,chr1,65010446,65010525,+
705,chr1,65153027,65153047,-
706,chr1,65186023,65186046,+
707,chr1,65186123,65186169,+
708,chr1,66496346,66496366,+
709,chr1,66496401,66496461,-
710,chr1,66552358,66552378,-
711,chr1,66552803,66552823,-
712,chr1,66552832,66552857,-
713,chr1,66553211,66553226,+
714,chr1,66678904,66678952,-
715,chr1,66678982,66679000,+
716,chr1,66758018,66758043,-
717,chr1,66758162,66758179,-
718,chr1,66758491,66758511,-
719,chr1,66758537,66758635,-
720,chr1,66817023,66817043,+
721,chr1,66838555,66838596,+
722,chr1,66863567,66863625,-
723,chr1,66863648,66863665,+
724,chr1,66863722,66863761,-
725,chr1,66863886,66863902,+
726,chr1,66874849,66874874,+
727,chr1,66987742,66987757,-
728,chr1,66987777,66987794,-
729,chr1,67039477,67039494,+
730,chr1,69657472,69657494,+
731,chr1,69657775,69657796,+
732,chr1,69681323,69681367,+
733,chr1,69686611,69686649,+
734,chr1,69687076,69687091,-
735,chr1,69752866,69752883,-
736,chr1,69752983,69753003,-
737,chr1,69759816,69759841,+
738,chr1,69769144,69769178,+
739,chr1,69785163,69785255,+
740,chr1,71068968,71068985,+
741,chr1,72244584,72244617,-
742,chr1,72254531,72254547,+
743,chr1,72307170,72307210,-
744,chr1,74179127,74179144,+
745,chr1,74238304,74238320,-
746,chr1,74238949,74238974,-
747,chr1,74239191,74239222,+
748,chr1,74239662,74239682,+
749,chr1,74243532,74243549,+
750,chr1,74244711,74244728,-
751,chr1,74248822,74248838,-
752,chr1,74332189,74332206,+
753,chr1,74390057,74390086,+
754,chr1,74390778,74390806,+
755,chr1,74391264,74391287,+
756,chr1,74397257,74397282,+
757,chr1,75125344,75125359,+
758,chr1,75125382,75125399,-
759,chr1,75125402,75125419,-
760,chr1,75168332,75168348,+
761,chr1,75236342,75236357,+
762,chr1,75252040,75252057,-
763,chr1,75521284,75521299,-
764,chr1,75521859,75521876,-
765,chr1,75522263,75522280,-
766,chr1,75522317,75522336,-
767,chr1,75522362,75522395,-
768,chr1,78489300,78489317,-
769,chr1,78537344,78537364,-
770,chr1,78538144,78538212,.
771,chr1,78538502,78538517,+
772,chr1,79751810,79751844,+
773,chr1,79752458,79752498,+
774,chr1,79752614,79752631,+
775,chr1,79761879,79761924,+
776,chr1,79775870,79775890,-
777,chr1,80214350,80214365,-
778,chr1,80214429,80214454,+
779,chr1,80341387,80341404,-
780,chr1,80361386,80361409,+
781,chr1,80361612,80361627,+
782,chr1,80361640,80361769,-
783,chr1,80361897,80361921,-
784,chr1,80381423,80381443,+
785,chr1,80381457,80381482,-
786,chr1,80381632,80381661,+
787,chr1,80409369,80409386,+
788,chr1,80409634,80409662,+
789,chr1,80409686,80409701,-
790,chr1,80409714,80409729,-
791,chr1,80409815,80409832,+
792,chr1,80416432,80416452,-
793,chr1,80416593,80416622,-
794,chr1,80440648,80440668,+
795,chr1,80441129,80441149,+
796,chr1,80441225,80441240,-
797,chr1,80637070,80637088,-
798,chr1,80644144,80644159,+
799,chr1,80665576,80665601,-
800,chr1,80665613,80665628,-
801,chr1,80670584,80670601,+
802,chr1,80670803,80670823,-
803,chr1,80699797,80699837,-
804,chr1,80700091,80700111,-
805,chr1,80700187,80700212,-
806,chr1,80703677,80703692,-
807,chr1,80724904,80724919,+
808,chr1,80725365,80725386,+
809,chr1,80728600,80728617,-
810,chr1,80728787,80728810,-
811,chr1,80728840,80728855,-
812,chr1,80730762,80730777,+
813,chr1,80746631,80746647,-
814,chr1,80756064,80756087,+
815,chr1,80757352,80757377,+
816,chr1,80765631,80765657,+
817,chr1,80766066,80766086,+
818,chr1,80858786,80858854,+
819,chr1,81375479,81375730,-
820,chr1,82283078,82283094,+
821,chr1,82283100,82283115,+
822,chr1,82296390,82296443,-
823,chr1,82803692,82803708,-
824,chr1,82803846,82803862,-
825,chr1,82803906,82803930,-
826,chr1,82807014,82807034,-
827,chr1,82807550,82807597,-
828,chr1,82830837,82830853,+
829,chr1,82831023,82831105,.
830,chr1,82832338,82832355,+
831,chr1,82832736,82832771,+
832,chr1,82833507,82833524,-
833,chr1,82833762,82833779,+
834,chr1,82900354,82900369,-
835,chr1,82973757,82973777,-
836,chr1,82974082,82974099,+
837,chr1,82975707,82975728,+
838,chr1,84305708,84305764,+
839,chr1,84305982,84306005,-
840,chr1,84318727,84318742,-
841,chr1,84318836,84318866,+
842,chr1,84780764,84780791,+
843,chr1,84780859,84780879,+
844,chr1,84780909,84780924,+
845,chr1,84839747,84839777,+
846,chr1,85111420,85111465,-
847,chr1,85526528,85526543,-
848,chr1,85599122,85599167,+
849,chr1,85599212,85599234,+
850,chr1,85640807,85640841,-
851,chr1,85649940,85649955,-
852,chr1,85650767,85650792,+
853,chr1,85650825,85650845,-
854,chr1,85652538,85652555,-
855,chr1,85652557,85652576,-
856,chr1,85655764,85655781,-
857,chr1,85680338,85680359,+
858,chr1,85686540,85686563,-
859,chr1,85686564,85686580,+
860,chr1,85688186,85688206,-
861,chr1,85693984,85694004,-
862,chr1,85732616,85732632,-
863,chr1,85735568,85735583,+
864,chr1,85735715,85735736,+
865,chr1,85736227,85736244,-
866,chr1,85752842,85752877,-
867,chr1,85895650,85895670,-
868,chr1,86005786,86005807,+
869,chr1,86152732,86152753,-
870,chr1,86152898,86152933,-
871,chr1,86344212,86344240,-
