chr,start,end,group
chr1,97525670,97525688,24
chr1,97580313,97580331,82
chr1,97664849,97664867,4
chr1,97664894,97664912,22
chr1,97664858,97664876,24
chr1,97664876,97664894,24
chr1,97919235,97919253,22
chr1,97919214,97919232,24
chr1,97919232,97919250,24
chr1,105435682,105435700,2
chr1,105435676,105435694,11
chr1,105752505,105752523,19
chr1,105997152,105997170,1
chr1,105997145,105997163,2
chr1,105997179,105997197,3
chr1,105997151,105997169,12
chr1,105997162,105997180,13
chr1,105997182,105997200,13
chr1,105997178,105997196,14
chr1,105997141,105997159,31
chr1,105997172,105997190,31
chr1,105997192,105997210,31
chr1,106036725,106036743,2
chr1,106318415,106318433,6
chr1,106318572,106318590,11
chr1,106318414,106318432,20
chr1,106345804,106345822,13
chr1,106345830,106345848,22
chr1,106345815,106345833,24
chr1,106494809,106494827,3
chr1,106494812,106494830,13
chr1,106494808,106494826,14
chr1,106494817,106494835,24
chr1,106494835,106494853,24
chr1,118290109,118290127,1
chr1,118290120,118290138,2
chr1,118290108,118290126,12
chr1,118290097,118290115,22
chr1,118290034,118290052,24
chr1,118290079,118290097,24
chr1,119990300,119990318,24
chr1,119990465,119990483,24
chr1,119990489,119990507,24
chr1,119990507,119990525,24
chr1,119990651,119990669,24
chr1,119990672,119990690,24
chr1,125465931,125465949,22
chr1,125465910,125465928,24
chr1,125465928,125465946,24
chr1,127159506,127159524,3
chr1,127159505,127159523,14
chr1,127159511,127159529,24
chr1,127159529,127159547,24
chr1,127322747,127322765,2
chr1,127850025,127850043,1
chr1,127850024,127850042,12
chr1,127981909,127981927,39
chr1,128548538,128548556,93
chr1,128548601,128548619,98
chr1,128548601,128548619,99
chr1,128593545,128593563,2
chr1,128605091,128605109,97
chr1,128766546,128766564,2
chr1,128766540,128766558,11
chr1,128766535,128766553,21
chr1,128766529,128766547,22
chr1,128766534,128766552,32
chr1,130502371,130502389,2
chr1,131204289,131204307,48
chr1,131278833,131278851,21
chr1,131278832,131278850,32
chr1,131279060,131279078,53
chr1,131279059,131279077,64
chr1,131279060,131279078,83
chr1,131420854,131420872,39
chr1,132012002,132012020,1
chr1,132012001,132012019,12
chr1,132418365,132418383,1
chr1,132418364,132418382,12
chr1,132418370,132418388,24
chr1,133026051,133026069,26
chr1,133026051,133026069,29
chr1,133026050,133026068,37
chr1,133030113,133030131,2
chr1,133030137,133030155,2
chr1,133040050,133040068,13
chr1,133040064,133040082,22
chr1,133040058,133040076,24
chr1,133801232,133801250,3
chr1,133801231,133801249,14
chr1,134061540,134061558,16
chr1,134065124,134065142,3
chr1,134065123,134065141,14
chr1,134066919,134066937,71
chr1,134066918,134066936,92
chr1,134080243,134080261,2
chr1,134077314,134077332,40
chr1,134362204,134362222,59
chr1,134362215,134362233,82
chr1,136551978,136551996,1
chr1,136552021,136552039,2
chr1,136551977,136551995,12
chr1,136551988,136552006,13
chr1,136551963,136551981,21
chr1,136551957,136551975,22
chr1,136552002,136552020,22
chr1,136551954,136551972,24
chr1,136551962,136551980,32
chr1,136573308,136573326,22
chr1,136573296,136573314,24
chr1,136582016,136582034,2
chr1,136617595,136617613,4
chr1,138062424,138062442,22
chr1,138062415,138062433,24
chr1,138125294,138125312,68
chr1,138125294,138125312,69
chr1,138162777,138162795,52
chr1,138162777,138162795,82
chr1,138172244,138172262,87
chr1,138199706,138199724,24
chr1,138378400,138378418,22
chr1,138378373,138378391,24
chr1,138378391,138378409,24
chr1,138973096,138973114,1
chr1,138973095,138973113,12
chr1,142797258,142797276,24
chr1,142797276,142797294,24
chr1,142797231,142797249,31
chr1,151096713,151096731,87
chr1,151270641,151270659,24
chr1,151754763,151754781,11
chr1,151754768,151754786,13
chr1,152038358,152038376,6
chr1,152038358,152038376,9
chr1,152038357,152038375,17
chr1,152790725,152790743,24
chr1,152790743,152790761,24
chr1,153786863,153786881,35
chr1,153786863,153786881,40
chr1,154118244,154118262,62
chr1,154118245,154118263,81
chr1,154837566,154837584,24
chr1,154837584,154837602,24
chr1,155040031,155040049,1
chr1,155040030,155040048,12
chr1,155476596,155476614,13
chr1,155476604,155476622,22
chr1,156616160,156616178,2
chr1,159952886,159952904,2
chr1,160024179,160024197,2
chr1,160058302,160058320,22
chr1,160058148,160058166,24
chr1,160058187,160058205,24
chr1,160058243,160058261,24
chr1,160058284,160058302,24
chr1,161033930,161033948,61
chr1,161071402,161071420,23
chr1,161071401,161071419,34
chr1,161704353,161704371,53
chr1,161788696,161788714,40
chr1,164063251,164063269,21
chr1,164063250,164063268,32
chr1,164067980,164067998,8
chr1,164069199,164069217,11
chr1,164069219,164069237,11
chr1,164078025,164078043,31
chr1,164573824,164573842,42
chr1,164573825,164573843,51
chr1,165044898,165044916,22
chr1,165071120,165071138,4
chr1,165071156,165071174,22
chr1,165071129,165071147,24
chr1,165071147,165071165,24
chr1,165153326,165153344,11
chr1,165193404,165193422,11
chr1,165718663,165718681,22
chr1,166410286,166410304,1
chr1,166410285,166410303,12
chr1,167393679,167393697,68
chr1,171038124,171038142,11
chr1,171043721,171043739,11
chr1,171045080,171045098,1
chr1,171045079,171045097,12
chr1,171060085,171060103,11
chr1,171060072,171060090,13
chr1,171111522,171111540,2
chr1,171789625,171789643,85
chr1,171845406,171845424,69
chr1,171845368,171845386,87
chr1,171917271,171917289,2
chr1,171917287,171917305,4
chr1,171921678,171921696,2
chr1,171921524,171921542,4
chr1,171922159,171922177,18
chr1,171961713,171961731,57
chr1,173526103,173526121,24
chr1,176815129,176815147,1
chr1,176815134,176815152,11
chr1,176815128,176815146,12
chr1,177259490,177259508,74
chr1,178321274,178321292,98
chr1,178338170,178338188,2
chr1,178338132,178338150,4
chr1,178405270,178405288,2
chr1,179565185,179565203,4
chr1,179565194,179565212,22
chr1,179565191,179565209,24
chr1,180225790,180225808,11
chr1,180225800,180225818,13
chr1,180225811,180225829,22
chr1,180355568,180355586,11
chr1,180359734,180359752,1
chr1,180359733,180359751,12
chr1,180388873,180388891,1
chr1,180388865,180388883,2
chr1,180388869,180388887,4
chr1,180388872,180388890,12
chr1,180388881,180388899,21
chr1,180388880,180388898,32
chr1,180388080,180388098,72
chr1,180388080,180388098,82
chr1,180403367,180403385,21
chr1,180403366,180403384,32
chr1,180812880,180812898,76
chr1,180812880,180812898,86
chr1,180916166,180916184,67
chr1,180916166,180916184,70
chr1,180916167,180916185,89
chr1,180916166,180916184,97
chr1,180916166,180916184,100
chr1,181061739,181061757,24
chr1,181061757,181061775,24
chr1,181061775,181061793,24
chr1,181860915,181860933,26
chr1,182358922,182358940,2
chr1,182358942,182358960,2
chr1,183180126,183180144,2
chr1,184006479,184006497,18
chr1,184014450,184014468,1
chr1,184014460,184014478,11
chr1,184014485,184014503,11
chr1,184014449,184014467,12
chr1,184014470,184014488,13
chr1,184014480,184014498,31
chr1,184026212,184026230,22
chr1,186749734,186749752,22
chr1,186749680,186749698,24
chr1,186749719,186749737,24
chr1,187308606,187308624,11
chr1,187345653,187345671,22
chr1,187345635,187345653,24
chr1,189799353,189799371,2
chr1,191419561,191419579,11
chr1,193189375,193189393,5
chr1,193189375,193189393,10
chr1,194897908,194897926,24
chr1,194897897,194897915,33
chr1,195090025,195090043,4
chr1,195090020,195090038,13
chr1,195090052,195090070,22
chr1,195090031,195090049,24
chr1,195090049,195090067,24
chr1,195132050,195132068,2
chr1,195132070,195132088,2
chr10,4291326,4291344,21
chr10,4291317,4291335,22
chr10,4291314,4291332,24
chr10,4291322,4291340,31
chr10,4291325,4291343,32
chr10,4388366,4388384,1
chr10,4388365,4388383,12
chr10,4388590,4388608,84
chr10,4612633,4612651,61
chr10,5079294,5079312,52
chr10,5079294,5079312,82
chr10,5384564,5384582,22
chr10,6885686,6885704,1
chr10,6885685,6885703,12
chr10,6902864,6902882,4
chr10,6902894,6902912,22
chr10,6902873,6902891,24
chr10,6902891,6902909,24
chr10,6982024,6982042,11
chr10,7630534,7630552,6
chr10,7630533,7630551,20
chr10,7726333,7726351,31
chr10,8530288,8530306,3
chr10,8530287,8530305,14
chr10,10721291,10721309,24
chr10,10721309,10721327,24
chr10,12688742,12688760,2
chr10,13983308,13983326,23
chr10,13983307,13983325,34
chr10,14016485,14016503,29
chr10,14016484,14016502,37
chr10,14046350,14046368,54
chr10,14057946,14057964,11
chr10,14705712,14705730,9
chr10,14705705,14705723,11
chr10,14705711,14705729,17
chr10,15506028,15506046,22
chr10,15506007,15506025,24
chr10,15506025,15506043,24
chr10,16688229,16688247,24
chr10,17172573,17172591,24
chr10,17172594,17172612,24
chr10,17172612,17172630,24
chr10,17947730,17947748,22
chr10,17987167,17987185,24
chr10,17987196,17987214,31
chr10,18138923,18138941,11
chr10,18203221,18203239,24
chr10,18203239,18203257,24
chr10,18423290,18423308,91
chr10,18528135,18528153,1
chr10,18528134,18528152,12
chr10,19062350,19062368,6
chr10,19062350,19062368,9
chr10,19062349,19062367,17
chr10,19104483,19104501,11
chr10,19161965,19161983,24
chr10,19161983,19162001,24
chr10,19185340,19185358,11
chr10,19185916,19185934,11
chr10,19187572,19187590,27
chr10,19368573,19368591,2
chr10,19531288,19531306,24
chr10,19531306,19531324,24
chr10,19581671,19581689,2
chr10,19582128,19582146,3
chr10,19581707,19581725,11
chr10,19581727,19581745,11
chr10,19582103,19582121,11
chr10,19582127,19582145,14
chr10,19581660,19581678,31
chr10,19582138,19582156,31
chr10,19594871,19594889,11
chr10,19620120,19620138,11
chr10,19620086,19620104,31
chr10,19935150,19935168,11
chr10,19933645,19933663,36
chr10,19933645,19933663,39
chr10,20359988,20360006,8
chr10,20359987,20360005,20
chr10,21235388,21235406,6
chr10,21906127,21906145,9
chr10,21906126,21906144,17
chr10,22202815,22202833,54
chr10,22223530,22223548,54
chr10,22299378,22299396,1
chr10,22299383,22299401,11
chr10,22299377,22299395,12
chr10,22302177,22302195,69
chr10,22393061,22393079,54
chr10,22413764,22413782,54
chr10,26585425,26585443,11
chr10,28513385,28513403,7
chr10,28520467,28520485,84
chr10,28650760,28650778,22
chr10,28650733,28650751,24
chr10,28650751,28650769,24
chr10,28669228,28669246,2
chr10,28674202,28674220,1
chr10,28674213,28674231,2
chr10,28674201,28674219,12
chr10,28723699,28723717,24
chr10,28723717,28723735,24
chr10,30618879,30618897,11
chr10,35945678,35945696,24
chr10,35945696,35945714,24
chr10,35945717,35945735,24
chr10,36837219,36837237,24
chr10,36837237,36837255,24
chr10,36837255,36837273,24
chr10,39172133,39172151,28
chr10,39172133,39172151,29
chr10,39172132,39172150,37
chr10,39172122,39172140,53
chr10,39172121,39172139,94
chr10,39339445,39339463,78
chr10,39625830,39625848,11
chr10,39793528,39793546,74
chr10,39793528,39793546,84
chr10,40163127,40163145,3
chr10,40163126,40163144,14
chr10,40259250,40259268,22
chr10,40259244,40259262,24
chr10,40337022,40337040,22
chr10,40337004,40337022,24
chr10,40371936,40371954,13
chr10,40479913,40479931,82
chr10,41491316,41491334,11
chr10,41521388,41521406,1
chr10,41521387,41521405,12
chr10,41888347,41888365,82
chr10,41937532,41937550,11
chr10,42762329,42762347,22
chr10,42762711,42762729,24
chr10,42843165,42843183,2
chr10,42843176,42843194,11
chr10,42843154,42843172,21
chr10,42843153,42843171,32
chr10,42866587,42866605,69
chr10,42886599,42886617,59
chr10,43984130,43984148,1
chr10,43984129,43984147,12
chr10,43996711,43996729,22
chr10,50593461,50593479,24
chr10,53630327,53630345,1
chr10,53630326,53630344,12
chr10,53987686,53987704,1
chr10,53987674,53987692,2
chr10,53987685,53987703,12
chr10,53987668,53987686,21
chr10,53987662,53987680,22
chr10,53987656,53987674,24
chr10,53987667,53987685,32
chr10,56089635,56089653,24
chr10,56089659,56089677,24
chr10,56089677,56089695,24
chr10,56089688,56089706,31
chr10,56228584,56228602,60
chr10,56300059,56300077,24
chr10,56300077,56300095,24
chr10,56300095,56300113,24
chr10,56300098,56300116,29
chr10,56300097,56300115,37
chr10,56300097,56300115,40
chr10,57532780,57532798,4
chr10,57743729,57743747,21
chr10,57743728,57743746,32
chr10,58370368,58370386,26
chr10,58370368,58370386,29
chr10,58370367,58370385,37
chr10,58370367,58370385,40
chr10,59322463,59322481,31
chr10,59699114,59699132,11
chr10,59864336,59864354,54
chr10,59895844,59895862,68
chr10,59895844,59895862,69
chr10,59952988,59953006,2
chr10,60262643,60262661,6
chr10,60262642,60262660,20
chr10,61148065,61148083,3
chr10,61148087,61148105,11
chr10,61148064,61148082,14
chr10,61148076,61148094,22
chr10,61148084,61148102,33
chr10,61232231,61232249,11
chr10,61233779,61233797,67
chr10,61233670,61233688,69
chr10,61233780,61233798,89
chr10,61452146,61452164,97
chr10,62337655,62337673,3
chr10,62337654,62337672,14
chr10,62337658,62337676,33
chr10,62337951,62337969,3
chr10,62337950,62337968,14
chr10,62337971,62337989,22
chr10,62337962,62337980,24
chr10,62506638,62506656,21
chr10,62506637,62506655,32
chr10,62508372,62508390,2
chr10,62508361,62508379,11
chr10,62792568,62792586,1
chr10,62792567,62792585,12
chr10,62858882,62858900,3
chr10,62858881,62858899,14
chr10,62984421,62984439,87
chr10,63386099,63386117,11
chr10,66864756,66864774,11
chr10,68280109,68280127,70
chr10,68280110,68280128,78
chr10,68280110,68280128,88
chr10,68552895,68552913,2
chr10,70180968,70180986,24
chr10,71361837,71361855,31
chr10,75212721,75212739,13
chr10,75294799,75294817,63
chr10,75294799,75294817,93
chr10,75439797,75439815,11
chr10,75439792,75439810,21
chr10,75439786,75439804,22
chr10,75439780,75439798,24
chr10,75439791,75439809,32
chr10,75566898,75566916,87
chr10,75764563,75764581,21
chr10,75764562,75764580,32
chr10,75835221,75835239,11
chr10,75836311,75836329,76
chr10,77535725,77535743,2
chr10,77627569,77627587,1
chr10,77627568,77627586,12
chr10,78595043,78595061,21
chr10,78595042,78595060,32
chr10,78595736,78595754,1
chr10,78595735,78595753,12
chr10,79703952,79703970,2
chr10,79959662,79959680,11
chr10,79959682,79959700,11
chr10,79959702,79959720,11
chr10,79959722,79959740,11
chr10,79959742,79959760,11
chr10,79959762,79959780,11
chr10,79986853,79986871,2
chr10,80024467,80024485,2
chr10,80023609,80023627,11
chr10,80158091,80158109,11
chr10,80264099,80264117,24
chr10,80659164,80659182,1
chr10,80659163,80659181,12
chr10,80664198,80664216,1
chr10,80664203,80664221,11
chr10,80664197,80664215,12
chr10,80664187,80664205,21
chr10,80664186,80664204,32
chr10,80678979,80678997,11
chr10,80749982,80750000,2
chr10,80750048,80750066,22
chr10,80750024,80750042,24
chr10,80750042,80750060,24
chr10,81128936,81128954,11
chr10,81127781,81127799,22
chr10,81138734,81138752,6
chr10,81298230,81298248,74
chr10,81321194,81321212,15
chr10,81507526,81507544,2
chr10,81606002,81606020,78
chr10,81606002,81606020,88
chr10,81644345,81644363,11
chr10,82240965,82240983,52
chr10,82354964,82354982,2
chr10,82892717,82892735,93
chr10,82893759,82893777,11
chr10,82893779,82893797,11
chr10,83330354,83330372,1
chr10,83330353,83330371,12
chr10,84577330,84577348,3
chr10,84576316,84576334,4
chr10,84577329,84577347,14
chr10,85411482,85411500,13
chr10,85835859,85835877,4
chr10,85835865,85835883,24
chr10,85835883,85835901,24
chr10,86717238,86717256,22
chr10,86717202,86717220,24
chr10,86717220,86717238,24
chr10,86717190,86717208,64
chr10,86717191,86717209,73
chr10,86717191,86717209,83
chr10,88203781,88203799,11
chr10,88826968,88826986,2
chr10,93070642,93070660,19
chr10,93144831,93144849,52
chr10,93158827,93158845,11
chr10,93166466,93166484,2
chr10,93167944,93167962,1
chr10,93167973,93167991,2
chr10,93167943,93167961,12
chr10,93167930,93167948,13
chr10,93167954,93167972,13
chr10,93171929,93171947,11
chr10,93226198,93226216,23
chr10,93226197,93226215,34
chr10,93273904,93273922,57
chr10,93273892,93273910,67
chr10,93273893,93273911,86
chr10,93273904,93273922,87
chr10,93273893,93273911,89
chr10,93291832,93291850,24
chr10,93325517,93325535,11
chr10,93327005,93327023,6
chr10,93335541,93335559,24
chr10,93431513,93431531,21
chr10,93431512,93431530,32
chr10,93441876,93441894,59
chr10,93441865,93441883,66
chr10,93441875,93441893,67
chr10,93441865,93441883,69
chr10,93441876,93441894,89
chr10,94378564,94378582,15
chr10,94378352,94378370,63
chr10,94829952,94829970,1
chr10,94829951,94829969,12
chr10,94829962,94829980,18
chr10,95055950,95055968,22
chr10,95055938,95055956,24
chr10,95255922,95255940,22
chr10,95255901,95255919,24
chr10,95255919,95255937,24
chr10,95261164,95261182,11
chr10,95323723,95323741,11
chr10,95779927,95779945,61
chr10,96136895,96136913,22
chr10,96400632,96400650,5
chr10,96589975,96589993,61
chr10,96589975,96589993,91
chr10,96602990,96603008,31
chr10,96603092,96603110,31
chr10,96609122,96609140,67
chr10,96609123,96609141,88
chr10,96609123,96609141,89
chr10,96620456,96620474,11
chr10,96621161,96621179,51
chr10,96664867,96664885,88
chr10,96690313,96690331,2
chr10,96690328,96690346,11
chr10,96698584,96698602,91
chr10,96706867,96706885,11
chr10,96786941,96786959,13
chr10,98638541,98638559,24
chr10,98638559,98638577,24
chr10,98684135,98684153,92
chr10,98785578,98785596,68
chr10,98792019,98792037,2
chr10,98792063,98792081,11
chr10,98791999,98792017,13
chr10,98791989,98792007,21
chr10,98792016,98792034,21
chr10,98792007,98792025,22
chr10,98791980,98791998,24
chr10,98792012,98792030,31
chr10,98791988,98792006,32
chr10,98792015,98792033,32
chr10,98877834,98877852,31
chr10,99107882,99107900,2
chr10,99116660,99116678,11
chr10,99262583,99262601,4
chr10,99385406,99385424,94
chr10,99441441,99441459,44
chr10,99441441,99441459,94
chr10,100716216,100716234,29
chr10,100716215,100716233,37
chr10,108114384,108114402,1
chr10,108114389,108114407,2
chr10,108114373,108114391,11
chr10,108114383,108114401,12
chr10,108114329,108114347,22
chr10,108114293,108114311,61
chr10,110932161,110932179,1
chr10,110932160,110932178,12
chr10,110933831,110933849,22
chr10,110933828,110933846,24
chr10,111064659,111064677,22
chr10,111064638,111064656,24
chr10,111064656,111064674,24
chr10,111214208,111214226,8
chr10,111214208,111214226,9
chr10,111214207,111214225,17
chr10,111996101,111996119,62
chr10,111996102,111996120,81
chr10,112002908,112002926,2
chr10,114298323,114298341,24
chr10,114298341,114298359,24
chr10,116581930,116581948,2
chr10,116950897,116950915,11
chr10,117602446,117602464,2
chr10,117602571,117602589,11
chr10,117608969,117608987,24
chr10,117608987,117609005,24
chr10,117625698,117625716,1
chr10,117625697,117625715,12
chr10,117630060,117630078,2
chr10,117630030,117630048,11
chr10,117630264,117630282,29
chr10,117630034,117630052,33
chr10,117630263,117630281,37
chr10,117792979,117792997,28
chr10,117792979,117792997,29
chr10,117792978,117792996,37
chr10,118058077,118058095,62
chr10,118058078,118058096,81
chr10,118100354,118100372,98
chr10,118100354,118100372,99
chr10,118101923,118101941,13
chr10,118469643,118469661,11
chr10,118599145,118599163,87
chr10,118885055,118885073,1
chr10,118885054,118885072,12
chr10,118884189,118884207,28
chr10,118899694,118899712,24
chr10,118930249,118930267,24
chr10,118930108,118930126,31
chr10,119050677,119050695,24
chr10,119055912,119055930,13
chr10,119055923,119055941,24
chr10,119055906,119055924,33
chr10,120220210,120220228,31
chr10,120221158,120221176,72
chr10,120221158,120221176,82
chr10,120625271,120625289,13
chr10,121189196,121189214,31
chr10,121430034,121430052,2
chr10,121494314,121494332,11
chr10,122602797,122602815,11
chr10,122602831,122602849,22
chr10,122652341,122652359,21
chr10,122652340,122652358,32
chr10,122726290,122726308,3
chr10,122726289,122726307,14
chr10,122742644,122742662,9
chr10,122742643,122742661,17
chr10,122758397,122758415,22
chr10,122807160,122807178,1
chr10,122807159,122807177,12
chr10,122830011,122830029,1
chr10,122830010,122830028,12
chr10,122986671,122986689,11
chr10,125400148,125400166,2
chr10,125400155,125400173,11
chr10,125400145,125400163,21
chr10,125400136,125400154,22
chr10,125400133,125400151,24
chr10,125400141,125400159,31
chr10,125400144,125400162,32
chr10,126547311,126547329,24
chr10,126547329,126547347,24
chr10,127123616,127123634,2
chr10,127123628,127123646,9
chr10,127123627,127123645,17
chr10,127123638,127123656,64
chr10,127123639,127123657,83
chr10,127134734,127134752,2
chr10,127134754,127134772,2
chr10,127138603,127138621,65
chr10,127138604,127138622,88
chr10,127150232,127150250,22
chr10,127150217,127150235,24
chr10,127676491,127676509,1
chr10,127676490,127676508,12
chr10,128039123,128039141,11
chr10,128039051,128039069,20
chr10,128080878,128080896,11
chr10,128176871,128176889,21
chr10,128176870,128176888,32
chr10,128186848,128186866,1
chr10,128186800,128186818,2
chr10,128186822,128186840,3
chr10,128186795,128186813,11
chr10,128186847,128186865,12
chr10,128186821,128186839,14
chr10,128186836,128186854,22
chr10,128186827,128186845,24
