,chr,TnG_start,TnG_end,strand
115,chr1,36267097,36267144,-
116,chr1,36267255,36267315,-
117,chr1,36267385,36267424,-
118,chr1,36267891,36267926,-
119,chr1,36308328,36308364,-
120,chr1,36309748,36309788,-
121,chr1,36368376,36368399,+
122,chr1,36470688,36470740,+
123,chr1,36470863,36470888,-
124,chr1,36511363,36511383,+
125,chr1,36511515,36511548,+
126,chr1,36797749,36797772,-
127,chr1,36884016,36884042,+
128,chr1,36921716,36921736,+
129,chr1,36922259,36922289,+
130,chr1,36922404,36922437,+
131,chr1,37002410,37002437,+
132,chr1,37028963,37028988,+
133,chr1,37030768,37030808,+
134,chr1,37063334,37063360,+
135,chr1,37299331,37299352,+
136,chr1,37299371,37299393,-
137,chr1,37299474,37299510,+
138,chr1,37300430,37300447,+
139,chr1,37300542,37300562,-
140,chr1,37430562,37430585,-
141,chr1,37478069,37478089,+
142,chr1,37481231,37481249,+
143,chr1,37481466,37481493,-
144,chr1,37540233,37540256,+
145,chr1,37544481,37544504,-
146,chr1,37889910,37889933,+
147,chr1,37890099,37890119,-
148,chr1,37890631,37890654,-
149,chr1,38128857,38128874,+
150,chr1,38130354,38130398,+
151,chr1,38130414,38130445,+
152,chr1,38664869,38664889,-
153,chr1,38898297,38898328,+
154,chr1,38898330,38898346,+
155,chr1,38898349,38898366,+
156,chr1,39281434,39281463,+
157,chr1,39367515,39367538,-
158,chr1,39535365,39535381,-
159,chr1,39556038,39556055,-
160,chr1,39559129,39559156,-
161,chr1,39576100,39576123,+
162,chr1,39577697,39577745,+
163,chr1,39714285,39714324,-
164,chr1,39842020,39842045,-
165,chr1,39842894,39842961,-
166,chr1,39902404,39902424,-
167,chr1,39902461,39902501,+
168,chr1,39917716,39917743,-
169,chr1,39918248,39918268,-
170,chr1,39918477,39918507,-
171,chr1,39924201,39924227,-
172,chr1,39936342,39936369,-
173,chr1,39936793,39936808,-
174,chr1,39936826,39936870,-
175,chr1,39936926,39936949,-
176,chr1,39961398,39961445,-
177,chr1,40056092,40056107,+
178,chr1,40324455,40324470,-
179,chr1,40324874,40324902,-
180,chr1,40324908,40324929,-
181,chr1,40325024,40325041,-
182,chr1,40325079,40325114,-
183,chr1,40382990,40383038,+
184,chr1,40399432,40399451,-
185,chr1,40399586,40399601,+
186,chr1,40399615,40399656,-
187,chr1,40399668,40399691,-
188,chr1,40469472,40469487,-
189,chr1,40469521,40469548,+
190,chr1,40469561,40469613,+
191,chr1,40469809,40469824,-
192,chr1,40470000,40470020,-
193,chr1,40473940,40473956,+
194,chr1,40475885,40475908,-
195,chr1,40476514,40476534,+
196,chr1,40476630,40476653,-
197,chr1,40476725,40476750,-
198,chr1,40476920,40476943,-
199,chr1,40479634,40479654,-
200,chr1,40479978,40479993,-
201,chr1,40515477,40515492,-
202,chr1,40618463,40618486,+
203,chr1,43098359,43098374,+
204,chr1,43207443,43207468,+
205,chr1,43445330,43445366,+
206,chr1,43447206,43447222,-
207,chr1,43456824,43456840,-
208,chr1,43457114,43457134,+
209,chr1,43457188,43457211,-
210,chr1,43463873,43463890,-
211,chr1,43463898,43463913,-
212,chr1,43464797,43464814,-
213,chr1,43464917,43464935,-
214,chr1,43465008,43465023,-
215,chr1,43465531,43465548,-
216,chr1,43467613,43467657,+
217,chr1,43467993,43468014,-
218,chr1,43468121,43468141,+
219,chr1,43472573,43472593,+
220,chr1,43472684,43472704,-
221,chr1,43472715,43472730,+
222,chr1,43516602,43516633,-
223,chr1,43516680,43516700,-
224,chr1,43520338,43520361,+
225,chr1,43535084,43535107,+
226,chr1,43535205,43535233,-
227,chr1,43535324,43535351,-
228,chr1,43536365,43536406,-
229,chr1,43542318,43542351,-
230,chr1,43826893,43826936,+
231,chr1,43880558,43880595,-
232,chr1,46551398,46551420,-
233,chr1,46701479,46701502,-
234,chr1,46852447,46852468,-
235,chr1,46852537,46852569,+
236,chr1,46852647,46852662,-
237,chr1,46894766,46894794,-
238,chr1,46895035,46895061,+
239,chr1,46939351,46939381,+
240,chr1,46939537,46939598,+
241,chr1,46939757,46939802,+
242,chr1,48497366,48497382,+
243,chr1,48817389,48817404,+
244,chr1,48817472,48817498,+
245,chr1,51361185,51361224,-
246,chr1,51361394,51361417,+
247,chr1,51361794,51361809,-
248,chr1,51478075,51478104,+
249,chr1,51478122,51478173,+
250,chr1,51584544,51584607,+
251,chr1,51584680,51584703,-
252,chr1,51584958,51584981,-
253,chr1,51585207,51585222,-
254,chr1,51585601,51585617,+
255,chr1,51593691,51593707,+
256,chr1,51593768,51593812,+
257,chr1,51594012,51594036,+
258,chr1,52004568,52004591,+
259,chr1,52004791,52004811,+
260,chr1,52009352,52009428,+
261,chr1,52009548,52009593,-
262,chr1,52011017,52011045,+
263,chr1,52011120,52011137,-
264,chr1,52011546,52011569,+
265,chr1,52019186,52019232,+
266,chr1,52019241,52019261,+
267,chr1,52019263,52019300,+
268,chr1,52019465,52019481,+
269,chr1,52019685,52019712,-
270,chr1,52019845,52019881,-
271,chr1,52020366,52020383,-
272,chr1,52020391,52020408,-
273,chr1,52022431,52022460,+
274,chr1,52035410,52035425,-
275,chr1,52052630,52052661,-
276,chr1,52052778,52052798,+
277,chr1,52052799,52052822,-
278,chr1,52052881,52052904,-
279,chr1,52055971,52056004,-
280,chr1,52056021,52056036,+
281,chr1,52056106,52056126,-
282,chr1,52100590,52100615,-
283,chr1,52236619,52236635,+
284,chr1,52363840,52363863,+
285,chr1,52363965,52363982,-
286,chr1,52374784,52374814,-
287,chr1,52375045,52375097,-
288,chr1,52375207,52375227,-
289,chr1,52387606,52387621,-
290,chr1,52387767,52387784,-
291,chr1,52387800,52387820,-
292,chr1,52387979,52387994,-
293,chr1,52388557,52388577,+
294,chr1,52388874,52388892,+
295,chr1,52388894,52388917,-
296,chr1,52391996,52392017,+
297,chr1,52392157,52392174,-
298,chr1,52607740,52607777,-
299,chr1,52607845,52607866,-
300,chr1,52630419,52630444,+
301,chr1,52630948,52630968,-
302,chr1,52631313,52631334,-
303,chr1,52653569,52653589,+
304,chr1,52653824,52653844,+
305,chr1,52844715,52844745,-
306,chr1,53050233,53050253,-
307,chr1,53050432,53050447,-
308,chr1,53050482,53050503,-
309,chr1,53297444,53297472,-
310,chr1,53692794,53692817,+
311,chr1,53772719,53772742,+
312,chr1,53772955,53772972,-
313,chr1,53774011,53774034,+
314,chr1,53774095,53774118,+
315,chr1,53774300,53774320,-
316,chr1,53775592,53775627,+
317,chr1,53775745,53775772,+
318,chr1,53776167,53776191,+
319,chr1,53776320,53776335,+
320,chr1,53776455,53776470,+
321,chr1,53777169,53777184,+
322,chr1,53777500,53777530,-
323,chr1,53777588,53777613,-
324,chr1,53780945,53780960,-
325,chr1,53781373,53781393,-
326,chr1,53781972,53781987,+
327,chr1,53782007,53782055,+
328,chr1,53782242,53782259,+
329,chr1,53782391,53782416,-
330,chr1,53782887,53782902,+
331,chr1,53782908,53782923,+
332,chr1,53783112,53783137,+
333,chr1,53783430,53783461,+
334,chr1,53783650,53783665,-
335,chr1,53784020,53784043,+
336,chr1,53797351,53797368,+
337,chr1,53797369,53797392,-
338,chr1,53798004,53798019,+
339,chr1,53824589,53824622,-
340,chr1,53824748,53824769,-
341,chr1,53824887,53824904,+
342,chr1,53845628,53845648,+
343,chr1,53845829,53845849,-
344,chr1,53851275,53851341,+
345,chr1,53851960,53851994,+
346,chr1,53852437,53852456,+
347,chr1,53875726,53875746,+
348,chr1,53875845,53875865,+
349,chr1,53875930,53876017,+
350,chr1,53909381,53909398,-
351,chr1,53909596,53909615,+
352,chr1,54438773,54438793,+
353,chr1,54439168,54439207,-
354,chr1,54492486,54492505,-
355,chr1,54492519,54492536,+
356,chr1,54493431,54493454,+
357,chr1,54493562,54493590,-
358,chr1,54578722,54578745,-
359,chr1,54578763,54578779,+
360,chr1,54585223,54585251,+
361,chr1,54585396,54585411,+
362,chr1,54585779,54585811,-
363,chr1,54585814,54585844,-
364,chr1,54748117,54748140,+
365,chr1,54748162,54748185,+
366,chr1,54842119,54842142,+
367,chr1,54842217,54842240,+
368,chr1,54842260,54842280,-
369,chr1,54871082,54871099,+
370,chr1,54871257,54871277,+
371,chr1,54871461,54871477,-
372,chr1,54871483,54871506,+
373,chr1,54872070,54872103,+
374,chr1,54872161,54872190,+
375,chr1,54872483,54872507,+
376,chr1,54872810,54872842,+
377,chr1,54872843,54872860,-
378,chr1,54872883,54872899,+
379,chr1,54883064,54883094,+
380,chr1,54896419,54896452,+
381,chr1,54896618,54896638,+
382,chr1,54896749,54896766,-
383,chr1,54896794,54896811,-
384,chr1,54896971,54896994,+
385,chr1,54897019,54897042,+
386,chr1,54913328,54913364,+
387,chr1,54913832,54913852,-
388,chr1,54914060,54914117,-
389,chr1,54914243,54914270,+
390,chr1,54914350,54914393,-
391,chr1,54914728,54914751,+
392,chr1,54914825,54914862,+
393,chr1,54914947,54914977,+
394,chr1,54914980,54915009,+
395,chr1,54923497,54923526,+
396,chr1,54923596,54923619,+
397,chr1,54923648,54923673,+
398,chr1,54923840,54923855,+
399,chr1,54924155,54924172,+
400,chr1,54924366,54924381,+
401,chr1,54925365,54925405,-
402,chr1,55053346,55053366,+
403,chr1,55130510,55130546,+
404,chr1,55130697,55130720,-
405,chr1,55132056,55132089,+
406,chr1,55132090,55132118,+
407,chr1,55236964,55236984,+
408,chr1,55405559,55405579,-
409,chr1,55446911,55446991,+
410,chr1,56236751,56236768,+
411,chr1,56236925,56236959,+
412,chr1,58301399,58301414,+
413,chr1,58303806,58303842,-
414,chr1,58422783,58422806,-
415,chr1,58423298,58423321,+
416,chr1,58423368,58423383,-
417,chr1,58423558,58423593,+
418,chr1,58445863,58445883,+
419,chr1,58505219,58505242,-
420,chr1,58505291,58505313,+
421,chr1,58505429,58505446,+
422,chr1,58711054,58711082,-
423,chr1,58711288,58711324,-
424,chr1,58712470,58712504,-
425,chr1,58712995,58713015,-
426,chr1,58713164,58713194,-
427,chr1,58713198,58713221,-
428,chr1,58716436,58716453,-
429,chr1,58716832,58716863,-
430,chr1,58716998,58717013,-
431,chr1,58721239,58721261,+
432,chr1,58721306,58721321,-
433,chr1,58797888,58797903,-
434,chr1,58798028,58798145,-
435,chr1,58974237,58974257,-
436,chr1,59602796,59602819,+
437,chr1,59602841,59602864,-
438,chr1,59669896,59669911,-
439,chr1,59684204,59684221,+
440,chr1,59684625,59684645,-
441,chr1,59684744,59684759,+
442,chr1,59684818,59684842,+
443,chr1,59913293,59913309,+
444,chr1,59917787,59917803,+
445,chr1,59923405,59923420,+
446,chr1,60016265,60016285,+
447,chr1,60016359,60016379,+
448,chr1,60016415,60016447,+
449,chr1,60016512,60016564,-
450,chr1,60087202,60087238,+
451,chr1,60087630,60087653,-
452,chr1,60087874,60087889,+
453,chr1,60097833,60097848,+
454,chr1,60098814,60098863,-
455,chr1,60483197,60483216,-
456,chr1,60627687,60627714,+
457,chr1,60652594,60652631,+
458,chr1,60713708,60713728,+
459,chr1,60713749,60713773,+
460,chr1,60713967,60713987,-
461,chr1,60746091,60746121,-
462,chr1,60746224,60746259,+
463,chr1,60746536,60746552,-
464,chr1,60746771,60746807,-
465,chr1,60754703,60754720,+
466,chr1,60754882,60754930,-
467,chr1,60755107,60755127,+
468,chr1,60755300,60755315,-
469,chr1,60755358,60755378,-
470,chr1,60755455,60755472,-
471,chr1,60755834,60755854,+
472,chr1,60758002,60758019,-
473,chr1,60758185,60758208,-
474,chr1,60758463,60758486,+
475,chr1,60758594,60758614,+
476,chr1,60760429,60760446,-
477,chr1,60761231,60761262,+
478,chr1,60761264,60761333,+
479,chr1,60761482,60761498,+
480,chr1,60761531,60761559,-
481,chr1,60761688,60761724,-
482,chr1,60761912,60761951,-
483,chr1,60762233,60762263,-
484,chr1,60775245,60775276,+
485,chr1,60776386,60776406,+
486,chr1,60776620,60776679,-
487,chr1,60777097,60777120,-
488,chr1,60777479,60777494,-
489,chr1,60781761,60781793,+
490,chr1,60781817,60781833,+
491,chr1,60782189,60782206,-
492,chr1,60782240,60782263,+
493,chr1,60782353,60782377,+
494,chr1,60782444,60782464,-
495,chr1,60782516,60782539,+
496,chr1,60875448,60875464,-
497,chr1,60875796,60875813,+
498,chr1,60875817,60875857,-
499,chr1,60875989,60876012,-
500,chr1,60876034,60876049,-
501,chr1,60882707,60882723,+
502,chr1,60883009,60883032,-
503,chr1,60883107,60883138,-
504,chr1,60883218,60883248,+
505,chr1,60883475,60883492,+
506,chr1,60886528,60886548,-
507,chr1,60886759,60886776,+
508,chr1,60887071,60887094,+
509,chr1,60898510,60898544,-
510,chr1,60899181,60899205,-
511,chr1,60899224,60899247,-
512,chr1,60899697,60899712,-
513,chr1,60907386,60907402,-
514,chr1,60908314,60908330,-
515,chr1,60908404,60908427,-
516,chr1,60908484,60908501,-
517,chr1,60908538,60908571,-
518,chr1,60908888,60908929,-
519,chr1,60908978,60909001,+
520,chr1,60909325,60909355,-
521,chr1,60909712,60909729,+
522,chr1,60910095,60910123,+
523,chr1,60911222,60911237,-
524,chr1,60911589,60911664,+
525,chr1,60912079,60912099,+
526,chr1,60913267,60913297,-
527,chr1,60913518,60913535,-
528,chr1,60914124,60914147,-
529,chr1,60914223,60914262,+
530,chr1,60914485,60914508,-
531,chr1,60916409,60916429,-
532,chr1,60917086,60917109,-
533,chr1,60917569,60917586,-
534,chr1,60941537,60941552,-
535,chr1,60941561,60941577,-
536,chr1,60941715,60941738,-
537,chr1,60974500,60974547,+
538,chr1,60978103,60978151,-
539,chr1,60978503,60978566,-
540,chr1,60978844,60978859,+
541,chr1,60990616,60990631,-
542,chr1,60990937,60990952,+
543,chr1,61027363,61027387,+
544,chr1,61027939,61027959,-
545,chr1,61035432,61035455,-
546,chr1,61046115,61046174,+
547,chr1,61046760,61046781,-
548,chr1,61050066,61050083,+
549,chr1,61050135,61050158,-
550,chr1,61050365,61050419,-
551,chr1,61068177,61068197,+
552,chr1,61135667,61135682,+
553,chr1,61135832,61135847,-
554,chr1,61135938,61135962,-
555,chr1,61136195,61136218,-
556,chr1,61137493,61137510,-
557,chr1,61139509,61139524,-
558,chr1,61434904,61434925,-
559,chr1,61435039,61435059,+
560,chr1,61435182,61435211,+
561,chr1,62786245,62786280,-
562,chr1,62786318,62786351,.
563,chr1,63114382,63114409,-
564,chr1,63114551,63114566,-
565,chr1,63176891,63176906,-
566,chr1,63782185,63782205,+
567,chr1,64088152,64088192,+
568,chr1,64088229,64088250,+
569,chr1,64088274,64088297,+
570,chr1,64088519,64088536,-
571,chr1,64120755,64120817,+
572,chr1,64120819,64120842,+
573,chr1,64120879,64120894,+
574,chr1,64121053,64121074,-
575,chr1,64121106,64121168,.
576,chr1,64160621,64160644,-
577,chr1,64265996,64266044,+
578,chr1,64266102,64266134,-
579,chr1,64266191,64266214,-
580,chr1,64266279,64266294,+
581,chr1,64266367,64266382,+
582,chr1,64266548,64266564,+
583,chr1,64266768,64266808,+
584,chr1,64266845,64266861,+
585,chr1,64528103,64528118,+
586,chr1,64531862,64531882,+
587,chr1,64531985,64532005,+
588,chr1,64616785,64616806,-
589,chr1,64956172,64956209,-
590,chr1,64956409,64956424,-
591,chr1,65975896,65975919,-
592,chr1,66552803,66552823,-
593,chr1,66816825,66816848,+
594,chr1,66817023,66817043,+
595,chr1,66863567,66863626,-
596,chr1,66863648,66863665,+
597,chr1,66863719,66863761,-
598,chr1,66863886,66863902,+
599,chr1,67039285,67039312,+
600,chr1,67685846,67685869,-
601,chr1,67685878,67685898,-
602,chr1,67685902,67685917,-
603,chr1,68407535,68407568,+
604,chr1,69537362,69537394,-
605,chr1,69537452,69537469,-
606,chr1,69537902,69537917,+
607,chr1,69537991,69538006,+
608,chr1,69538270,69538285,-
609,chr1,69543854,69543881,+
610,chr1,69543886,69543906,+
611,chr1,69544229,69544252,+
612,chr1,69545006,69545021,-
613,chr1,69545772,69545795,-
614,chr1,69555263,69555280,+
615,chr1,69555355,69555370,-
616,chr1,69555514,69555539,-
617,chr1,69555995,69556010,+
618,chr1,69556097,69556120,-
619,chr1,69608872,69608887,+
620,chr1,69609068,69609105,+
621,chr1,69609403,69609438,+
622,chr1,69643845,69643865,+
623,chr1,69644060,69644084,-
624,chr1,69644385,69644400,+
625,chr1,69644877,69644899,+
626,chr1,69645255,69645290,-
627,chr1,69645428,69645452,-
628,chr1,69645476,69645496,+
629,chr1,69657462,69657495,+
630,chr1,69657772,69657801,+
631,chr1,69657846,69657884,+
632,chr1,69657916,69657935,-
633,chr1,69662460,69662510,.
634,chr1,69662628,69662645,+
635,chr1,69662658,69662683,+
636,chr1,69662783,69662810,+
637,chr1,69663063,69663083,-
638,chr1,69663246,69663262,+
639,chr1,69666737,69666762,+
640,chr1,69667031,69667081,-
641,chr1,69667419,69667460,+
642,chr1,69667561,69667589,+
643,chr1,69675127,69675143,-
644,chr1,69675207,69675234,+
645,chr1,69680028,69680059,+
646,chr1,69680414,69680437,+
647,chr1,69680588,69680611,-
648,chr1,69681323,69681368,+
649,chr1,69681505,69681535,+
650,chr1,69681564,69681592,-
651,chr1,69682333,69682358,+
652,chr1,69682495,69682512,+
653,chr1,69682661,69682681,+
654,chr1,69682745,69682774,-
655,chr1,69682822,69682853,-
656,chr1,69683182,69683198,+
657,chr1,69683445,69683465,+
658,chr1,69686284,69686299,+
659,chr1,69686389,69686428,+
660,chr1,69686503,69686544,-
661,chr1,69686611,69686666,+
662,chr1,69687075,69687101,-
663,chr1,69688386,69688401,+
664,chr1,69752866,69752883,-
665,chr1,69752978,69753005,-
666,chr1,69759405,69759432,-
667,chr1,69759816,69759844,+
668,chr1,69760137,69760152,-
669,chr1,69764739,69764775,+
670,chr1,69767928,69767951,-
671,chr1,69769133,69769182,+
672,chr1,69769607,69769656,-
673,chr1,70983350,70983373,-
674,chr1,70983382,70983402,-
675,chr1,70983406,70983421,-
676,chr1,72244582,72244617,-
677,chr1,72254531,72254547,+
678,chr1,72306970,72306994,-
679,chr1,72307170,72307210,-
680,chr1,72307778,72307793,-
681,chr1,73320402,73320422,-
682,chr1,74239191,74239222,+
683,chr1,74262829,74262847,-
684,chr1,74391264,74391292,+
685,chr1,74397254,74397284,+
686,chr1,74398439,74398454,+
687,chr1,75125344,75125359,+
688,chr1,75125382,75125419,-
689,chr1,75236342,75236357,+
690,chr1,75521284,75521299,-
691,chr1,75521859,75521876,-
692,chr1,75522263,75522280,-
693,chr1,75522317,75522336,-
694,chr1,75522362,75522388,-
695,chr1,77940548,77940574,-
696,chr1,77940642,77940657,-
697,chr1,78489300,78489317,-
698,chr1,78536782,78536802,+
699,chr1,78537340,78537364,-
700,chr1,78538502,78538530,+
701,chr1,78657463,78657499,.
702,chr1,79464381,79464416,+
703,chr1,79561418,79561435,-
704,chr1,79751809,79751850,+
705,chr1,79751940,79751957,-
706,chr1,79752458,79752498,+
707,chr1,79752614,79752631,+
708,chr1,79752849,79752864,+
709,chr1,79752875,79752895,+
710,chr1,79761877,79761925,+
711,chr1,79775870,79775890,-
712,chr1,80341387,80341404,-
713,chr1,80409815,80409832,+
714,chr1,80416185,80416209,-
715,chr1,80416288,80416305,-
716,chr1,80416432,80416452,-
717,chr1,80416593,80416628,-
718,chr1,80440648,80440668,+
719,chr1,80441129,80441149,+
720,chr1,80441225,80441240,-
721,chr1,80637070,80637088,-
722,chr1,80638138,80638153,-
723,chr1,80638197,80638216,+
724,chr1,80643380,80643397,+
725,chr1,80644144,80644159,+
726,chr1,80644421,80644444,-
727,chr1,80664767,80664810,+
728,chr1,80665576,80665601,-
729,chr1,80665605,80665628,-
730,chr1,80665816,80665833,+
731,chr1,80670584,80670601,+
732,chr1,80670710,80670733,+
733,chr1,80670801,80670824,-
734,chr1,80670907,80670930,-
735,chr1,80671235,80671250,+
736,chr1,80671292,80671312,+
737,chr1,80728600,80728617,-
738,chr1,80728780,80728810,-
739,chr1,80730762,80730777,+
740,chr1,80746631,80746647,-
741,chr1,80747090,80747122,-
742,chr1,80747507,80747557,+
743,chr1,80757351,80757380,+
744,chr1,80758841,80758864,-
745,chr1,80765631,80765657,+
746,chr1,81185685,81185700,-
747,chr1,82551095,82551118,+
748,chr1,82725585,82725637,+
749,chr1,82803692,82803708,-
750,chr1,82803846,82803862,-
751,chr1,82803906,82803930,-
752,chr1,82807014,82807034,-
753,chr1,82807550,82807600,-
754,chr1,82830837,82830853,+
755,chr1,82831023,82831110,.
756,chr1,82832338,82832355,+
757,chr1,82832736,82832771,+
758,chr1,82833327,82833356,+
759,chr1,82833458,82833524,-
760,chr1,82833762,82833779,+
761,chr1,82833948,82833988,+
762,chr1,82900844,82900871,-
763,chr1,82973757,82973777,-
764,chr1,82974082,82974099,+
765,chr1,83006488,83006505,-
766,chr1,83616867,83616890,+
767,chr1,83616940,83616970,+
768,chr1,83616975,83617013,+
769,chr1,84839741,84839777,+
770,chr1,85686540,85686563,-
771,chr1,85686564,85686580,+
772,chr1,85732616,85732632,-
773,chr1,85739564,85739585,+
774,chr1,85739728,85739788,+
775,chr1,85740157,85740175,-
776,chr1,85740361,85740382,-
777,chr1,86152525,86152541,-
778,chr1,86152732,86152753,-
779,chr1,86152898,86152950,-
780,chr1,86153361,86153376,-
781,chr1,86229147,86229172,+
782,chr1,86344210,86344246,-
783,chr1,86344538,86344554,-
784,chr1,86360191,86360214,+
785,chr1,86394556,86394576,-
786,chr1,86441237,86441252,-
787,chr1,86441255,86441297,-
788,chr1,86441758,86441779,+
789,chr1,86441840,86441867,+
790,chr1,86471426,86471461,-
791,chr1,86471481,86471538,-
792,chr1,86525713,86525736,-
793,chr1,86528591,86528608,-
794,chr1,86528754,86528771,-
795,chr1,86586947,86586962,-
796,chr1,87608192,87608306,-
797,chr1,87608311,87608327,-
798,chr1,87608513,87608536,-
799,chr1,87637089,87637112,-
800,chr1,87660072,87660100,-
801,chr1,87660278,87660316,+
802,chr1,87755333,87755363,+
803,chr1,87755757,87755774,+
804,chr1,87811476,87811496,+
805,chr1,87827646,87827662,+
806,chr1,87827865,87827893,+
807,chr1,87828004,87828032,+
808,chr1,87829575,87829595,-
809,chr1,87847376,87847396,-
810,chr1,87847519,87847582,+
811,chr1,87847678,87847720,-
812,chr1,87847723,87847740,-
813,chr1,87867034,87867054,-
814,chr1,87899915,87899936,-
815,chr1,88497547,88497562,+
816,chr1,88497807,88497830,-
817,chr1,88578250,88578279,-
818,chr1,88578649,88578678,+
819,chr1,88587843,88587866,+
820,chr1,88622856,88622871,-
821,chr1,88622938,88622973,+
822,chr1,88644746,88644778,-
823,chr1,88655193,88655229,+
824,chr1,88704922,88704951,+
825,chr1,88705383,88705427,+
826,chr1,88709148,88709175,+
827,chr1,88709199,88709231,+
828,chr1,88709255,88709287,-
829,chr1,90695486,90695506,+
830,chr1,91095145,91095160,-
831,chr1,91095737,91095758,-
832,chr1,91249881,91249899,+
833,chr1,91250066,91250086,+
834,chr1,91250248,91250280,-
835,chr1,91399339,91399396,-
836,chr1,91459967,91459990,-
837,chr1,91539525,91539556,-
838,chr1,92051172,92051203,+
839,chr1,92058736,92058757,+
840,chr1,92069477,92069500,+
841,chr1,92070016,92070043,+
842,chr1,92080245,92080280,+
843,chr1,92103664,92103679,-
844,chr1,92119784,92119814,+
845,chr1,92119823,92119857,-
846,chr1,92910327,92910350,+
847,chr1,93635979,93636009,-
848,chr1,93755529,93755578,-
849,chr1,94034808,94034841,+
850,chr1,94035656,94035671,-
851,chr1,94035759,94035782,-
852,chr1,94055496,94055513,-
853,chr1,94091611,94091628,-
854,chr1,94091940,94091963,-
855,chr1,94092006,94092029,-
856,chr1,94402166,94402186,+
857,chr1,94750075,94750100,-
858,chr1,95226199,95226219,+
859,chr1,95226228,95226249,+
860,chr1,95313868,95313887,-
861,chr1,95655317,95655340,+
862,chr1,95655521,95655547,+
863,chr1,95655898,95655913,+
864,chr1,95656100,95656115,+
865,chr1,95656243,95656274,+
866,chr1,95656314,95656335,+
867,chr1,95656865,95656885,+
868,chr1,95657003,95657046,.
869,chr1,95657189,95657205,+
870,chr1,95657332,95657348,+
871,chr1,95664893,95664934,-
