Gene,Gene_chr,Gene_start,Gene_end,Gene_dir,HH_dist,TnG_dist,Joris_aTreg_IAA_over_Joris_aTreg_WT_Log2FC,Joris_aTreg_IAA_over_Joris_aTreg_WT_padj
Gm18519,chr17,21394077,21395117,-,-2395241,-9643,0.09379412,1.0
Fcgr1,chr3,96282908,96293969,-,263060,120997,1.26411821,1.0
Gm37527,chr6,41692639,41696186,-,-138342,-138946,-0.106061497,1.0
Gm8738,chr11,103879914,103880243,-,501854,-108167,-0.103942596,0.959536281
9530020I12Rik,chr12,11185992,11204502,-,25731,25846,-1.114198478,1.0
Igkv4-91,chr6,68768554,68769103,-,-186744,-478767,-1.09298715,1.0
Gm50130,chr19,21831450,21833756,-,-794753,79396,0.348451452,1.0
Gm24644,chr2,104040668,104040807,+,139040,-244527,-0.034276949,0.98841149
Gm18789,chr9,14915471,14916021,-,-671002,-11196,0.170970621,0.938395668
Gm38091,chr9,89259524,89263395,-,-47088,-47021,0.345359087,0.483949087
Aipl1,chr11,72027962,72037509,-,144901,4243,-0.311568098,1.0
Gm25970,chr12,65056572,65056658,+,176528,8885,0.161085365,1.0
Rnf144b,chr13,47122655,47247991,+,-420044,-174524,0.833697512,1.0
Ptgdr2,chr19,10937159,10942511,+,-159967,6917,0.159347643,1.0
Gm42646,chr5,65857317,65858231,+,-302,-155,-0.84330234,0.136074003
Lrrc66,chr5,73606641,73632526,-,-20462,-49524,0.012168924,1.0
Ttn,chr2,76703979,76982547,-,322827,322963,-0.275566044,0.700911103
Lad1,chr1,135818597,135833342,+,-10884,-65250,-0.348021522,0.639729984
Snord89,chr1,39548744,39548854,-,165446,10276,0.218156067,1.0
Lefty1,chr1,180935021,180938400,+,302305,-18128,0.303074568,1.0
Sort1,chr3,108284081,108361511,+,-947591,-26865,-0.596958196,1.0
Ephx4,chr5,107402735,107430035,+,-137751,-48639,1.376059834,1.0
Gm43625,chr5,146203250,146204789,-,1127080,174746,-0.066884516,0.981936024
Gm6578,chr6,12099517,12109583,-,673807,-17480,0.504656046,1.0
Lgi4,chr7,31059341,31070935,+,-118828,26983,-2.454639521,1.0
Gm45471,chr7,104405403,104406525,-,-114302,39585,0.752588324,1.0
Mpzl2,chr9,45039798,45054015,+,-52550,0,-0.304472992,1.0
Gm46218,chr10,29297933,29313825,-,623134,47632,0.327032324,0.686499066
Rnf17,chr14,56402580,56525032,+,149996,50867,-0.248415054,1.0
Gm49683,chr16,17714860,17715139,+,673102,-19837,0.386691788,1.0
Gm15965,chr16,90983906,90987237,+,-48987,-48852,0.421378749,0.619105353
Shroom4,chrX,6399853,6637448,+,1001233,685190,0.371237868,1.0
Arxes1,chrX,136033366,136034946,+,-466951,-291070,-0.763740218,1.0
Sspo,chr6,48448228,48501250,+,45382,45213,-0.620146369,0.445607278
Gm11948,chr11,3353572,3354911,-,-8461,-8488,-0.668648331,1.0
D830030K20Rik,chr14,3208487,3234351,+,3579103,2640369,-1.929559075,1.0
Gm8850,chr1,155179800,155180388,+,-6400,-19977,-0.041552191,0.978055541
Anxa9,chr3,95296095,95307176,-,587007,50277,0.308698596,0.866604302
Wdr31,chr4,62448652,62470896,-,34903,34723,0.783021826,1.0
5830416I19Rik,chr5,64044977,64050228,+,-82247,-20659,-0.676330239,0.583635318
Gm44659,chr7,19868120,19871438,-,-8241,68928,0.199545113,1.0
Gm29439,chr7,30872732,30873333,+,14364,67035,-0.508099857,1.0
Gm24299,chr9,15314073,15314144,+,704140,-33848,-1.855932712,1.0
Gm16166,chr10,120928185,120928972,+,604919,-31889,0.45905322,0.677540394
Prps1l1,chr12,34984760,34986436,+,-335092,4122,-0.028441957,0.99315355
Gm5455,chr13,110304776,110305491,-,-502071,77125,-0.055403773,1.0
Pdia2,chr17,26195998,26199087,-,935096,-27679,0.251480375,1.0
Magi1,chr6,93675454,94283917,-,-469973,350280,-2.918850609,0.025746505
4932702P03Rik,chr13,24905592,24914272,+,-291438,7170,0.363091064,0.761542785
Gm26265,chr8,95756949,95757082,-,396179,50772,0.03256618,1.0
Gm26265,chr8,95756949,95757084,-,396177,50770,0.03256618,1.0
Gm48428,chr10,96336089,96345824,-,47330,2602,0.412155976,1.0
Meioc,chr11,102663715,102682237,+,486714,-106956,1.697495112,1.0
Gm28836,chr1,21250358,21271593,-,-1114837,33150,-0.101910518,0.961102613
Igkv3-2,chr6,70698448,70699067,+,99350,15378,-0.459607676,1.0
Sytl4,chrX,133936384,133981812,-,822812,326036,-0.150536505,1.0
2010103J01Rik,chr1,185312186,185313803,+,-466846,18169,0.187092101,1.0
Entpd8,chr2,25080303,25085716,+,449291,71512,-0.648203555,1.0
Gpr153,chr4,152274231,152285337,+,-1334250,-76247,-0.674816172,1.0
Mir7024,chr5,33898909,33898971,-,-506206,-67796,-0.380192188,1.0
Chaer1,chr5,77138470,77140252,-,-68234,202,-0.986660152,1.0
Gm15645,chr7,105762320,105863650,+,-363033,0,-0.171931085,1.0
Gm44911,chr8,7040156,7041218,+,235982,235861,0.178740073,1.0
Scn4b,chr9,45138394,45154152,+,-151146,-472,0.093380926,1.0
Gm10752,chr10,115315645,115316374,+,-951714,-858,-0.011495396,1.0
2610024D14Rik,chr11,21099533,21099827,+,119656,1566,-0.036776468,0.985208275
Gm9077,chr12,3171873,3201049,+,405726,34468,0.864665511,1.0
Gm2974,chr14,4182575,4204895,+,2608559,1669825,0.189018191,1.0
Btnl4,chr17,34466561,34477318,-,112301,126308,0.517432633,1.0
Nap1l3,chrX,122394564,122397401,-,-3992563,-429344,0.214141786,1.0
Hdac9,chr12,34047579,34917095,-,0,0,-0.750803812,1.0
Gm15846,chr5,122438595,122438915,-,152478,-44401,0.120063484,0.963889042
Gm37802,chr1,156856216,156858859,-,-8078,-46418,-0.123630513,0.960392642
Vash2,chr1,190947645,190979296,-,430485,214860,-0.183952828,1.0
Bbs5,chr2,69647170,69667571,+,822034,-11886,-0.17106663,1.0
Gm25492,chr5,135053987,135054116,-,61379,-28807,0.071279095,1.0
Gm44731,chr6,43264541,43265855,-,-1710244,-66134,-0.939412253,1.0
Klk12,chr7,43768896,43773585,+,-12510,-12396,-0.442496169,1.0
Folr2,chr7,101839987,101857194,-,12199,12325,-0.577970235,1.0
AA474408,chr7,110057986,110061325,-,575098,-39870,0.506980117,0.524695525
1700026F02Rik,chr8,70948245,71085758,-,186834,-50442,1.70410847,1.0
Gm10720,chr9,3015653,3017210,+,4856398,386476,0.116311112,0.983137167
Gm10701,chr9,24341656,24418709,+,773100,749050,-0.870530868,1.0
Atp5l-ps2,chr11,86185328,86185642,+,-1376639,16003,0.361570193,1.0
Serpina3h,chr12,104247904,104253669,+,-754836,682809,0.096350308,1.0
Glycam1,chr15,103562758,103565081,-,223566,223458,0.478138181,1.0
Gm6951,chr19,44252516,44261446,+,-161023,-4017,-0.332719777,1.0
Klrg1,chr6,122270595,122282882,-,478473,8898,-0.175319933,0.776582225
Ypel4,chr2,84734057,84738655,+,55086,-18243,-0.648301535,1.0
Gm10933,chr12,35055100,35056961,+,-405432,-33545,0.310084152,0.677622424
Gm38115,chr1,36913600,36916539,-,-204645,5721,0.08836435,0.945436654
Erfe,chr1,91366429,91374217,+,1969970,-116151,0.187073145,0.855348111
Gm16523,chr2,39157485,39162235,-,-645427,-148325,0.335726001,0.521884193
C430019N01Rik,chr5,97999383,98000950,-,-819013,5944,-0.256314541,0.705293491
Slc4a5,chr6,83219827,83304945,+,152245,7479,0.149868175,0.924485075
Brsk2,chr7,141949750,142004247,+,349660,52850,0.025864281,0.986443723
Gm47113,chr9,121869495,121879936,+,346887,-38172,0.706904812,1.0
Rab36,chr10,75037057,75054748,+,-360322,4635,-1.107498056,1.0
Scn4a,chr11,106318591,106353288,-,228067,-448,0.901581519,1.0
Gm8482,chr12,100863968,100864439,-,1117038,-17719,0.534616783,1.0
Gm9063,chr12,110319591,110320173,-,32919,33001,-0.728116526,1.0
Gm3411,chr14,6259746,6287250,-,526204,-341640,-0.086668916,1.0
Gm22106,chr15,73729163,73729290,+,-147881,-133487,0.206372957,1.0
Hba-ps4,chr17,26286362,26287061,-,847122,-118043,0.039211287,1.0
Fgf16,chrX,105764278,105774939,+,26771,26776,-1.32581111,1.0
S100g,chrX,162961991,162964599,-,-3253772,11915,0.152785716,0.940364002
2810429I04Rik,chr13,3478229,3501393,+,23927,12016,0.718306439,0.441879944
Tlcd5,chr9,43108649,43116570,-,-270108,428808,-1.426511348,1.0
Opn3,chr1,175662420,175692776,-,1293529,396,-0.43822371,1.0
Gm37349,chr1,191597646,191598270,+,-187849,1329,-0.653088395,0.407435996
C1ql3,chr2,13003456,13011806,-,546753,76296,-0.535987197,1.0
Gm13594,chr2,65238755,65239675,+,-237506,-49916,0.078132885,1.0
Gm12971,chr4,130758562,130762379,+,137562,-34611,0.169786423,1.0
Gm17907,chr7,55902601,55903311,-,-1488059,147204,-0.062949162,0.97942843
Gm36940,chr9,56414030,56416066,-,3702,2931,0.14228333,0.846293679
Sash1,chr10,8722218,8886070,-,-81210,-81087,-1.106257464,0.524393187
D630029K05Rik,chr10,116964706,116969105,+,-15522,-50442,-0.652096273,1.0
Unc79,chr12,102948858,103184065,+,0,-69965,-0.210476685,0.948716764
Tifab,chr13,56173703,56178885,-,-22013,12409,-0.064931725,1.0
5330439K02Rik,chr15,100459739,100468691,-,-194070,-40535,0.225433286,1.0
Snord66,chr16,20684238,20684313,+,246117,246096,0.551597166,1.0
Bex2,chrX,136066563,136068236,-,-500148,320148,0.780939025,1.0
Mageh1,chrX,153036165,153037575,-,-786764,-307764,-1.461566722,1.0
Tshz2,chr2,169633012,170071816,+,0,0,-0.282564183,0.840283965
Cr2,chr1,195136810,195176716,-,-408614,-5050,0.392796098,0.635453412
Gm44663,chr7,122402454,122405604,+,8982,0,-0.052012992,0.962716605
B9d1,chr11,61505143,61512931,+,-273314,67156,-0.84019314,1.0
Ighv2-6-8,chr12,113796137,113796567,-,-608451,149223,1.0,1.0
Pkdcc,chr17,83215291,83225070,+,421909,27943,-0.091938866,0.972448419
Cav2,chr6,17281184,17289115,+,-21474,-21273,0.327955574,1.0
Itgae,chr11,73090582,73147446,+,52276,-294576,-0.148194867,0.821537334
Gm38218,chr1,66821225,66825914,-,-2111614,-4184,-0.351958435,1.0
Angptl1,chr1,156838561,156861078,+,0,-28763,0.035700054,0.976298592
Gm26670,chr1,191986831,191990138,-,0,0,2.375232231,1.0
9230102O04Rik,chr2,9883040,9889540,-,0,-7049,-0.217050246,0.911083598
Kcnt1,chr2,25863733,25918273,+,-328709,-200097,0.77541888,1.0
Gm43256,chr3,104187102,104190193,-,-406063,-195618,0.393733795,0.713840389
Nexn,chr3,152236981,152266350,-,675582,-7223,1.267434392,0.082184503
Gm42902,chr5,107392730,107403480,-,-127746,-38634,0.837709912,1.0
Gm15921,chr5,130208079,130208562,-,-320364,-11364,0.198427416,1.0
Wnt5b,chr6,119432530,119544347,-,0,0,-0.70002318,1.0
Gm15549,chr8,68798866,68799488,+,-1109644,-5403,0.401485897,1.0
Dram1,chr10,88322803,88379080,-,-349989,0,-1.106482462,1.0
AL645535.1,chr11,107945550,107945616,-,226346,149135,0.1799386,1.0
Gm48383,chr12,100465038,100488390,+,-1071972,236851,0.337095576,0.85231583
Tubal3,chr13,3918273,3935277,+,-381122,0,1.205438646,1.0
Gm47418,chr13,63794105,63795428,+,575217,-229209,0.279750347,1.0
Acot10,chr15,20665213,20666750,-,1436627,1436626,-0.352366219,1.0
Gm49744,chr16,20565576,20566028,-,364402,-139737,-1.114115061,1.0
Gm26419,chr16,32065909,32066042,+,2068,1850,0.163058141,0.936059348
Gm15530,chr16,38685314,38685869,-,-553614,-6559,-0.446767827,0.546548631
Rps2-ps9,chr17,27784378,27785246,+,123002,54694,-0.230483442,0.78114649
Cd5l,chr3,87357880,87371073,+,144365,37149,-0.513441467,1.0
Pex11a,chr7,79735956,79743131,-,449536,-269396,-0.112495376,0.960843857
A630091E08Rik,chr7,98543319,98562990,-,-794426,0,0.443285606,0.542029647
Gm19142,chr16,44803544,44805504,-,-307656,-57628,0.197154414,1.0
Arxes2,chrX,135993823,135995355,+,-427408,-251527,-0.374461886,1.0
Gm15789,chr1,66783912,66786445,+,-2074301,30381,0.112765255,0.951557384
Asic5,chr3,81982289,82021233,+,-2707365,26175,-0.03556207,1.0
Gm34144,chr5,72572173,72572432,+,-231532,62184,0.117469675,1.0
A730089K16Rik,chr5,76655928,76658355,-,411865,-90290,-0.0608508,1.0
Gm32479,chr6,51283531,51287855,-,241465,-73958,-0.665747261,1.0
2010013B24Rik,chr6,145303151,145308951,+,-1312160,0,1.0,1.0
Gm32647,chr7,94042690,94709171,+,0,0,-0.72283081,1.0
Gm45399,chr7,102458244,102459260,+,-135448,-16679,0.43238951,0.821023276
Ccl22,chr8,94745589,94751699,+,-90911,-42276,-0.818832358,1.0
Rgs17,chr10,5825662,5922400,-,57025,-637,0.529005128,1.0
Lrrc10,chr10,117045340,117046768,+,-96156,57493,-0.436771049,1.0
Ccl8,chr11,82115184,82116799,+,835818,66640,-0.443174103,1.0
Gm47588,chr13,63410917,63414767,-,-269836,0,0.056901813,0.974998183
Gm21560,chr14,6210616,6219292,-,594162,-292510,1.496742675,1.0
Gm34093,chr15,36375342,36390172,-,-11137,-153,-0.357606038,1.0
Igkv8-19,chr6,70340875,70341453,-,456964,-55522,1.158341852,1.0
Actr3b,chr5,25759996,25850688,+,-280988,58757,0.001225556,0.999480498
Rhag,chr17,40811125,40840754,+,-1524722,-60112,2.544615175,1.0
Rasgrf1,chr9,89909907,90026977,+,-224593,71991,-1.173487882,1.0
4930558J18Rik,chr1,57359221,57377544,-,-150587,58796,-0.01939898,1.0
4930598F16Rik,chr1,95701183,95716518,-,-95685,27948,-0.382757226,1.0
AA986860,chr1,130731975,130744622,+,409880,132557,0.528129308,1.0
Cfap157,chr2,32777380,32784428,-,-625710,2827,0.287835615,1.0
Wfdc2,chr2,164562412,164568510,+,-17713,-17279,0.300953079,1.0
Gm25878,chr2,167063472,167063565,+,-177118,-137,0.188538491,1.0
ETV3L,chr3,87550098,87561109,+,-34644,-11902,0.083262931,1.0
Gm5857,chr3,144427179,144427672,-,-376859,-174039,0.051721918,0.986509327
Gm12929,chr4,126476301,126476671,-,-281827,200693,0.690877781,1.0
Slc30a2,chr4,134343180,134354484,+,16043,105728,-0.515938364,1.0
Gm9347,chr7,136810908,136812515,+,-1290434,-1158774,-0.102813587,1.0
Stox2,chr8,47180047,47446362,-,-628339,87059,-1.586374851,1.0
1700065D16Rik,chr9,95855417,95858322,-,1031794,-19999,-0.642029573,1.0
Gm47503,chr10,45656954,45661912,+,-699065,-636373,0.133116303,0.950093265
Gm48230,chr12,78441594,78446746,+,122245,122013,0.114319373,1.0
Ak7,chr12,105705975,105782447,+,1200844,0,-0.278774134,1.0
Dio3os,chr12,110275384,110278172,-,74920,75002,-1.345890835,1.0
Elfn2,chr15,78667330,78718771,-,0,-52870,-0.491310883,1.0
Cystm1,chr18,36342519,36403097,+,-431966,267375,-0.267486085,0.872177475
Gm19774,chr18,38714399,38714513,+,-294335,-82334,1.375940581,1.0
Ceacam-ps1,chr7,16648948,16657476,-,25119,-30309,-0.380175931,0.714538156
Gm37529,chr1,160321685,160327078,-,-14667,-14758,-0.044511022,0.937205556
Asph,chr4,9448068,9669344,-,101843,-24684,-0.188893285,0.933937711
Gm16574,chr17,12818792,12819537,+,-48728,-38917,0.111349274,0.951484318
Gm28112,chr1,69660186,69662061,-,-239978,-2387,-0.007085987,0.989370048
Klhl30,chr1,91351015,91362416,+,1981771,-100737,0.281958004,1.0
Gm37174,chr1,121328091,121331149,+,-1227622,0,0.175658175,1.0
Pbx1,chr1,168119363,168432270,-,458989,-725302,-0.486962726,1.0
Gm37499,chr2,14149819,14153297,+,-591244,-357382,0.425550813,0.704031035
Abcb11,chr2,69238281,69342616,-,1146989,292611,-0.147459958,1.0
Actrt3,chr3,30597072,30599939,-,-218914,402,-0.907335691,1.0
Gm5550,chr3,157816719,157817795,-,-199723,213497,-1.090346217,1.0
Chrna9,chr5,65934920,65977326,+,-77905,0,-0.105269033,1.0
Eif5al3-ps,chr5,90132228,90132675,+,-1234585,91512,1.815839714,1.0
Hepacam2,chr6,3457095,3498298,-,668933,-9725,-1.448839065,1.0
Antxr1,chr6,87133852,87335821,-,167112,167193,0.691405196,1.0
Slc27a5,chr7,12988345,12998192,-,-1162241,0,-0.676989951,1.0
Gpx2-ps1,chr7,100264674,100265245,+,-374971,-30264,-0.204118583,1.0
Cd209b,chr8,3917654,3926844,-,-747142,-114565,-1.225714538,1.0
Gm45572,chr8,26966433,26967474,+,54893,56267,-0.373772021,1.0
5430430B14Rik,chr8,27279440,27281070,+,-150544,-25358,-0.618741275,1.0
Muc16,chr9,18495454,18674530,-,13145,13064,0.109175057,1.0
Gm47691,chr10,13043096,13051385,-,-62183,5799,-1.076232362,1.0
Reep6,chr10,80329952,80336441,+,340075,-37651,-0.447174326,1.0
Syn3,chr10,86055124,86498896,-,-936333,186206,-0.696463472,1.0
Myrfl,chr10,116776534,116896919,-,52249,0,-1.691719126,1.0
Pla2g3,chr11,3488283,3499350,+,-143172,-101252,0.201506358,1.0
P2rx5,chr11,73160420,73172685,+,27037,-364414,0.050346637,0.981936024
Rnu3b4,chr11,87462285,87462500,+,475429,132,0.170259535,0.775970237
Rnu3b4,chr11,87462285,87462501,+,475428,131,0.170259535,0.775970237
Rps12-ps26,chr11,107171899,107172232,-,-144380,-66588,-0.0903882,1.0
Gm49327,chr12,17933163,17939628,+,-275022,-114491,0.329836226,1.0
Gm38355,chr12,85100777,85102347,-,-218157,9079,-0.053131981,1.0
Tmem63c,chr12,87021339,87090043,+,-1047507,-126208,-0.952860028,1.0
Eml1,chr12,108370956,108539617,+,105403,92119,0.488528644,1.0
Naip1,chr13,100407763,100452869,-,413812,-232851,0.077635996,1.0
Mir687,chr14,73206762,73206851,-,-118482,-44854,0.745203468,1.0
Cabyr,chr18,12740321,12755260,+,-1083609,16565,0.186790271,1.0
Zbtb3,chr19,8802554,8804846,+,14352,-270,-0.496586883,0.619056541
Acta2,chr19,34241089,34255590,-,237416,0,-0.349405226,1.0
Gm15186,chrX,159588464,159589027,+,119176,18087,-1.231620683,1.0
Vsig10,chr5,117319082,117355005,+,-693535,744,-0.508598702,0.584453694
9430078K24Rik,chr12,79917018,79936264,-,132860,-62433,-1.256742385,1.0
Gm5063,chr16,44800673,44801649,-,-304785,-54757,-1.250306434,0.0997187
