chr,TnG_start,TnG_end,strand
chr1,36149302,36149316,+
chr1,36149677,36149724,+
chr1,36159698,36159722,+
chr1,36161067,36161083,+
chr1,36165553,36165568,+
chr1,36165615,36165644,+
chr1,36165744,36165760,+
chr1,36256345,36256385,+
chr1,36260301,36260333,+
chr1,36260480,36260523,+
chr1,36260784,36260800,+
chr1,36260811,36260827,+
chr1,36264370,36264401,+
chr1,36266991,36267011,+
chr1,36274228,36274253,+
chr1,36293889,36293903,+
chr1,36470511,36470551,+
chr1,36470688,36470739,+
chr1,36511363,36511382,+
chr1,36511515,36511547,+
chr1,36691190,36691204,+
chr1,36911980,36911996,+
chr1,36921716,36921735,+
chr1,36922259,36922288,+
chr1,37000254,37000288,+
chr1,37000456,37000471,+
chr1,37000851,37000873,+
chr1,37028963,37028987,+
chr1,37029824,37029843,+
chr1,37030768,37030807,+
chr1,37299475,37299509,+
chr1,37300430,37300446,+
chr1,37469162,37469181,+
chr1,37469285,37469304,+
chr1,37473023,37473042,+
chr1,37477476,37477492,+
chr1,37478006,37478026,+
chr1,37478069,37478088,+
chr1,37478724,37478739,+
chr1,37479054,37479073,+
chr1,37479105,37479127,+
chr1,37481096,37481110,+
chr1,37481205,37481224,+
chr1,37481231,37481248,+
chr1,37530188,37530216,+
chr1,37872523,37872542,+
chr1,37872768,37872783,+
chr1,37998298,37998314,+
chr1,38130355,38130396,+
chr1,38130422,38130444,+
chr1,38149889,38149926,+
chr1,38149930,38149964,+
chr1,38898297,38898327,+
chr1,38898330,38898345,+
chr1,38898349,38898365,+
chr1,39090116,39090132,+
chr1,39090324,39090338,+
chr1,39090371,39090390,+
chr1,39091660,39091674,+
chr1,39092992,39093008,+
chr1,39102449,39102468,+
chr1,39281434,39281462,+
chr1,39576408,39576423,+
chr1,39577697,39577738,+
chr1,39746519,39746533,+
chr1,39843676,39843692,+
chr1,39843726,39843746,+
chr1,39896521,39896537,+
chr1,39902461,39902494,+
chr1,39904231,39904247,+
chr1,39904269,39904285,+
chr1,39904307,39904323,+
chr1,39904379,39904395,+
chr1,39904443,39904459,+
chr1,40081901,40081957,+
chr1,40382990,40383014,+
chr1,40473940,40473955,+
chr1,40474996,40475010,+
chr1,40475267,40475281,+
chr1,40476514,40476533,+
chr1,40687831,40687845,+
chr1,40751546,40751699,+
chr1,43098359,43098373,+
chr1,43457114,43457133,+
chr1,43467613,43467650,+
chr1,43468121,43468140,+
chr1,43472573,43472592,+
chr1,43472715,43472729,+
chr1,43535084,43535104,+
chr1,43562382,43562398,+
chr1,43826895,43826935,+
chr1,44101332,44101360,+
chr1,44101874,44101893,+
chr1,44102006,44102020,+
chr1,45794816,45794854,+
chr1,46852547,46852563,+
chr1,46894046,46894070,+
chr1,51071947,51071962,+
chr1,51478075,51478094,+
chr1,51478124,51478168,+
chr1,51529795,51529819,+
chr1,51577571,51577587,+
chr1,51584001,51584020,+
chr1,51584055,51584069,+
chr1,51584550,51584606,+
chr1,51585601,51585616,+
chr1,51585846,51585862,+
chr1,51585867,51585886,+
chr1,52009355,52009377,+
chr1,52009399,52009427,+
chr1,52011024,52011044,+
chr1,52012593,52012609,+
chr1,52012823,52012837,+
chr1,52019263,52019297,+
chr1,52022432,52022458,+
chr1,52116831,52116845,+
chr1,52231665,52231684,+
chr1,52499506,52499521,+
chr1,52630419,52630443,+
chr1,52649929,52649945,+
chr1,52653569,52653588,+
chr1,52653824,52653843,+
chr1,52654042,52654062,+
chr1,52655272,52655288,+
chr1,52751748,52751767,+
chr1,52751773,52751813,+
chr1,52799141,52799155,+
chr1,52799764,52799778,+
chr1,53076883,53076905,+
chr1,53168111,53168169,+
chr1,53774013,53774028,+
chr1,53774095,53774115,+
chr1,53774556,53774575,+
chr1,53775606,53775626,+
chr1,53776174,53776190,+
chr1,53776320,53776334,+
chr1,53776455,53776469,+
chr1,53777169,53777183,+
chr1,53781972,53781986,+
chr1,53782010,53782053,+
chr1,53782242,53782258,+
chr1,53782887,53782901,+
chr1,53782908,53782922,+
chr1,53783112,53783136,+
chr1,53783441,53783460,+
chr1,53797351,53797367,+
chr1,53798004,53798018,+
chr1,53824887,53824903,+
chr1,53845628,53845647,+
chr1,53850670,53850684,+
chr1,53851285,53851338,+
chr1,53851973,53851993,+
chr1,53852437,53852455,+
chr1,53857047,53857065,+
chr1,53875726,53875745,+
chr1,53875845,53875864,+
chr1,53875930,53876010,+
chr1,53886623,53886644,+
chr1,53886964,53886983,+
chr1,53890499,53890518,+
chr1,53945882,53945911,+
chr1,53946175,53946195,+
chr1,54421669,54421685,+
chr1,54422221,54422256,+
chr1,54492223,54492239,+
chr1,54492519,54492535,+
chr1,54558266,54558280,+
chr1,54585223,54585242,+
chr1,54585396,54585410,+
chr1,54660837,54660856,+
chr1,54833047,54833067,+
chr1,54833081,54833095,+
chr1,54833104,54833123,+
chr1,54842217,54842237,+
chr1,54842424,54842438,+
chr1,54842491,54842506,+
chr1,54846826,54846845,+
chr1,54853080,54853108,+
chr1,54858964,54858983,+
chr1,54859041,54859056,+
chr1,54859059,54859074,+
chr1,54871082,54871098,+
chr1,54871257,54871276,+
chr1,54872075,54872102,+
chr1,54883064,54883093,+
chr1,54896618,54896637,+
chr1,54906864,54906884,+
chr1,54913330,54913363,+
chr1,54914243,54914269,+
chr1,54914728,54914750,+
chr1,54923497,54923517,+
chr1,54923648,54923672,+
chr1,54923840,54923854,+
chr1,54924155,54924171,+
chr1,54924366,54924380,+
chr1,55026029,55026055,+
chr1,55026330,55026346,+
chr1,55028858,55028888,+
chr1,55029514,55029539,+
chr1,55052046,55052060,+
chr1,55053346,55053365,+
chr1,55209093,55209121,+
chr1,55210055,55210070,+
chr1,55236964,55236983,+
chr1,55372855,55372880,+
chr1,55423845,55424012,+
chr1,55424281,55424297,+
chr1,55446912,55446990,+
chr1,58301174,58301195,+
chr1,58301399,58301413,+
chr1,58304168,58304192,+
chr1,58311321,58311336,+
chr1,58415730,58415746,+
chr1,58415749,58415797,+
chr1,58423558,58423586,+
chr1,58445863,58445882,+
chr1,58505291,58505312,+
chr1,58505429,58505445,+
chr1,58669894,58669910,+
chr1,58714271,58714285,+
chr1,58714815,58714862,+
chr1,58717521,58717549,+
chr1,58717844,58717867,+
chr1,58721239,58721260,+
chr1,58773953,58773972,+
chr1,58802196,58802244,+
chr1,58802386,58802400,+
chr1,58803176,58803200,+
chr1,58807125,58807141,+
chr1,58860845,58860861,+
chr1,58956585,58956605,+
chr1,58965421,58965473,+
chr1,59316760,59316774,+
chr1,59684744,59684758,+
chr1,59684824,59684840,+
chr1,59912349,59912368,+
chr1,59913293,59913308,+
chr1,59917787,59917802,+
chr1,59923405,59923419,+
chr1,60016416,60016446,+
chr1,60073866,60074001,+
chr1,60074017,60074051,+
chr1,60074957,60074986,+
chr1,60097833,60097847,+
chr1,60179989,60180007,+
chr1,60180201,60180215,+
chr1,60482922,60482944,+
chr1,60495875,60495921,+
chr1,60539232,60539246,+
chr1,60652538,60652563,+
chr1,60652596,60652628,+
chr1,60664206,60664256,+
chr1,60702690,60702706,+
chr1,60746230,60746249,+
chr1,60755834,60755853,+
chr1,60758594,60758613,+
chr1,60761301,60761332,+
chr1,60761482,60761497,+
chr1,60781761,60781792,+
chr1,60781817,60781832,+
chr1,60813467,60813485,+
chr1,60908978,60908998,+
chr1,60911589,60911657,+
chr1,60990937,60990951,+
chr1,61030802,61030825,+
chr1,61030852,61030870,+
chr1,61046120,61046172,+
chr1,61135667,61135681,+
chr1,62829582,62829598,+
chr1,62875541,62875578,+
chr1,62876271,62876287,+
chr1,62876947,62876961,+
chr1,64000426,64000445,+
chr1,64088155,64088178,+
chr1,64088229,64088249,+
chr1,64120755,64120814,+
chr1,64120879,64120893,+
chr1,64123988,64124048,+
chr1,64137010,64137024,+
chr1,64528103,64528117,+
chr1,64531862,64531881,+
chr1,64531985,64532004,+
chr1,64688196,64688215,+
chr1,65010446,65010524,+
chr1,65186023,65186045,+
chr1,65186123,65186168,+
chr1,66496346,66496365,+
chr1,66553211,66553225,+
chr1,66678982,66678999,+
chr1,66817023,66817042,+
chr1,66838555,66838595,+
chr1,66863648,66863664,+
chr1,66863886,66863901,+
chr1,66874849,66874873,+
chr1,67039477,67039493,+
chr1,69657472,69657493,+
chr1,69657775,69657795,+
chr1,69681323,69681366,+
chr1,69686611,69686648,+
chr1,69759816,69759840,+
chr1,69769144,69769177,+
chr1,69785163,69785254,+
chr1,71068968,71068984,+
chr1,72254531,72254546,+
chr1,74179127,74179143,+
chr1,74239191,74239221,+
chr1,74239662,74239681,+
chr1,74243532,74243548,+
chr1,74332189,74332205,+
chr1,74390057,74390085,+
chr1,74390778,74390805,+
chr1,74391264,74391286,+
chr1,74397257,74397281,+
chr1,75125344,75125358,+
chr1,75168332,75168347,+
chr1,75236342,75236356,+
chr1,78538144,78538164,+
chr1,78538502,78538516,+
chr1,79751810,79751843,+
chr1,79752458,79752497,+
chr1,79752614,79752630,+
chr1,79761879,79761923,+
chr1,80214429,80214453,+
chr1,80361386,80361408,+
chr1,80361612,80361626,+
chr1,80381423,80381442,+
chr1,80381632,80381660,+
chr1,80409369,80409385,+
chr1,80409634,80409661,+
chr1,80409815,80409831,+
chr1,80440648,80440667,+
chr1,80441129,80441148,+
chr1,80644144,80644158,+
chr1,80670584,80670600,+
chr1,80724904,80724918,+
chr1,80725365,80725385,+
chr1,80730762,80730776,+
chr1,80756064,80756086,+
chr1,80757352,80757376,+
chr1,80765631,80765656,+
chr1,80766066,80766085,+
chr1,80858786,80858853,+
chr1,82283078,82283093,+
chr1,82283100,82283114,+
chr1,82830837,82830852,+
chr1,82831023,82831055,+
chr1,82832338,82832354,+
chr1,82832736,82832770,+
chr1,82833762,82833778,+
chr1,82974082,82974098,+
chr1,82975707,82975727,+
chr1,84305708,84305763,+
chr1,84318836,84318865,+
chr1,84780764,84780790,+
chr1,84780859,84780878,+
chr1,84780909,84780923,+
chr1,84839747,84839776,+
chr1,85680338,85680358,+
chr1,85686564,85686579,+
chr1,85735568,85735582,+
chr1,85735715,85735735,+
chr1,86005786,86005806,+
chr1,86405361,86405391,+
chr1,86441758,86441778,+
chr1,86441842,86441857,+
chr1,86488300,86488324,+
chr1,86583106,86583128,+
chr1,87379244,87379271,+
chr1,87755757,87755773,+
chr1,87828004,87828021,+
chr1,87847519,87847577,+
chr1,87854439,87854454,+
chr1,88497547,88497561,+
chr1,88506843,88506858,+
chr1,88555836,88555857,+
chr1,88578652,88578676,+
chr1,88584945,88584964,+
chr1,88587843,88587865,+
chr1,88588726,88588745,+
chr1,88616542,88616590,+
chr1,88616859,88616873,+
chr1,88622939,88622969,+
chr1,88625513,88625534,+
chr1,88636617,88636636,+
chr1,88638626,88638640,+
chr1,88643292,88643306,+
chr1,88644192,88644250,+
chr1,88644990,88645006,+
chr1,88646928,88646952,+
chr1,88647766,88647846,+
chr1,88654034,88654048,+
chr1,88655193,88655228,+
chr1,88656118,88656134,+
chr1,88680954,88680974,+
chr1,88694913,88694957,+
chr1,88697153,88697178,+
chr1,88697183,88697209,+
chr1,88698167,88698183,+
chr1,88698186,88698214,+
chr1,88699051,88699067,+
chr1,88699307,88699331,+
chr1,88704922,88704946,+
chr1,88705383,88705423,+
chr1,88709199,88709230,+
chr1,88720917,88720931,+
chr1,91055673,91055687,+
chr1,91056139,91056155,+
chr1,91096594,91096613,+
chr1,91181303,91181319,+
chr1,91183268,91183288,+
chr1,91183294,91183315,+
chr1,91183807,91183852,+
chr1,91249881,91249898,+
chr1,91250066,91250085,+
chr1,92051172,92051187,+
chr1,92052242,92052264,+
chr1,92058736,92058756,+
chr1,92068849,92068863,+
chr1,92068896,92068911,+
chr1,92069483,92069499,+
chr1,92070144,92070163,+
chr1,92072048,92072062,+
chr1,92072239,92072273,+
chr1,92080248,92080277,+
chr1,92086432,92086454,+
chr1,92086456,92086492,+
chr1,92104791,92104825,+
chr1,92127735,92127751,+
chr1,92127823,92127856,+
chr1,92127947,92127969,+
chr1,92148673,92148697,+
chr1,92178763,92178779,+
chr1,92181260,92181274,+
chr1,92468689,92468704,+
chr1,92774205,92774219,+
chr1,92910327,92910349,+
chr1,93668999,93669015,+
chr1,94034808,94034836,+
chr1,95268070,95268086,+
chr1,95655521,95655546,+
chr1,95655898,95655912,+
chr1,95656100,95656114,+
chr1,95657332,95657347,+
chr1,95666641,95666670,+
chr1,97580346,97580361,+
chr1,97623178,97623195,+
chr1,97623689,97623724,+
chr1,97624114,97624137,+
chr1,97624212,97624234,+
chr1,97660618,97660650,+
chr1,97662377,97662411,+
chr1,97918461,97918476,+
chr1,98589722,98589738,+
chr1,105663605,105663627,+
chr1,105997306,105997327,+
chr1,106037101,106037133,+
chr1,106170902,106170921,+
chr1,106321661,106321693,+
chr1,106494681,106494719,+
chr1,106600298,106600322,+
chr1,106600380,106600400,+
chr1,106601075,106601094,+
chr1,106602232,106602248,+
chr1,106602669,106602689,+
chr1,106612594,106612616,+
chr1,106647463,106647488,+
chr1,106688432,106688446,+
chr1,106760083,106760102,+
chr1,106796071,106796109,+
chr1,106866851,106866870,+
chr1,106867179,106867193,+
chr1,118289973,118289988,+
chr1,118289993,118290007,+
chr1,118311653,118311667,+
chr1,119082865,119082917,+
chr1,119178471,119179054,+
chr1,119476834,119476893,+
chr1,119487137,119487157,+
chr1,119836954,119836968,+
chr1,119837959,119837978,+
chr1,119912910,119912957,+
chr1,120055016,120055072,+
chr1,120055444,120055468,+
chr1,120056247,120056263,+
chr1,120056766,120056780,+
chr1,120057057,120057076,+
chr1,120245411,120245427,+
chr1,121328223,121328243,+
chr1,121568107,121568126,+
chr1,125426722,125426738,+
chr1,125434261,125434275,+
chr1,125437709,125437723,+
chr1,125441173,125441189,+
chr1,125442010,125442029,+
chr1,125464440,125464467,+
chr1,125466646,125466668,+
chr1,125466676,125466690,+
chr1,125467479,125467531,+
chr1,125467660,125467683,+
chr1,125467926,125467953,+
chr1,125487478,125487505,+
chr1,125487524,125487546,+
chr1,125487652,125487667,+
chr1,127159419,127159461,+
chr1,127212559,127212606,+
chr1,127213483,127213499,+
chr1,127213513,127213606,+
chr1,127215137,127215162,+
chr1,127215438,127215458,+
chr1,127233574,127233588,+
chr1,127321889,127321915,+
chr1,127773579,127773609,+
chr1,127774033,127774052,+
chr1,127850088,127850131,+
chr1,127868581,127868600,+
chr1,127869368,127869384,+
chr1,127954213,127954242,+
chr1,127954305,127954351,+
chr1,127978306,127978325,+
chr1,127982767,127982799,+
chr1,128102718,128102732,+
chr1,128243867,128243886,+
chr1,128416653,128416672,+
chr1,128549057,128549072,+
chr1,128591233,128591261,+
chr1,128592038,128592054,+
chr1,128602955,128602970,+
chr1,128604104,128604124,+
chr1,128615983,128615999,+
chr1,128618019,128618033,+
chr1,128766391,128766407,+
chr1,128766661,128766677,+
chr1,128767178,128767197,+
chr1,128787665,128787684,+
chr1,128790639,128790655,+
chr1,128790905,128790943,+
chr1,128790971,128790986,+
chr1,128832652,128832701,+
chr1,128950421,128950455,+
chr1,129616053,129616116,+
chr1,129616402,129616422,+
chr1,130475314,130475340,+
chr1,130475489,130475516,+
chr1,130502230,130502252,+
chr1,130551715,130551736,+
chr1,130630153,130630167,+
chr1,130633379,130633399,+
chr1,130715480,130715519,+
chr1,131076063,131076079,+
chr1,131076090,131076104,+
chr1,131080705,131080721,+
chr1,131138861,131138898,+
chr1,131195233,131195249,+
chr1,131279222,131279237,+
chr1,131290251,131290301,+
chr1,131290411,131290426,+
chr1,131325152,131325166,+
chr1,131325172,131325194,+
chr1,131384439,131384458,+
chr1,131420773,131420792,+
chr1,131427606,131427628,+
chr1,131446690,131446705,+
chr1,131446974,131447013,+
chr1,131492682,131492732,+
chr1,131637731,131637747,+
chr1,131637753,131637768,+
chr1,131639284,131639327,+
chr1,131658125,131658151,+
chr1,131867614,131867630,+
chr1,132007167,132007222,+
chr1,132038972,132038996,+
chr1,132341694,132341736,+
chr1,132477329,132477345,+
chr1,133029811,133029845,+
chr1,133029988,133030007,+
chr1,133158989,133159026,+
chr1,133545270,133545299,+
chr1,133661848,133661898,+
chr1,133689765,133689792,+
chr1,133711305,133711339,+
chr1,133711419,133711451,+
chr1,134058772,134058786,+
chr1,134059044,134059068,+
chr1,134065658,134065683,+
chr1,134065850,134065885,+
chr1,134066223,134066241,+
chr1,134075620,134075639,+
chr1,134078393,134078413,+
chr1,134093510,134093524,+
chr1,134708110,134708173,+
chr1,134962265,134962280,+
chr1,134962915,134962935,+
chr1,135259370,135259384,+
chr1,135259525,135259547,+
chr1,135712880,135712945,+
chr1,135713011,135713027,+
chr1,135713058,135713072,+
chr1,135725564,135725578,+
chr1,135725878,135725924,+
chr1,136131995,136132015,+
chr1,136135285,136135301,+
chr1,136135533,136135549,+
chr1,136139682,136139696,+
chr1,136139808,136139828,+
chr1,136140024,136140038,+
chr1,136140039,136140061,+
chr1,136465979,136465999,+
chr1,136582164,136582184,+
chr1,136618553,136618611,+
chr1,136637097,136637113,+
chr1,136682928,136682948,+
chr1,136685655,136685671,+
chr1,137900426,137900441,+
chr1,137900641,137900665,+
chr1,138131984,138132003,+
chr1,138132030,138132061,+
chr1,138135481,138135495,+
chr1,138135996,138136047,+
chr1,138136161,138136185,+
chr1,138136896,138136912,+
chr1,138136940,138136954,+
chr1,138137624,138137639,+
chr1,138140745,138140764,+
chr1,138145285,138145300,+
chr1,138157121,138157137,+
chr1,138157589,138157603,+
chr1,138157860,138157875,+
chr1,138157982,138157996,+
chr1,138158031,138158055,+
chr1,138166402,138166416,+
chr1,138172495,138172509,+
chr1,138173022,138173036,+
chr1,138173933,138173952,+
chr1,138173964,138173980,+
chr1,138174747,138174766,+
chr1,138174975,138174994,+
chr1,138175172,138175202,+
chr1,138175359,138175373,+
chr1,138175527,138175541,+
chr1,138179125,138179142,+
chr1,138188106,138188130,+
chr1,138188168,138188187,+
chr1,138190812,138190831,+
chr1,138199623,138199647,+
chr1,138224471,138224485,+
chr1,138275906,138275920,+
chr1,138298526,138298577,+
chr1,138299234,138299251,+
chr1,138299291,138299310,+
chr1,138303215,138303231,+
chr1,138517240,138517295,+
chr1,138517422,138517442,+
chr1,138517808,138517822,+
chr1,138589159,138589210,+
chr1,139033124,139033138,+
chr1,139033225,139033295,+
chr1,139422884,139422899,+
chr1,144004614,144004630,+
chr1,144007030,144007068,+
chr1,144249274,144249293,+
chr1,144330394,144330408,+
chr1,144516734,144516801,+
chr1,144516887,144516906,+
chr1,150395811,150395859,+
chr1,150396142,150396173,+
chr1,151002480,151002499,+
chr1,151074867,151074881,+
chr1,151084661,151084676,+
chr1,151097542,151097558,+
chr1,151097641,151097660,+
chr1,151345878,151345898,+
chr1,151500005,151500019,+
chr1,151873545,151873603,+
chr1,152008323,152008375,+
chr1,152008387,152008407,+
chr1,152008421,152008441,+
chr1,152009129,152009148,+
chr1,152010257,152010271,+
chr1,152038227,152038246,+
chr1,152263117,152263181,+
chr1,152288102,152288121,+
chr1,152585488,152585508,+
chr1,152585708,152585733,+
chr1,152767609,152767628,+
chr1,153426962,153426984,+
chr1,153497792,153497946,+
chr1,153630834,153630910,+
chr1,153748980,153749012,+
chr1,153786981,153787067,+
chr1,153787247,153787273,+
chr1,153787280,153787294,+
chr1,154300766,154300833,+
chr1,154786436,154786452,+
chr1,155039266,155039286,+
chr1,155039332,155039351,+
chr1,155040926,155040940,+
chr1,155059897,155059916,+
chr1,155065928,155065947,+
chr1,155470653,155470732,+
chr1,155476693,155476707,+
chr1,155973738,155973754,+
chr1,155974046,155974061,+
chr1,156035355,156035369,+
chr1,156037035,156037049,+
chr1,156037439,156037458,+
chr1,156041007,156041032,+
chr1,156407709,156407740,+
chr1,156418346,156418368,+
chr1,156420473,156420504,+
chr1,156420533,156420560,+
chr1,156421325,156421341,+
chr1,156522229,156522248,+
chr1,156522492,156522520,+
chr1,156523957,156523971,+
chr1,156569610,156569657,+
chr1,156618243,156618259,+
chr1,156740746,156740810,+
chr1,156938630,156938660,+
chr1,156938903,156938919,+
chr1,156986475,156986489,+
chr1,156986668,156986701,+
chr1,157038584,157038598,+
chr1,157038974,157039010,+
chr1,157039300,157039317,+
chr1,157099031,157099091,+
chr1,159928755,159928769,+
chr1,159928796,159928810,+
chr1,160007101,160007117,+
chr1,160023940,160023972,+
chr1,160025031,160025046,+
chr1,160025081,160025095,+
chr1,160025146,160025160,+
chr1,160037107,160037129,+
chr1,160037159,160037175,+
chr1,160045112,160045154,+
chr1,160046334,160046353,+
chr1,160047019,160047045,+
chr1,160047829,160047845,+
chr1,160052602,160052621,+
chr1,160194813,160194827,+
chr1,160247297,160247384,+
chr1,160248027,160248053,+
chr1,160299929,160299948,+
chr1,160300187,160300210,+
chr1,160306383,160306424,+
chr1,160306694,160306708,+
chr1,160306914,160306928,+
chr1,160308921,160308935,+
chr1,160786843,160786867,+
chr1,160905829,160905843,+
chr1,160907257,160907280,+
chr1,160919455,160919470,+
chr1,160919784,160919883,+
chr1,161070579,161070598,+
chr1,161156738,161156762,+
chr1,161156969,161156985,+
chr1,161250121,161250135,+
chr1,161309652,161309666,+
chr1,161309890,161309906,+
chr1,161310070,161310131,+
chr1,161310161,161310198,+
chr1,161660929,161660945,+
chr1,161661727,161661806,+
chr1,161661841,161661856,+
chr1,161670515,161670529,+
chr1,161670660,161670680,+
chr1,161670682,161670702,+
chr1,161670720,161670736,+
chr1,161670967,161670986,+
chr1,161671326,161671340,+
chr1,161704721,161704741,+
chr1,161707146,161707180,+
chr1,161707447,161707461,+
chr1,161713434,161713448,+
chr1,161734720,161734742,+
chr1,161735541,161735556,+
chr1,161767059,161767084,+
chr1,161767086,161767110,+
chr1,161767124,161767143,+
chr1,161775198,161775215,+
chr1,161779388,161779402,+
chr1,161804272,161804286,+
chr1,161875984,161876000,+
chr1,161877535,161877549,+
chr1,161908043,161908062,+
chr1,161968733,161968749,+
chr1,162206941,162206966,+
chr1,162207145,162207164,+
chr1,162207277,162207312,+
chr1,162295683,162295703,+
chr1,162571351,162571365,+
chr1,162728333,162728349,+
chr1,162728392,162728407,+
chr1,162751953,162752015,+
chr1,162752061,162752105,+
chr1,164062047,164062066,+
chr1,164062295,164062347,+
chr1,164062709,164062724,+
chr1,164062837,164062856,+
chr1,164069267,164069306,+
chr1,164070334,164070356,+
chr1,164076076,164076090,+
chr1,164078112,164078127,+
chr1,164079370,164079386,+
chr1,164082900,164082915,+
chr1,164083430,164083446,+
chr1,164087089,164087208,+
chr1,164134587,164134606,+
chr1,164135027,164135043,+
chr1,164248452,164248497,+
chr1,164275422,164275436,+
chr1,164453825,164453847,+
chr1,164454044,164454068,+
chr1,164454213,164454257,+
chr1,164503666,164503685,+
chr1,164504607,164504623,+
chr1,164571515,164571529,+
chr1,164572581,164572597,+
chr1,164600655,164600678,+
chr1,164700229,164700243,+
chr1,164881899,164881924,+
chr1,164882231,164882246,+
chr1,164955889,164955912,+
chr1,164960340,164960359,+
chr1,164960576,164960590,+
chr1,165154577,165154598,+
chr1,165174229,165174248,+
chr1,165174447,165174466,+
chr1,165193433,165193455,+
chr1,165193631,165193650,+
chr1,165193737,165193757,+
chr1,165194701,165194715,+
chr1,165236210,165236230,+
chr1,165236354,165236373,+
chr1,165377865,165377900,+
chr1,165459269,165459294,+
chr1,165460847,165460867,+
chr1,165641488,165641507,+
chr1,165641529,165641548,+
chr1,165641772,165641803,+
chr1,165641811,165641833,+
chr1,165642246,165642272,+
chr1,165676017,165676060,+
chr1,165681590,165681604,+
chr1,165684058,165684078,+
chr1,165700208,165700222,+
chr1,165701865,165701899,+
chr1,165705791,165705807,+
chr1,165708196,165708215,+
chr1,165712050,165712066,+
chr1,165718608,165718641,+
chr1,165747339,165747432,+
chr1,165763552,165763572,+
chr1,165780598,165780642,+
chr1,165788518,165788537,+
chr1,165789830,165789849,+
chr1,165808415,165808458,+
chr1,165810767,165810802,+
chr1,165812842,165812856,+
chr1,165828527,165828546,+
chr1,165838087,165838102,+
chr1,165838200,165838216,+
chr1,165844231,165844250,+
chr1,166000843,166000859,+
chr1,166044004,166044033,+
chr1,166048146,166048178,+
chr1,166380335,166380363,+
chr1,166400841,166400901,+
chr1,166400906,166400954,+
chr1,166410301,166410323,+
chr1,167245649,167245666,+
chr1,167270774,167270792,+
chr1,167286353,167286409,+
chr1,170863313,170863328,+
chr1,171388267,171388283,+
chr1,171481349,171481368,+
chr1,171502921,171502940,+
chr1,171502983,171503002,+
chr1,171503294,171503330,+
chr1,171504311,171504327,+
chr1,171643450,171643464,+
chr1,171789437,171789453,+
chr1,171789585,171789604,+
chr1,171844826,171844860,+
chr1,171845065,171845089,+
chr1,171845118,171845140,+
chr1,171916182,171916204,+
chr1,171916442,171916468,+
chr1,171917456,171917475,+
chr1,171917619,171917634,+
chr1,171918555,171918585,+
chr1,171918671,171918703,+
chr1,171918876,171918895,+
chr1,171920671,171920687,+
chr1,171963954,171963970,+
chr1,171983687,171983729,+
chr1,171983932,171983954,+
chr1,171984005,171984027,+
chr1,172026059,172026075,+
chr1,172026301,172026315,+
chr1,172126599,172126641,+
chr1,172147665,172147681,+
chr1,172147761,172147795,+
chr1,172149161,172149177,+
chr1,172311692,172311714,+
chr1,172501613,172501628,+
chr1,173419080,173419100,+
chr1,173420744,173420770,+
chr1,173425353,173425408,+
chr1,173425492,173425506,+
chr1,173436756,173436780,+
chr1,173489677,173489692,+
chr1,173490346,173490393,+
chr1,173490414,173490429,+
chr1,173491391,173491405,+
chr1,173534480,173534503,+
chr1,173535861,173535877,+
chr1,173536339,173536355,+
